upstream_hotspot,downstream_hotspot,upstream_particles,downstream_particles,upstream_x_nm,upstream_y_nm,downstream_x_nm,downstream_y_nm,upstream_gap_nm,downstream_gap_nm,upstream_euclidean_nm,downstream_euclidean_nm,upstream_geodesic_nm,downstream_geodesic_nm,upstream_coordination,downstream_coordination,upstream_Etotal_components,downstream_Etotal_components,upstream_M2,downstream_M2,upstream_M4,downstream_M4,ratio,associated_branch,associated_loop,high_coordination,unusually_short_gap,destination_class
2,0,"[1, 2]","[0, 1]",18.81379759630505,-6.756907118977166,7.24070555340694,-8.556941814750822,2.453198893153857,2.418659204525966,291.8412566490807,286.45847754752515,156.88823566860026,157.40635643128246,"[3, 3]","[2, 3]","[np.float64(0.0012893978368740113), np.float64(0.003090562691249187), np.float64(-0.0020184556190888576), np.float64(0.006048699341764048), np.float64(0.0), np.float64(0.0)]","[np.float64(-0.01113367749999547), np.float64(-0.004369625091539286), np.float64(0.013770175794154172), np.float64(0.0044433653634375), np.float64(0.0), np.float64(0.0)]",5.187505134356501e-05,0.0003524136352694207,2.6910209518975056e-09,1.2419537032380828e-07,46.15176639046049,True,True,False,True,transition
3,0,"[1, 3]","[0, 1]",17.284434328188564,-28.63936935115712,7.24070555340694,-8.556941814750822,3.7228801202257067,2.418659204525966,270.7719398370779,286.45847754752515,134.95239501115915,157.40635643128246,"[3, 2]","[2, 3]","[np.float64(-0.0024489244405140526), np.float64(-0.002265339146850259), np.float64(0.013761346742881786), np.float64(0.008250873887590066), np.float64(0.0), np.float64(0.0)]","[np.float64(-0.01113367749999547), np.float64(-0.004369625091539286), np.float64(0.013770175794154172), np.float64(0.0044433653634375), np.float64(0.0), np.float64(0.0)]",0.00026858057645233805,0.0003524136352694207,7.213552604747021e-08,1.2419537032380828e-07,1.7216949418526326,True,True,False,True,transition
2,1,"[1, 2]","[0, 2]",18.81379759630505,-6.756907118977166,11.57309204289811,1.8000346957736557,2.453198893153857,3.424481581403718,291.8412566490807,297.6403432522935,156.88823566860026,168.09756527086324,"[3, 3]","[2, 3]","[np.float64(0.0012893978368740113), np.float64(0.003090562691249187), np.float64(-0.0020184556190888576), np.float64(0.006048699341764048), np.float64(0.0), np.float64(0.0)]","[np.float64(-0.015963751149140507), np.float64(-0.0010103650345929579), np.float64(-0.002260378708729128), np.float64(-0.00019053049288556034), np.float64(0.0), np.float64(0.0)]",5.187505134356501e-05,0.0002610078020304081,2.6910209518975056e-09,6.81250727207447e-08,25.315697624988026,True,True,False,False,transition
2,4,"[1, 2]","[2, 4]",18.81379759630505,-6.756907118977166,33.63068880984087,8.307959129471135,2.453198893153857,2.9860014002403688,291.8412566490807,311.1230869848328,156.88823566860026,178.01855654447414,"[3, 3]","[3, 2]","[np.float64(0.0012893978368740113), np.float64(0.003090562691249187), np.float64(-0.0020184556190888576), np.float64(0.006048699341764048), np.float64(0.0), np.float64(0.0)]","[np.float64(-0.013619203937743423), np.float64(0.0006131673872146812), np.float64(-0.0076866693300900206), np.float64(-0.0007323153560718931), np.float64(0.0), np.float64(0.0)]",5.187505134356501e-05,0.0002454798613134749,2.6910209518975056e-09,6.026036231048288e-08,22.393122680071222,True,True,False,False,transition
4,6,"[2, 4]","[4, 5]",33.63068880984087,8.307959129471135,54.44966451095935,8.58186911580734,2.9860014002403688,2.491017479293401,311.1230869848328,319.4876485940126,178.01855654447414,198.8393340497542,"[3, 2]","[2, 4]","[np.float64(-0.013619203937743423), np.float64(0.0006131673872146812), np.float64(-0.0076866693300900206), np.float64(-0.0007323153560718931), np.float64(0.0), np.float64(0.0)]","[np.float64(-0.018204976293802015), np.float64(-0.0056420987976546644), np.float64(0.00844016295777982), np.float64(0.0015541993562634788), np.float64(0.0), np.float64(0.0)]",0.0002454798613134749,0.00043690632709327806,6.026036231048288e-08,1.9088713865413848e-07,3.1677064547109732,True,False,True,False,transition
8,7,"[5, 10]","[5, 6]",69.62100260641422,-6.393556981246422,76.23432388369335,2.632220034086151,3.1963251033621454,3.1001357411092307,312.8482654344042,323.93491970718543,220.1567655647121,221.42184294893707,"[4, 4]","[4, 4]","[np.float64(-0.003491484856386266), np.float64(-0.0031469576723042215), np.float64(0.011345986537679072), np.float64(0.00657662958301285), np.float64(0.0), np.float64(0.0)]","[np.float64(-0.01642406215414115), np.float64(-0.003178102739330448), np.float64(0.0021428496738962704), np.float64(0.00017757897427109014), np.float64(0.0), np.float64(0.0)]",0.00019407727627900355,0.00028447349368185184,3.766598916787667e-08,8.09251686075586e-08,2.1484944480517028,True,True,True,False,transition
9,7,"[5, 39]","[5, 6]",70.93626816083695,13.59863591479846,76.23432388369335,2.632220034086151,2.5535227214779432,3.1001357411092307,331.17539563541123,323.93491970718543,216.07232708705382,221.42184294893707,"[4, 3]","[4, 4]","[np.float64(-0.0013401544434171102), np.float64(0.0031874797608392254), np.float64(-0.0058081202236770465), np.float64(0.003236319396100542), np.float64(0.0), np.float64(0.0)]","[np.float64(-0.01642406215414115), np.float64(-0.003178102739330448), np.float64(0.0021428496738962704), np.float64(0.00017757897427109014), np.float64(0.0), np.float64(0.0)]",5.616406492423319e-05,0.00028447349368185184,3.154402188813481e-09,8.09251686075586e-08,25.654676786157808,True,True,True,False,transition
9,8,"[5, 39]","[5, 10]",70.93626816083695,13.59863591479846,69.62100260641422,-6.393556981246422,2.5535227214779432,3.1963251033621454,331.17539563541123,312.8482654344042,216.07232708705382,220.1567655647121,"[4, 3]","[4, 4]","[np.float64(-0.0013401544434171102), np.float64(0.0031874797608392254), np.float64(-0.0058081202236770465), np.float64(0.003236319396100542), np.float64(0.0), np.float64(0.0)]","[np.float64(-0.003491484856386266), np.float64(-0.0031469576723042215), np.float64(0.011345986537679072), np.float64(0.00657662958301285), np.float64(0.0), np.float64(0.0)]",5.616406492423319e-05,0.00019407727627900355,3.154402188813481e-09,3.766598916787667e-08,11.940769411539312,True,True,True,False,transition
8,19,"[5, 10]","[10, 21]",69.62100260641422,-6.393556981246422,85.06469125580878,-21.092613613837003,3.1963251033621454,2.785116746716497,312.8482654344042,307.9249822606694,220.1567655647121,241.4774077920828,"[4, 4]","[4, 2]","[np.float64(-0.003491484856386266), np.float64(-0.0031469576723042215), np.float64(0.011345986537679072), np.float64(0.00657662958301285), np.float64(0.0), np.float64(0.0)]","[np.float64(-0.016839926987147757), np.float64(-0.001615944149831416), np.float64(0.006824543251550407), np.float64(-0.00043653630740651095), np.float64(0.0), np.float64(0.0)]",0.00019407727627900355,0.00033295937096780803,3.766598916787667e-08,1.1086194271527841e-07,2.9432903572814357,True,True,True,False,transition
8,20,"[5, 10]","[10, 185]",69.62100260641422,-6.393556981246422,64.0160480863576,-21.336227079664162,3.1963251033621454,2.662957410937352,312.8482654344042,297.0431583547155,220.1567655647121,236.1160545476853,"[4, 4]","[4, 1]","[np.float64(-0.003491484856386266), np.float64(-0.0031469576723042215), np.float64(0.011345986537679072), np.float64(0.00657662958301285), np.float64(0.0), np.float64(0.0)]","[np.float64(-0.011007535572826872), np.float64(0.006733407539466408), np.float64(-0.006436834766939653), np.float64(0.0018016842756557626), np.float64(0.0), np.float64(0.0)]",0.00019407727627900355,0.00021118352452562038,3.766598916787667e-08,4.4598481031063303e-08,1.1840517670275068,True,True,True,False,transition
