role,hotspot_id,particle_i,particle_j,x_nm,y_nm,gap_nm,euclidean_nm,geodesic_nm,coordination_i,coordination_j,Etotal_x_real,Etotal_x_imag,Etotal_y_real,Etotal_y_imag,Etotal_z_real,Etotal_z_imag,M2,M4,event_ratio
upstream,192,113,157,455.6242678953872,-96.55939863429127,4.9661787658973005,565.6336731495038,622.7750124078424,3,3,-3.1744808732860444e-05,-0.00013229862468521823,-0.0009432037044546159,0.000298177229892607,0.0,0.0,9.970535474984252e-07,9.941157765791944e-13,229.84888534734907
downstream,191,113,118,465.11952861318105,-87.42142050369803,2.7808085488256005,577.6241503238944,632.2390969801896,3,3,-0.0013533258804703163,-0.0033879647700209765,0.0006621464887007785,0.0011695568776608177,0.0,0.0,1.5116097484236536e-05,2.2849640315294214e-10,229.84888534734907
