hotspot_id,particle_i,particle_j,x_nm,y_nm,gap_nm,radius_i_nm,radius_j_nm,coordination_i,coordination_j,euclidean_distance_nm,geodesic_distance_nm,geodesic_steps,Einc_x_real,Einc_x_imag,Einc_y_real,Einc_y_imag,Einc_z_real,Einc_z_imag,Escat_x_real,Escat_x_imag,Escat_y_real,Escat_y_imag,Escat_z_real,Escat_z_imag,Etotal_x_real,Etotal_x_imag,Etotal_y_real,Etotal_y_imag,Etotal_z_real,Etotal_z_imag,M2_inc,M2_scat,M2_total,M4,f_inc,f_scat,remote_classification
10,6,7,99.12402260409115,3.6080553999537015,3.415378888241367,10.0,10.0,4,2,336.3216562234387,244.33233317005323,11,5.763039989961367e-17,0.0,0.0,0.0,0.0,0.0,-0.013942958675962083,0.00012784195757646228,-0.0035945427585043167,-0.0009394942456128965,0.0,0.0,-0.013942958675962026,0.00012784195757646228,-0.0035945427585043167,-0.0009394942456128965,0.0,0.0,3.321262992589391e-33,0.0002082258272859589,0.0002082258272859573,4.335799514892132e-08,1.5950293178704906e-29,1.0000000000000078,transition
11,6,10,81.07119100207439,-7.909226311379995,2.378620962607908,10.0,10.0,4,4,317.13101859995635,231.7068334352667,11,3.63935628757406e-15,0.0,0.0,0.0,0.0,0.0,-0.0024512756278656524,0.004991432959089738,-0.006136118549447166,0.006291752955453956,0.0,0.0,-0.002451275627862013,0.004991432959089738,-0.006136118549447166,0.006291752955453956,0.0,0.0,1.3244914187904846e-29,0.00010816126129418866,0.00010816126129417083,1.1698858444745896e-08,1.2245524903673307e-25,1.000000000000165,transition
12,6,39,82.38645655649711,12.082966584664888,4.3582981106012895,10.0,10.0,4,3,335.1786171830614,227.62239495760844,11,7.42758660686578e-17,0.0,0.0,0.0,0.0,0.0,-0.002574635016924817,-0.003079723318908257,0.005970092752405516,0.00621027211499424,0.0,0.0,-0.002574635016924743,-0.003079723318908257,0.005970092752405516,0.00621027211499424,0.0,0.0,5.5169042802491916e-33,9.032292840600266e-05,9.032292840600227e-05,8.158231395835813e-09,6.107977650426327e-29,1.0000000000000044,transition
13,7,8,120.51163253805333,10.283983597880368,1.584632114402151,10.0,10.0,2,3,353.6049661523817,266.7376422728349,12,1.1186926601926072e-18,0.0,0.0,0.0,0.0,0.0,-0.013588941988666519,0.0007873528405085943,-0.007291034771722891,-0.0014523904747083401,0.0,0.0,-0.013588941988666517,0.0007873528405085943,-0.007291034771722891,-0.0014523904747083401,0.0,0.0,1.2514732679688122e-36,0.00024054789500029675,0.0002405478950002967,5.786328978907376e-08,5.202594967489816e-33,1.0000000000000002,transition
14,8,9,138.77419641684503,6.134876109631598,3.543836123631557,10.0,10.0,3,4,360.8937935440844,285.46559817773783,13,1.9999853091439887e-19,0.0,0.0,0.0,0.0,0.0,-0.006173345605856245,-0.0056613070832639304,0.007253946538303584,0.00560899531149534,0.0,0.0,-0.006173345605856245,-0.0056613070832639304,0.007253946538303584,0.00560899531149534,0.0,0.0,3.9999412367917763e-38,0.00015424116264530218,0.00015424116264530218,2.379033625417456e-08,2.593303349242878e-34,1.0,transition
15,8,15,141.40982426007366,17.518905349870906,2.7341203350701093,10.0,10.0,3,5,371.5954421147588,288.85276176172175,13,1.4983613454588705e-20,0.0,0.0,0.0,0.0,0.0,-0.012197676886164157,-0.001210815688529449,-0.0036292475672836497,-0.0013429680600277182,0.0,0.0,-0.012197676886164157,-0.001210815688529449,-0.0036292475672836497,-0.0013429680600277182,0.0,0.0,2.2450867215653165e-40,0.00016522439716574127,0.00016522439716574127,2.7299101418782613e-08,1.3588106599736639e-36,1.0,transition
16,9,15,149.7242885296408,9.185374359696592,3.3702936113884157,10.0,10.0,4,5,369.99397760099356,296.8326583452729,14,2.2188227197543203e-20,0.0,0.0,0.0,0.0,0.0,0.0002928541327509842,0.0020718708147969174,-0.002018200691944628,0.008032804522943783,0.0,0.0,0.0002928541327509842,0.0020718708147969174,-0.002018200691944628,0.008032804522943783,0.0,0.0,4.923174261697959e-40,7.297749475306843e-05,7.297749475306843e-05,5.32571474043413e-09,6.746154110053165e-36,1.0,transition
17,9,18,158.80786174573214,-5.483197318901027,4.341560549656062,10.0,10.0,4,3,364.4299090261695,308.6243411639327,14,8.566401758384147e-20,0.0,0.0,0.0,0.0,0.0,-0.009684950927847137,-0.004141696457035473,0.0027709264437487053,0.0004668993409479509,0.0,0.0,-0.009684950927847137,-0.004141696457035473,0.0027709264437487053,0.0004668993409479509,0.0,0.0,7.3383239086047e-39,0.0001188479523682708,0.0001188479523682708,1.4124835782130766e-08,6.174548035851424e-35,1.0,transition
18,9,124,137.2980644579616,-8.40364359253687,3.1825502846020264,10.0,10.0,4,3,348.48777468427636,300.0788634080133,14,3.6687256471355645e-18,0.0,0.0,0.0,0.0,0.0,-0.005602021097940491,0.005179942994953107,-0.004866543381307676,0.001928939972192469,0.0,0.0,-0.005602021097940488,0.005179942994953107,-0.004866543381307676,0.001928939972192469,0.0,0.0,1.3459547873950267e-35,8.561850371120558e-05,8.561850371120554e-05,7.330528177745716e-09,1.5720372688770446e-31,1.0000000000000004,transition
19,10,21,85.06469125580878,-21.092613613837003,2.785116746716497,10.0,10.0,4,2,307.9249822606694,241.4774077920828,11,2.4387016357336043e-14,0.0,0.0,0.0,0.0,0.0,-0.016839926987172144,-0.001615944149831416,0.006824543251550407,-0.00043653630740651095,0.0,0.0,-0.016839926987147757,-0.001615944149831416,0.006824543251550407,-0.00043653630740651095,0.0,0.0,5.947265668129757e-28,0.0003329593709686295,0.00033295937096780803,1.1086194271527841e-07,1.786183596768257e-24,1.0000000000024671,transition
