seed,proxy,region,transition_count,P_Gamma_DE_gt_1,P_Gamma_DE_ge_2,P_Gamma_DE_ge_10,P_Gamma_DE_ge_100
20260813,CDA,whole_network,468,0.42948717948717946,0.2777777777777778,0.10042735042735043,0.023504273504273504
20260813,CDA,remote,44,0.38636363636363635,0.22727272727272727,0.11363636363636363,0.022727272727272728
20260813,FWcorr,whole_network,468,0.42735042735042733,0.3418803418803419,0.1517094017094017,0.042735042735042736
20260813,FWcorr,remote,44,0.4318181818181818,0.3409090909090909,0.13636363636363635,0.06818181818181818
20365542,CDA,whole_network,441,0.42403628117913833,0.2857142857142857,0.13378684807256236,0.027210884353741496
20365542,CDA,remote,9,0.2222222222222222,0.1111111111111111,0.0,0.0
20365542,FWcorr,whole_network,441,0.47392290249433106,0.3832199546485261,0.17913832199546487,0.05895691609977324
20365542,FWcorr,remote,9,0.3333333333333333,0.2222222222222222,0.0,0.0
20470271,CDA,whole_network,526,0.4543726235741445,0.30038022813688214,0.155893536121673,0.060836501901140684
20470271,CDA,remote,18,0.4444444444444444,0.1111111111111111,0.05555555555555555,0.0
20470271,FWcorr,whole_network,526,0.4923954372623574,0.376425855513308,0.20152091254752852,0.08745247148288973
20470271,FWcorr,remote,18,0.4444444444444444,0.4444444444444444,0.0,0.0
20575000,CDA,whole_network,449,0.40757238307349664,0.26057906458797325,0.1091314031180401,0.0378619153674833
20575000,CDA,remote,43,0.32558139534883723,0.27906976744186046,0.09302325581395349,0.0
20575000,FWcorr,whole_network,449,0.42316258351893093,0.32293986636971045,0.155902004454343,0.05790645879732739
20575000,FWcorr,remote,43,0.37209302325581395,0.27906976744186046,0.09302325581395349,0.0
20679729,CDA,whole_network,473,0.46511627906976744,0.3150105708245243,0.14376321353065538,0.05496828752642706
20679729,CDA,remote,16,0.3125,0.1875,0.0,0.0
20679729,FWcorr,whole_network,473,0.46723044397463004,0.3572938689217759,0.17970401691331925,0.06976744186046512
20679729,FWcorr,remote,16,0.375,0.25,0.0625,0.0
20784458,CDA,whole_network,504,0.43253968253968256,0.3412698412698413,0.1746031746031746,0.07936507936507936
20784458,CDA,remote,86,0.3953488372093023,0.23255813953488372,0.10465116279069768,0.023255813953488372
20784458,FWcorr,whole_network,504,0.45436507936507936,0.37103174603174605,0.21428571428571427,0.09325396825396826
20784458,FWcorr,remote,86,0.4186046511627907,0.32558139534883723,0.16279069767441862,0.05813953488372093
20889187,CDA,whole_network,451,0.5055432372505543,0.35033259423503327,0.1419068736141907,0.03325942350332594
20889187,CDA,remote,183,0.46994535519125685,0.32786885245901637,0.14207650273224043,0.0273224043715847
20889187,FWcorr,whole_network,451,0.5099778270509978,0.3968957871396896,0.19068736141906872,0.057649667405764965
20889187,FWcorr,remote,183,0.48633879781420764,0.4098360655737705,0.20218579234972678,0.060109289617486336
20993916,CDA,whole_network,531,0.4274952919020716,0.3352165725047081,0.14500941619585686,0.02824858757062147
20993916,CDA,remote,82,0.45121951219512196,0.2804878048780488,0.10975609756097561,0.012195121951219513
20993916,FWcorr,whole_network,531,0.4576271186440678,0.3709981167608286,0.19397363465160075,0.060263653483992465
20993916,FWcorr,remote,82,0.4268292682926829,0.34146341463414637,0.17073170731707318,0.04878048780487805
21098645,CDA,whole_network,559,0.4329159212880143,0.3076923076923077,0.10196779964221825,0.014311270125223614
21098645,CDA,remote,144,0.4236111111111111,0.2847222222222222,0.09722222222222222,0.034722222222222224
21098645,FWcorr,whole_network,559,0.45796064400715564,0.35062611806797855,0.16994633273703041,0.03041144901610018
21098645,FWcorr,remote,144,0.4583333333333333,0.3194444444444444,0.16666666666666666,0.05555555555555555
21203374,CDA,whole_network,468,0.47649572649572647,0.32264957264957267,0.16666666666666666,0.05555555555555555
21203374,CDA,remote,101,0.39603960396039606,0.27722772277227725,0.15841584158415842,0.0594059405940594
21203374,FWcorr,whole_network,468,0.48717948717948717,0.3782051282051282,0.21794871794871795,0.07264957264957266
21203374,FWcorr,remote,101,0.4158415841584158,0.31683168316831684,0.1782178217821782,0.0594059405940594
