seed,strongest_remote_hotspot_id_CDA,strongest_remote_hotspot_id_FWcorr,particle_i,particle_j,gap_nm,x_nm,y_nm,euclidean_distance_nm,geodesic_distance_nm,coordination,E_CDA_abs,Cparallel_abs,Cperp_abs,M4_CDA_at_FW_max,M4_FWcorr,M4_remote_max_CDA,M4_remote_max_FWcorr,M4_source_max_CDA,M4_source_max_FWcorr,eta_RS_CDA,eta_RS_FWcorr
20260813,110,146,82,97,1.611473123825352,418.4135798880508,-82.00329121272682,535.8692414894467,732.1132042338509,2,0.005820323098873752,2.2076833005158747,0.16461149279313253,1.1475942824233104e-09,2.6967272735432303e-08,2.0222559289699383e-09,2.6967272735432303e-08,126.34487577242106,1184.0209514894182,1.6005840494968158e-11,2.2776009750088712e-11
20365542,187,187,119,128,2.7214574373214475,235.53411374718453,281.0143415788669,525.3300318992696,565.4559529642291,2,0.005862031890132054,1.5797424054506992,0.19949461668648746,1.1808444884590888e-09,7.272923737922853e-09,1.1808444884590888e-09,7.272923737922853e-09,1236.0831299039232,119273.26251537816,9.553115481406757e-13,6.097698331162142e-14
20470271,159,244,154,173,1.8589849904081426,178.74226035393542,-122.9101845716807,503.37907231861084,520.1113795705462,3,0.005003299620104843,2.0028729781506143,0.17589264778323746,6.266514438949571e-10,9.815699381737619e-09,9.161807933737576e-10,9.815699381737619e-09,553.4551843413518,4261.262302820646,1.6553838852626762e-12,2.3034722305736352e-12
20575000,177,226,152,159,1.0529323632685426,479.42132481192357,-87.55776897216566,621.8545824115221,610.0155358551542,2,0.003075051089043551,3.0979929659635257,0.13739031807936175,8.941478615840716e-11,7.877310728412056e-09,5.030900517268236e-10,7.877310728412056e-09,224.11044443335723,1381.5633868967202,2.244830904685593e-12,5.701736744852612e-12
20679729,247,247,182,186,1.545409017288243,33.880513542906414,230.8376361994716,517.8370770815582,577.9860047117679,2,0.007345451297066554,2.262349964711464,0.16160041553098106,2.911212680318812e-09,7.285468414373685e-08,2.911212680318812e-09,7.285468414373685e-08,318.6162895822361,6643.057721539617,9.137049094809123e-12,1.096704066073534e-11
20784458,150,72,36,47,1.297631691050178,206.516519328155,-33.493098705164435,515.5496502896192,524.7850860952401,4,0.005794476133462701,2.6611741522667356,0.1495087331264546,1.1273446642636733e-09,5.5829200327158675e-08,1.8929075275341438e-09,5.5829200327158675e-08,587.5312461922831,9318.067663452997,3.2217989082314205e-12,5.9914997769473204e-12
20889187,74,54,22,46,1.0441665023785092,59.0629767195458,41.42947268496711,502.99186455674,533.1722888680595,3,0.004333885576007804,3.1136411846194223,0.13695620027558775,3.527847173985238e-10,3.266159723902255e-08,3.9754689892240564e-10,3.266159723902255e-08,472.27735793121525,4747.725026162412,8.417657383869466e-13,6.879420577021693e-12
20993916,109,109,50,154,1.4623745479042825,175.3160973418499,24.871183777590552,513.2189059256231,533.155078170939,4,0.0039056355159048832,2.3670901605319874,0.15766740885763286,2.326841737948675e-10,7.241604464742946e-09,2.326841737948675e-10,7.241604464742946e-09,51.37718630639055,268.6244999868189,4.528939603800862e-12,2.6958093789279398e-11
21098645,83,33,14,26,1.0838070635243149,86.76466681079017,-8.926878479099518,505.6717818890293,530.3080011529611,4,0.0036446900938510033,3.042877581765216,0.13891934727084104,1.7645843596038105e-10,1.4587621466361691e-08,1.9027792183761467e-10,1.4587621466361691e-08,350.4379976320083,3877.6334069624054,5.429717186017703e-13,3.761990867978697e-12
21203374,158,158,93,95,1.9542359238384144,103.50860103082347,-213.08725014102725,539.3114138584913,612.1583101826257,3,0.003941437629857466,1.9240553205159252,0.18023402941084807,2.4133406843787134e-10,3.2837104826810724e-09,2.4133406843787134e-10,3.2837104826810724e-09,222.87802488237716,1230.1083917818587,1.0828078208483509e-12,2.669448078412418e-12
