particle_i,particle_j,surface_gap_nm
0,1,1.3655205862683708
0,2,4.818961797611394
0,3,3.1647971865895883
0,5,3.2149754327554696
0,30,3.0860696640292673
1,4,2.587659927822518
1,48,1.824760590874721
2,5,2.4745137949274856
2,9,2.1445711864671786
2,30,1.0658694202926782
2,45,1.8394637329008816
3,5,3.2115550174224197
3,6,3.76893456292807
4,11,3.8394159270209585
4,48,5.162665438840232
4,150,5.3665426652455
5,10,1.882152621192379
5,120,1.420684025244146
6,7,3.24282525427914
6,35,2.2717379599212855
7,8,2.4285206345885797
7,27,1.6310562464873115
7,68,4.718834401967204
8,15,3.625687026536113
8,27,1.0151528196302522
8,68,3.2282915282746742
8,78,4.532688235444052
9,16,1.9708915232680475
9,44,2.2682770826932313
9,45,3.1389787386992687
10,12,2.6858443767571885
10,40,1.8850921087642014
10,120,1.2949203814261168
11,13,2.7542910701209458
11,21,4.633142299095304
12,14,2.375301201116663
12,40,4.282342703592679
12,53,3.097653347131857
13,17,2.9877083840207455
13,20,2.3774672155148053
13,21,3.8431796806921703
13,22,5.69230315881779
14,18,2.197210473045491
14,40,1.1336845284957242
14,53,2.372708474487556
15,23,2.0516186041888247
15,130,4.24288013107067
16,36,3.6270347909513205
17,19,2.2650097810659062
17,32,2.8884547588702425
18,38,4.2140422818897925
19,25,3.7328707685625346
19,132,3.973152158829734
20,22,1.3759409404487215
21,32,2.7396961724202207
22,24,2.5152801091048858
23,28,2.1221844834289243
23,130,3.5299683580405876
23,135,5.314259461975663
24,26,2.9069806724917875
25,31,2.0893223125207747
25,92,1.9389535841240395
25,132,5.677976233439949
26,33,3.314481781178017
26,92,5.093229970394479
27,29,3.659663812124048
28,42,2.271395877874049
28,91,2.902819548270635
28,130,4.766926312771403
28,135,2.7808000220858133
29,37,2.055286034777737
29,43,3.180758376237705
30,55,2.884841528295631
31,34,1.631771799669412
31,67,3.5061639053927287
31,183,4.884588734986135
32,41,2.531865772462197
33,46,2.3135685212690724
34,54,1.618587362977383
34,183,3.658905551568317
35,39,2.57353154195512
35,80,3.5271967853767805
35,90,5.074089882810394
36,73,2.5003657635753846
37,43,4.709141821322152
37,49,2.8030922707857755
37,62,5.779854820570815
37,130,2.575832743727293
38,71,4.933048015712021
38,104,1.3351437030746176
39,47,3.287115051701594
40,93,2.3546238488360594
41,102,2.64163794181119
41,132,2.2261698563442884
42,72,3.63162028035514
42,135,4.380672486979343
43,62,3.016125754955766
44,57,3.097163509494269
44,70,2.866041018400111
45,52,4.881665136616451
46,51,2.529641008818288
46,169,4.545170490420478
47,50,2.9619123885156142
47,58,1.7443863437714846
48,68,3.0464623009181864
48,76,1.7520064207678985
49,62,5.954806368962519
49,100,1.5528303307880122
49,165,4.9907597425254195
50,66,3.1117898829763107
51,82,2.681170020246814
52,110,3.4710626927420805
53,56,3.793726269020901
53,110,2.012311260790785
54,61,3.160329157251944
54,86,2.9075940673968894
55,85,3.7723225334218426
55,150,2.488056281456938
56,59,2.800090098478023
57,70,4.620231941744208
57,75,2.0757888879561293
58,63,1.9768705937935387
59,60,3.1123654472606397
59,114,1.6675755993241452
59,161,2.0608123481052267
60,88,1.8997331148993837
60,161,1.7884218341900073
61,74,1.6963753462702336
61,107,2.5256766416699854
62,100,1.5405442727213128
63,64,3.926644516867359
63,83,3.0676179176792147
64,65,4.827476456945728
64,69,4.4051363528084515
64,83,3.6229229325388523
65,79,2.020322967659606
66,83,1.137826282396059
66,115,4.118048469926958
67,94,2.3922856594864896
68,78,2.1796237017461273
69,81,4.593765138253847
69,119,4.050549116597537
70,117,2.2526381438034164
71,104,2.6416322429916335
71,124,2.670801963294327
72,155,3.683992459142374
72,175,4.8440579974441
73,126,3.136271480481632
73,146,1.8252346326827613
74,112,4.2980781085395705
74,192,3.141041770844371
75,97,3.554688671206673
76,77,3.5557246537545986
77,78,5.627708828886792
77,140,2.948801723337283
78,99,3.713944741566298
79,96,1.9811098584618207
80,90,1.7688899348398053
80,120,2.4063067365177524
81,84,2.793977420311549
82,159,3.2332076803507555
83,87,1.6462406385915784
84,98,3.3691920787893537
85,109,1.8425255056102756
85,150,2.1517974202167984
86,107,1.1246095653278836
87,119,2.813952776367042
88,89,3.092100407499391
88,184,1.9193575513114922
89,134,1.4704195193725944
90,108,3.0214599904799826
91,129,3.6589694156571007
91,165,4.003828993751185
93,95,2.419987550153067
94,101,5.054014995759484
95,103,5.1488931144004475
96,125,3.772607327188851
97,106,2.5455145526112553
98,122,2.1504854364579415
99,142,4.0336001407331
100,143,3.323961028499401
101,188,3.0721764667586235
102,132,4.0211345050150165
102,176,1.126139454777384
103,105,3.6975522101329084
103,171,3.3083201063442615
104,123,3.37229252993788
105,111,3.826883277161336
105,115,4.561084845125851
106,145,4.02802276931757
109,121,4.025415306918767
110,114,2.5786420927350697
111,113,3.861033564611727
111,157,3.8553750004122094
112,136,3.2776098302217633
113,116,3.227395356813073
113,157,1.6158298778633977
114,161,3.2875932189368164
116,160,2.701758991595554
116,193,4.089918409630137
117,118,2.8141588016673715
118,126,2.405764272412579
118,128,2.5979278863925543
119,139,2.894667511178781
122,152,2.7258130826717064
123,127,4.209106568365598
123,149,4.259411660099868
124,131,1.982224804587478
124,149,3.021589385232698
125,141,4.018513568081417
126,146,3.97978662591348
127,138,4.121553496902845
127,149,2.474325384867342
127,184,2.537885204326926
128,133,2.6159952971971236
129,137,3.4661150466714936
129,165,2.0747574555178545
129,175,2.4350191290772543
131,154,2.246640522062652
132,176,3.269007064342606
133,167,2.508851823491817
134,147,3.83150293705884
134,198,4.349148836407053
137,156,2.089395595801058
137,197,5.329824763271116
138,162,2.8972184888805756
138,185,3.1045262129413302
139,190,3.6990445747812295
140,153,2.8454444911742947
141,144,2.7275282373369585
142,151,2.8595201731690665
143,187,3.360760925226046
143,197,1.091378334131047
144,148,4.964133066276773
145,164,1.7621048993429653
145,194,2.8148223320533106
146,158,1.0308328308941164
147,172,4.515290241930469
148,163,5.433556203159341
149,185,2.0795731671884212
151,170,2.667573084359404
151,189,4.057716353441975
153,178,2.894715100208714
154,168,4.325341240425914
154,173,1.8589849904081426
155,174,3.4751438311801337
157,182,1.8252215987017308
159,166,2.310367016586799
163,191,2.7164101981445192
164,194,1.3901760115629571
165,197,3.5482308121319086
166,196,3.3424723580709355
167,179,4.331283185208985
168,185,4.95100517021141
168,186,3.439720064506698
169,177,4.153057961481185
170,189,5.453448054173759
172,181,3.2490054566396296
174,180,1.8650966908316313
175,195,2.423560987389589
176,183,3.921574669787404
184,198,2.830064104722773
190,199,3.9067970183802494
