particle_id,x_nm,y_nm,radius_nm,coordination
0,0.0,0.0,10.0,4
1,21.92966729119411,1.24409285648757,10.0,3
2,-19.325174496363406,-12.902582718698643,10.0,5
3,43.07769247174732,12.61237526522406,10.0,4
4,66.80044823928077,15.434592341778513,10.0,5
5,-43.21943699972635,-10.928362712074462,10.0,4
6,-65.811081681464,-9.76427716249789,10.0,3
7,-89.37240380511399,-6.616751995798733,10.0,4
8,-111.46735892204975,3.2564299433205868,10.0,2
9,89.2704572397898,18.311911128584004,10.0,4
10,-30.541559593509206,-33.45003650686412,10.0,4
11,109.35951179287898,11.036259416340583,10.0,4
12,123.29746602111123,27.55972079271794,10.0,3
13,-134.49664514666765,7.909158492245311,10.0,3
14,144.39708930638716,35.45265875519225,10.0,4
15,-30.86525682012497,8.44442997336968,10.0,5
16,-51.33693424429227,-39.09840266415918,10.0,3
17,-67.28616277274133,-55.22133258757102,10.0,2
18,-152.94134790913344,-5.679786302571339,10.0,2
19,88.81660591209511,40.592983666527985,10.0,3
20,-54.716179878390086,14.014453051954067,10.0,3
21,99.94755211757345,61.42070610006209,10.0,3
22,51.0993485452586,34.552346668479075,10.0,3
23,37.07254388562968,-15.496316580552797,10.0,3
24,-36.2150066460144,31.799395303942443,10.0,4
25,-25.5404047854091,53.54234156045227,10.0,2
26,-82.71202165106037,-71.78922761543221,10.0,4
27,-53.59472170052656,48.042727588795614,10.0,2
28,-96.06022869024338,-89.75555203136189,10.0,3
29,166.16023548468416,36.27300334598019,10.0,4
30,-38.44294739755863,-57.418731269419915,10.0,3
31,189.12896577584326,41.69433286217692,10.0,3
32,-66.97478794918977,67.14685194430183,10.0,3
33,40.9226478259571,-38.181793215146314,10.0,2
34,-81.11281040860172,85.35434431662345,10.0,3
35,-154.14127143866307,20.666201494231046,10.0,2
36,-176.17374199139516,-4.0112576412021035,10.0,3
37,-106.60961213405255,-70.21177113650967,10.0,3
38,-199.98613965469914,-4.3308850001272345,10.0,2
39,-125.87414568420976,-84.51529021695868,10.0,4
40,-77.36230081395391,19.817538498747165,10.0,2
41,121.24593234394445,64.67033745581834,10.0,3
42,209.1239965071295,50.17457102153441,10.0,3
43,-147.35422258261633,-91.49069338084816,10.0,3
44,61.26271118346928,-45.93123130307754,10.0,3
45,-92.22920542679061,36.342352196992884,10.0,2
46,67.026604893833,48.306598701455144,10.0,3
47,-224.53707364741032,-0.6708462263035115,10.0,3
48,-102.93371938506927,86.42425370791852,10.0,3
49,83.06460309640123,-46.81139806793802,10.0,3
50,57.99312674797203,-5.094685826544444,10.0,4
51,-47.71884655562205,-79.28498016767827,10.0,3
52,-114.88381155971186,39.783923649315696,10.0,3
53,-28.419220784084203,77.8320166142591,10.0,3
54,-170.5042260241464,-88.57016396329854,10.0,3
55,-15.750484227687068,97.79203064750622,10.0,3
56,79.69103301928816,-1.7142883043234782,10.0,4
57,225.0944136943086,67.86445581015234,10.0,3
