upstream_hotspot,downstream_hotspot,upstream_geodesic_nm,downstream_geodesic_nm,upstream_steps,downstream_steps,upstream_M4,downstream_M4,ratio,delta_log10_M4,upstream_particles,downstream_particles,upstream_coordination,downstream_coordination,upstream_gap_nm,downstream_gap_nm,near_branch,downstream_class
7,11,370.9655045694788,381.25049505580847,17,18,8.09251686075586e-08,1.1698858444745896e-08,0.14456390571737648,-0.8399401268514513,"[5, 6]","[6, 10]","[4, 4]","[4, 4]",3.1001357411092307,2.378620962607908,True,transition
7,12,370.9655045694788,377.1660565781502,17,18,8.09251686075586e-08,8.158231395835813e-09,0.10081204075580777,-0.9964875936691735,"[5, 6]","[6, 39]","[4, 4]","[4, 3]",3.1001357411092307,4.3582981106012895,True,transition
9,8,365.61598870759553,369.70042718525383,17,17,3.154402188813481e-09,3.766598916787667e-08,11.940769411539312,1.0770323117531473,"[5, 39]","[5, 10]","[4, 3]","[4, 4]",2.5535227214779432,3.1963251033621454,True,transition
8,11,369.70042718525383,381.25049505580847,17,18,3.766598916787667e-08,1.1698858444745896e-08,0.31059474882245314,-0.5078058910952598,"[5, 10]","[6, 10]","[4, 4]","[4, 4]",3.1963251033621454,2.378620962607908,True,transition
8,19,369.70042718525383,391.02106941262457,17,18,3.766598916787667e-08,1.1086194271527841e-07,2.9432903572814357,0.4688331076126782,"[5, 10]","[10, 21]","[4, 4]","[4, 2]",3.1963251033621454,2.785116746716497,True,transition
8,20,369.70042718525383,385.6597161682271,17,18,3.766598916787667e-08,4.4598481031063303e-08,1.1840517670275068,0.07337069026099001,"[5, 10]","[10, 185]","[4, 4]","[4, 1]",3.1963251033621454,2.662957410937352,True,transition
9,12,365.61598870759553,377.1660565781502,17,18,3.154402188813481e-09,8.158231395835813e-09,2.5863003217432166,0.41267895384016545,"[5, 39]","[6, 39]","[4, 3]","[4, 3]",2.5535227214779432,4.3582981106012895,True,transition
9,77,365.61598870759553,386.6534846440155,17,18,3.154402188813481e-09,3.094613830760576e-08,9.810460573908635,0.9916893967797092,"[5, 39]","[39, 73]","[4, 3]","[3, 3]",2.5535227214779432,1.657562869629853,True,transition
11,10,381.25049505580847,393.875994790595,18,18,1.1698858444745896e-08,4.335799514892132e-08,3.706173158150652,0.5689257063678029,"[6, 10]","[6, 7]","[4, 4]","[4, 2]",2.378620962607908,3.415378888241367,True,transition
12,10,377.1660565781502,393.875994790595,18,18,8.158231395835813e-09,4.335799514892132e-08,5.314631694689665,0.7254731731855251,"[6, 39]","[6, 7]","[4, 3]","[4, 2]",4.3582981106012895,3.415378888241367,True,transition
10,13,393.875994790595,416.2813038933766,18,19,4.335799514892132e-08,5.786328978907376e-08,1.3345471715269868,0.12533392917021757,"[6, 7]","[7, 8]","[4, 2]","[2, 3]",3.415378888241367,1.584632114402151,True,transition
