hotspot_id,steps,corrected_geodesic_nm,classification,M2,M4
84,10,197.9158436518796,transition,0.007153072338874444,5.116644388517071e-05
85,26,570.6826250344178,transition,9.330473911640773e-05,8.705774341580906e-09
86,26,568.1379559762632,transition,0.00011833818152491076,1.400392520662273e-08
87,16,333.46980716609505,transition,0.0004097055568924274,1.6785864334853407e-07
88,16,330.75212365891906,transition,0.00014104533306061334,1.9893785978179347e-08
89,26,572.5889541841094,transition,3.0510023731593396e-05,9.308615481023922e-10
90,26,568.5324038695861,transition,5.246740260136357e-05,2.7528283357335723e-09
91,27,580.6638400806862,transition,5.054856592382122e-05,2.5551575169548994e-09
92,27,595.7531519704781,transition,4.235015771069351e-05,1.793535858120613e-09
93,28,620.5712649317784,transition,2.8123620900091878e-05,7.909380525320847e-10
94,28,614.4276790552589,transition,5.7527889246675834e-05,3.309458041177801e-09
95,7,149.5436616205417,source,0.003962239013109668,1.5699337997008277e-05
96,29,644.2987318165135,transition,5.404865766963706e-05,2.921257395889617e-09
97,29,638.0749939681226,transition,1.4738035471666445e-05,2.172096895640984e-10
98,27,592.1379456100192,transition,3.924913564433175e-05,1.540494648827153e-09
99,28,615.3414443003772,transition,4.1507041738357054e-05,1.7228345138697147e-09
100,15,288.756600494825,transition,9.157195138748001e-05,8.385422280911002e-09
101,15,298.3955268970099,transition,0.0006494284391789962,4.2175729761446716e-07
102,17,356.0546877147582,transition,0.000578606309064783,3.3478526088957127e-07
103,22,480.5831074470795,transition,0.0002723313896283561,7.41643857769115e-08
104,22,480.11249632344,transition,0.00012575691304111576,1.581480117763075e-08
105,22,473.04124098184764,transition,7.453869637522528e-05,5.556017257318021e-09
106,27,591.7969042822185,transition,9.8487948156396e-05,9.699875932056947e-09
107,6,126.6156315069239,source,0.009620437926753609,9.255282590251927e-05
108,8,133.38433253605552,source,0.003333550976693462,1.1112562114213935e-05
109,22,482.15450600985736,transition,6.812072171594869e-05,4.640432727101723e-09
110,29,638.106455608958,remote,4.4969499985767445e-05,2.0222559289699383e-09
111,6,110.81816575841925,source,0.0013204462211235137,1.743578222879367e-06
112,5,104.13272101339376,source,0.03813500693799907,0.0014542787541612374
113,7,121.90826781649308,source,0.006097586319507156,3.718055892384083e-05
114,5,99.57037632767899,source,0.11506017700621407,0.013238844332701312
115,6,117.92491776904694,source,0.02190772490021386,0.0004799484103034503
116,17,344.5198053515114,transition,5.4955788643589335e-05,3.0201387054388625e-09
117,27,600.0121792268635,transition,2.3537092599656643e-05,5.539947280448115e-10
118,4,81.16737984050741,source,0.15260978777993547,0.023289747326236943
119,30,666.5481768728687,transition,5.947052602378864e-05,3.536743465546122e-09
120,12,220.82996030454314,transition,0.005502915515436241,3.0282079170028913e-05
121,9,173.38005130911995,transition,0.0034493214661908086,1.189781857712471e-05
122,10,201.63469220422928,transition,0.0008834146537475201,7.804214504558509e-07
123,11,222.9776131781576,transition,0.0004450591468058468,1.980776441555483e-07
