class,all_transitions,events,probability,median_ratio,p95_ratio,max_ratio,remote_transitions,remote_events,remote_probability,remote_median,remote_p95,remote_max
any,468,201,0.42948717948717946,3.112044118543628,112.89126794853696,72848.72516757641,44,17,0.38636363636363635,2.7060459096297538,85.46412206139605,229.84888534734907
2x,468,130,0.2777777777777778,5.515855030331505,214.30771505948888,72848.72516757641,44,10,0.22727272727272727,9.65542025025082,148.63245599900037,229.84888534734907
10x,468,47,0.10042735042735043,25.386405671823777,524.5502850629598,72848.72516757641,44,5,0.11363636363636363,16.147542031132314,193.75269452586082,229.84888534734907
100x,468,11,0.023504273504273504,275.2663482518481,38053.65324578797,72848.72516757641,44,1,0.022727272727272728,229.84888534734907,229.84888534734907,229.84888534734907
