coordination,threshold,transitions,events,probability
1,2,28,9,0.32142857142857145
1,10,28,1,0.03571428571428571
1,100,28,0,0.0
2,2,254,72,0.28346456692913385
2,10,254,30,0.11811023622047244
2,100,254,7,0.027559055118110236
3,2,371,93,0.25067385444743934
3,10,371,33,0.0889487870619946
3,100,371,7,0.018867924528301886
4,2,232,77,0.33189655172413796
4,10,232,29,0.125
4,100,232,8,0.034482758620689655
5,2,61,17,0.2786885245901639
5,10,61,1,0.01639344262295082
5,100,61,0,0.0
