particle_id,x_nm,y_nm,radius_nm,coordination
0,0.0,0.0,10.0,2
1,8.39615211719718,-20.59239556424807,10.0,4
2,23.052890149895337,-3.6316572586609297,10.0,4
3,28.902764280629526,-34.504768779143646,10.0,4
4,47.25801443763464,-48.89382846168845,10.0,5
5,46.19049626630217,-2.447818322067865,10.0,4
6,70.13980754995195,-8.071468613873776,10.0,4
7,93.4146113844247,-6.279638547732656,10.0,3
8,68.67269089455054,-58.72475935099037,10.0,2
9,-6.941222932566802,-36.16554309654011,10.0,3
10,44.16781853785837,-71.72314882926273,10.0,4
11,3.8629002833695996,-56.55422065197754,10.0,4
12,1.0715341187094642,-79.09256346215689,10.0,3
13,37.04042213549812,-91.58859893444858,10.0,4
14,86.99884279091745,-69.76110831415866,10.0,4
15,37.38286584986241,-114.72092613067005,10.0,5
16,48.97267740689594,-135.03230583554313,10.0,3
17,16.633521972469975,-96.76319101944715,10.0,3
18,-19.00023728531319,-55.19840279867063,10.0,3
19,-15.398978393081798,-93.20253907325102,10.0,3
20,-11.41154332576123,-114.68198875504952,10.0,4
21,-31.162585470218147,-74.80289417586103,10.0,3
22,62.72553943550507,-155.3941423534793,10.0,2
23,62.05020018982117,11.419578780810271,10.0,4
24,76.79345644668328,26.81646780396286,10.0,3
25,12.571855989897355,-118.61075239183717,10.0,5
26,-5.037378115217723,-137.39768856812177,10.0,4
27,99.87979548936016,34.85485879918607,10.0,3
28,117.42120464254562,-6.743255644276398,10.0,4
29,76.8915856303044,-174.27228293938094,10.0,3
30,139.56135652095494,-17.034515691427963,10.0,5
31,122.94605403345918,26.6677913224104,10.0,4
32,-10.032435424434258,-159.30065831132552,10.0,3
33,-53.88847303132353,-82.40507427922861,10.0,3
34,71.32810980967815,-195.42781810085222,10.0,3
35,27.37430631631372,-136.53375775995397,10.0,4
36,32.79252687410589,-158.23200260313786,10.0,2
37,43.292651627206496,-179.0838673094755,10.0,2
38,157.08077893736655,-0.6077481969090854,10.0,4
39,93.208805452625,-205.6212683208563,10.0,3
40,60.845544259955446,-85.31887199940272,10.0,4
41,-5.35937650740959,-181.68180069898204,10.0,3
