hotspot_id,particle_i,particle_j,x_nm,y_nm,gap_nm
0,0,1,4.19807605859859,-10.296197782124034,2.238303115336347
1,0,2,11.526445074947668,-1.8158286293304648,3.3371951765315195
2,1,2,15.724521133546258,-12.112026411454499,2.4162131866591494
3,1,3,18.649458198913354,-27.548582171695855,4.7805421831721695
4,1,9,0.7274645923151892,-28.378969330394092,1.8576759395791314
5,2,5,34.621693208098755,-3.0397377903643976,3.1678719658448706
6,2,85,21.779980787865888,8.418764919572133,4.234931228917777
7,3,4,38.080389359132084,-41.699298620416045,3.322955363205427
8,3,116,38.771142953338334,-28.96332277552375,2.635593337839321
9,3,145,27.58189879699054,-47.139554893942474,5.407282876575536
10,4,8,57.96535266609259,-53.809293906339406,3.5634371411434493
11,4,10,45.71291648774651,-60.30848864547559,3.037516774694616
12,4,116,47.94876803184089,-36.157852616796156,5.509388173736266
13,4,145,36.7595238754931,-54.33408473521487,3.648652596291292
14,5,6,58.165151908127065,-5.25964346797082,4.600710428068609
15,5,23,54.12034822806167,4.485880229371203,1.0673897517133568
16,5,116,47.41500894617465,-12.93484754698586,1.1165540055618592
17,6,7,81.77720946718833,-7.175553580803216,3.3436747004218397
18,6,23,66.09500386988657,1.6740550834682475,1.1031437417011851
19,6,113,73.12329605199785,-19.09692689903204,2.843986870912456
20,7,28,105.41790801348516,-6.511447096004527,4.011069544546828
21,7,126,96.50429561528429,-16.37624816024297,1.1175447733734565
22,8,14,77.83576684273399,-64.24293383257452,1.3927287124746748
23,9,11,-1.5391613245986013,-46.359881874258825,3.074385168942939
24,9,18,-12.970730108939996,-45.681972947605374,2.5315240407906536
25,10,13,40.60412033667825,-81.65587388185565,1.105352102203998
26,10,40,52.506681398906906,-78.52101041433272,1.517207620427417
27,10,145,35.214425925604964,-65.74874491900201,1.5273538877487134
28,11,12,2.467217201039532,-67.82339205706721,2.7105398811735135
29,11,18,-7.568668500971795,-55.876311725324086,2.903303288736762
30,11,145,15.061966798360576,-58.16428083035942,2.628423240270479
31,12,17,8.85252804558972,-87.92787724080202,3.5462639123291844
32,12,19,-7.163722137186166,-86.14755126770396,1.6879965452492556
33,13,15,37.211643992680266,-103.15476253255932,3.1348617720217824
34,13,17,26.83697205398405,-94.17589497694786,1.0527427550409172
35,13,40,48.94298319772678,-88.45373546692565,4.616931474096592
36,14,76,99.03396511760542,-68.69029577618322,4.16533127518251
37,14,100,93.8036659129796,-78.84484118181437,2.69976392242706
38,14,115,92.63959190669505,-58.770799226468725,4.706674760485736
39,15,16,43.177771628379176,-124.87661598310659,3.3853774278517434
40,15,25,24.977360919879885,-116.66583926125361,5.114078892393181
41,15,35,32.37858608308807,-125.62734194531201,3.9993934845045054
42,15,65,48.19375848002411,-111.72074482280709,2.438938240561633
43,16,22,55.849108421200505,-145.21322409451122,4.571235222534465
44,16,35,38.17349186160483,-135.78303179774855,1.6504963372162642
45,17,25,14.602688981183665,-107.68697170564215,2.221905149521632
46,18,21,-25.08141137776567,-65.00064848726583,3.0707346118235606
47,19,20,-13.405260859421514,-103.94226391415026,1.8464275580473668
48,19,21,-23.280781931649972,-84.00271662455603,4.228872042098715
49,20,25,0.5801563320680625,-116.64637057344333,4.303057964957361
50,20,26,-8.224460720489475,-126.03983866158563,3.593071019452168
51,20,94,-19.460545993822628,-123.3620853097056,3.67534752848303
52,21,33,-42.52552925077084,-78.60398422754483,3.9637039658739397
53,22,29,69.80856253290474,-164.83321264643013,3.6021409362425274
54,23,24,69.42182831825222,19.118023292386564,1.3173121346660501
55,23,92,52.659319113473494,19.348682399435027,4.581239316600222
56,24,27,88.33662596802172,30.835663301574463,4.445751781966383
57,24,121,68.68887117792165,35.258797145852355,3.405745200318343
58,25,26,3.767238937339816,-128.00422047997947,5.749448472938969
59,25,35,19.973081153105536,-127.57225507589557,3.245357753572385
60,26,32,-7.534906769825991,-148.34917343972364,2.4653217447259514
61,26,94,-16.273463388550873,-134.7199352162417,3.1015129619788233
62,27,31,111.41292476140967,30.761325060798235,4.476118096881677
63,27,56,109.29347691939836,42.26198989154019,3.956877015634994
64,28,30,128.4912805817503,-11.88888566785218,4.415084651852634
65,28,161,120.09494807138952,-19.151532083900875,5.386155922110447
66,28,185,126.32051958026844,-0.9334900009577942,1.255698830295998
67,29,34,74.10984771999128,-184.85005052011658,1.8748469977492768
68,29,97,86.97464960794395,-168.34041509454315,3.3970284699397446
69,30,38,148.32106772916075,-8.821131944168524,4.016012410965466
70,30,70,150.20416224854137,-22.819945503586972,4.227299632155859
71,30,161,131.16502401059418,-24.29716210747666,2.203101818357368
72,30,185,137.3905955194731,-6.079120024533577,2.3367766290270957
73,31,42,134.813375940282,28.559902830586573,4.0344265751882915
74,31,56,120.82660619144787,38.168456153152356,3.388659705427429
75,31,185,129.0829442757252,15.772033482385606,5.010314732452439
76,32,41,-7.6959059659219236,-170.4912295051538,2.8637926472958384
77,32,98,-20.39989894151509,-157.49402343493898,1.0473969273711674
78,33,43,-58.347161018450336,-71.22083118612613,4.080464458324659
79,33,95,-55.70570711244888,-93.86649135720998,3.2091724230784457
80,34,39,82.26845763115158,-200.52454321085426,4.138584656250551
81,34,125,73.4732745913971,-207.0700626349306,3.6764515696085986
82,35,36,30.083416595209805,-147.38288018154591,2.364501856460784
83,36,37,38.04258925065619,-168.6579349563067,3.346367631006011
84,37,48,38.667918186120204,-189.86297142700744,3.458665348028326
85,38,45,169.55766303046858,1.358113536779642,5.261611114787151
86,38,50,161.9505165258106,8.853798169576802,1.282406238531145
87,38,185,146.1503067276789,2.134263722725862,2.5383097941415436
88,39,46,99.34321533740471,-214.66242893903686,1.851642497370495
89,39,125,84.41362241287052,-212.16678774493266,1.9270672214726936
90,40,47,71.47388620795216,-91.89397920403874,4.9954945793039585
91,40,65,59.925097685070625,-97.01971775717341,3.4739867380347462
92,41,49,-15.632930103669246,-189.1761653679211,5.433159873382738
