particle_i,particle_j,surface_gap_nm
0,1,2.238303115336347
0,2,3.3371951765315195
1,2,2.416213186659146
1,3,4.7805421831721695
1,9,1.8576759395791314
2,5,3.1678719658448706
2,85,4.234931228917777
3,4,3.322955363205427
3,116,2.635593337839321
3,145,5.407282876575536
4,8,3.5634371411434493
4,10,3.037516774694616
4,116,5.509388173736266
4,145,3.648652596291292
5,6,4.600710428068609
5,23,1.0673897517133533
5,116,1.1165540055618592
6,7,3.3436747004218397
6,23,1.1031437417011851
6,113,2.843986870912456
7,28,4.011069544546828
7,126,1.1175447733734565
8,14,1.3927287124746748
9,11,3.0743851689429356
9,18,2.53152404079065
10,13,1.105352102203998
10,40,1.517207620427417
10,145,1.5273538877487134
11,12,2.7105398811735135
11,18,2.903303288736762
11,145,2.628423240270479
12,17,3.5462639123291844
12,19,1.6879965452492556
13,15,3.1348617720217824
13,17,1.0527427550409172
13,40,4.616931474096592
14,76,4.16533127518251
14,100,2.69976392242706
14,115,4.706674760485736
15,16,3.3853774278517434
15,25,5.114078892393181
15,35,3.9993934845045054
15,65,2.4389382405616367
16,22,4.571235222534465
16,35,1.6504963372162642
17,25,2.221905149521632
18,21,3.0707346118235606
19,20,1.8464275580473668
19,21,4.228872042098715
20,25,4.303057964957361
20,26,3.593071019452168
20,94,3.67534752848303
21,33,3.9637039658739397
22,29,3.6021409362425274
23,24,1.3173121346660501
23,92,4.581239316600222
24,27,4.445751781966383
24,121,3.405745200318343
25,26,5.749448472938969
25,35,3.245357753572385
26,32,2.4653217447259514
26,94,3.1015129619788233
27,31,4.476118096881677
27,56,3.956877015634994
28,30,4.415084651852634
28,161,5.386155922110447
28,185,1.255698830295998
29,34,1.8748469977492768
29,97,3.3970284699397446
30,38,4.016012410965466
30,70,4.227299632155859
30,161,2.203101818357368
30,185,2.3367766290270957
31,42,4.0344265751882915
31,56,3.3886597054274326
31,185,5.010314732452439
32,41,2.8637926472958384
32,98,1.0473969273711674
33,43,4.080464458324659
33,95,3.2091724230784457
34,39,4.138584656250551
34,125,3.6764515696085986
35,36,2.364501856460784
