hotspot_id,particle_i,particle_j,x_nm,y_nm,gap_nm
178,106,110,4.37838552371646,-194.86663249877932,5.258426428183366
179,106,123,17.20082422713498,-206.72669844855295,4.3596275473567445
180,107,156,248.7204999398055,-22.683963036690827,1.5684208531097745
181,108,117,-160.04258608108967,56.92134790429944,3.153178847920895
182,108,136,-153.64287629367936,44.2687544500596,1.026709838668026
183,109,111,-168.0770275439514,-233.18304817849702,3.3140294280202625
184,110,112,-16.45364951478655,-203.2618360228644,3.029618934631035
185,110,115,-19.022798022267438,-190.3049266016273,3.6588005012808544
186,111,141,-185.68524741072503,-249.48428869230875,4.754743320332402
187,111,174,-181.06755386710114,-228.68764709525573,5.098487204757966
188,112,118,-23.39909669036193,-222.57162812020812,2.606682144291927
189,113,135,-207.22015525810758,-16.852524272591268,3.3293583847065555
190,114,121,-267.1173995409956,-136.22045467315337,4.286420998487419
191,116,126,-160.06455054779843,-2.9357097263359044,2.986116604174999
192,117,152,-183.07966710305567,61.19793345591141,3.941738806200558
193,118,122,-16.293449975147546,-243.9887179208639,3.4841577743488656
194,118,134,-31.585425761300478,-239.90121557531234,2.488291511285901
195,119,127,-327.36654196726676,-96.76945660241543,1.6467687108774065
196,119,133,-335.4242658649764,-109.95753663068253,3.231233689106336
197,120,165,37.884096726515416,-96.02712700863161,3.290179578662304
198,121,146,-285.7527953293675,-148.86041277186325,4.0459114186868135
199,122,157,-16.200706281930028,-264.02517428493843,2.8161326551788086
200,122,158,-0.4433974781347718,-247.62003448795048,3.9213758324349968
201,122,176,-2.758097579398254,-264.35705546709175,5.52382674048399
202,123,158,13.480224342572093,-229.98595788442876,3.5065034450478123
203,124,195,-139.00475898072173,-194.48023979633962,3.5627644298653074
204,125,140,275.06360727866513,-56.60935979560472,2.5390552829472135
205,125,156,257.89100473682845,-43.36231455937735,4.119079124436951
206,125,184,264.7925077554012,-65.90381199782908,4.546016029660034
207,126,163,-181.01079379182107,3.7826383314222016,1.3168877104946723
208,128,131,76.12515732928931,-220.27750828763766,3.8505328001083257
209,129,148,226.09334318003425,22.13016622424338,2.685037216785677
210,132,143,130.62771385551474,-247.52220373500973,2.7246413889964565
211,133,139,-357.449573599492,-114.19278894355526,1.7069086245152647
212,135,153,-222.35123713168525,-12.153047779773136,1.200797472981332
213,135,163,-202.33355051670515,-0.5281410028173705,5.095908372619071
214,136,147,-169.2957665636567,34.79570982591816,1.8856718020975194
215,137,167,-60.09327889998728,-180.56602236445025,2.9468643373233157
216,138,144,-279.1747714041003,-173.89712387727604,1.742644604509163
217,139,142,-377.69486775748896,-120.89381140272266,1.7379849211932097
218,140,189,286.7710842728869,-70.80455512378333,2.524739826119916
219,142,151,-397.6549399754555,-131.12095164272577,3.1468806779518523
220,144,146,-293.6871808852424,-163.60831933481683,5.3493350829283735
221,144,149,-293.0363296025646,-186.90394335986616,3.2672090315418387
222,144,159,-300.6061476431648,-179.56732799968125,2.7739215487820026
223,147,172,-191.67070569990943,31.93421171093459,3.534597557908654
224,148,154,248.99898963981607,25.48627814789655,4.910263005340571
225,149,159,-303.74732842597814,-190.76883402874046,1.0834598784067815
226,149,171,-307.7501345953318,-201.74576427851883,4.263348787849235
227,150,169,-211.7049217281266,-163.95173295277942,2.1529584750886492
228,151,199,-419.7968366477091,-140.40557760003912,4.910609407517665
229,152,164,-206.0350540339834,60.44857429117922,2.3396982456484565
230,153,162,-238.3327060714805,-26.628573012257142,2.8200228890733854
231,154,155,271.83634356284864,34.77250169794561,4.404055429050789
232,155,178,292.9351197239015,45.00224849615853,2.5481229096226876
233,156,161,262.14616073828887,-27.665838047037564,3.7242333617154166
234,158,170,16.69423105899373,-250.92592122154676,4.336101497912853
235,159,171,-315.31995263593205,-194.40914891833395,3.3679656742229227
236,159,181,-320.63723834312293,-177.5496972873969,2.0425198547735306
237,160,197,-145.93253862776044,81.55945459550652,3.700236627533762
238,162,186,-242.48009854501558,-46.152980089931795,1.4222848953705167
239,162,192,-256.8750976388061,-31.933808238288,4.682858760910328
240,165,183,52.87073238062034,-112.37358546839619,2.4757644982898483
241,166,177,-82.17849730998009,-146.6286237023587,3.5765259514755137
242,168,186,-227.9284865068648,-56.06988113541711,3.784716812046902
243,170,176,14.379530957730244,-267.66294220068806,3.3705272735102376
244,172,196,-214.3736467419478,26.948221463191402,2.9659874398426425
245,173,175,-115.19393580818269,91.50727016044318,1.19702393516285
246,174,198,-197.20529714430756,-217.11151960696697,4.310814955190509
247,176,193,6.638471202171884,-286.2536102139456,3.6721697066526815
248,177,185,-97.86456875384262,-163.12695249526865,5.042246763361426
249,178,182,313.4247642981777,55.13638173907066,3.2107969101527942
250,182,187,332.56037256492664,68.69902658714204,4.589432946984818
251,184,189,276.499984749623,-80.0990073260077,2.5468084055108164
252,192,194,-280.45975666807215,-31.00907225705431,4.424276642533016
