upstream,downstream,upstream_graph_distance,downstream_graph_distance,upstream_degree,downstream_degree,upstream_mean_gap_nm,downstream_mean_gap_nm,edge_gap_nm,edge_in_loop,downstream_euclidean_nm,enhancement_ratio,enhancement
17,186,10,11,3,2,3.0356374207211942,3.9770670817090252,4.346081354050835,True,203.3694851131927,1.0099820932963257,True
18,20,22,23,3,2,4.022781550781523,2.9090751120575717,2.7557464227716437,True,380.2783058291705,0.9744035052222808,False
23,19,11,12,4,2,3.682794951615616,2.698379151072743,2.172092137061366,True,204.92162716739762,0.4794436184131051,False
20,29,23,24,2,2,2.9090751120575717,3.225079966242504,3.0624038013434998,True,388.0849764925529,0.9043366349878779,False
21,33,19,20,2,3,2.865780703708836,2.8271359845770796,2.946444660701175,True,314.5022108305373,0.8612889820702739,False
22,27,22,23,4,3,3.317008882555937,3.4527183476933865,2.083208790941619,True,409.80911716055084,0.8559942468094016,False
23,24,11,12,4,3,3.682794951615616,3.5887132908050106,4.363310405480167,True,208.8412199916816,0.716453330464759,False
30,23,10,11,4,4,3.249676400686427,3.682794951615616,4.338554619088924,True,200.73432764393897,0.4305607353407456,False
23,140,11,12,4,2,3.682794951615616,3.1986588579972466,3.8572226448320066,True,224.54517038401784,0.3936131571800773,False
24,25,12,13,3,2,3.5887132908050106,3.6674540699390903,3.670366039798033,True,216.09387951093973,0.8536144434238442,False
24,175,12,13,3,2,3.5887132908050106,2.636279249149659,2.7324634271368318,True,231.44230983385464,0.5329227303885297,False
25,26,13,14,2,5,3.6674540699390903,3.2820935061286995,3.6645421000801477,True,229.28167327541334,0.7641420107884129,False
26,32,14,15,5,4,3.2820935061286995,3.240172070537339,4.1802935742350265,True,240.79432351275375,0.6309967107881835,False
26,51,14,15,5,3,3.2820935061286995,3.068642397632375,2.6367692504671716,True,244.0851389984572,0.7565398444655084,False
26,136,14,15,5,2,3.2820935061286995,2.8460696025868533,2.5499404168520954,True,217.66999532568767,1.0755923617941134,True
26,150,14,15,5,3,3.2820935061286995,2.844480962019398,3.3789221890090566,True,252.40598222582727,0.6200634938282272,False
27,28,23,24,3,3,3.4527183476933865,2.184393368630998,2.703120866141262,True,413.8063574665167,0.9361085663898084,False
27,36,23,24,3,4,3.4527183476933865,2.943926065130265,5.571825385997279,True,432.270873630393,0.7874697834856752,False
28,183,24,25,3,2,2.184393368630998,4.096381911675712,2.522833271213411,True,417.4585459492937,0.7657159483032645,False
29,34,24,25,2,3,3.225079966242504,3.111920622482014,3.387756131141508,True,398.1089417615619,0.9499598581364825,False
30,41,10,11,4,4,3.249676400686427,2.45090720847993,4.301697678171163,True,183.95502816237456,0.7524873202610083,False
90,30,9,10,4,4,3.302684778286343,3.249676400686427,1.8408983096198064,True,177.7056591011288,0.6511851295224919,False
47,31,8,9,2,2,3.344363686091995,2.7705984235931247,3.7177475871085655,True,176.0955969859518,0.4707033260953341,False
32,43,15,16,4,3,3.240172070537339,3.588893513772471,3.5524333156405596,True,248.80282372818928,0.6763010657581049,False
33,37,20,21,3,3,2.8271359845770796,3.6313568951082167,2.142496909328244,True,328.2436749546191,0.9650271626660681,False
33,124,20,21,3,3,2.8271359845770796,3.4758766298409824,3.3924663837018194,True,337.57008427079694,0.7161209153335039,False
34,35,25,26,3,4,3.111920622482014,4.1429001581396365,4.648380652469513,True,418.4168791370897,0.6733377712968194,False
34,42,25,26,3,4,3.111920622482014,2.362966774727613,1.2996250838350214,True,396.72410506214385,1.0470053944597473,True
35,40,26,27,4,5,4.1429001581396365,3.309739556065613,4.699856214733586,True,426.0190262604104,1.0232630343739377,True
35,61,26,27,4,3,4.1429001581396365,3.7795566672188663,4.1549025865752185,True,440.9260027595557,0.8021210516435282,False
36,38,24,25,4,4,2.943926065130265,3.5821658617784857,2.3739966980602603,True,440.5376488495986,0.9206991666555081,False
36,70,24,25,4,3,2.943926065130265,4.301591130088133,2.502656207925199,True,454.7728810228557,0.7372981641516106,False
37,53,21,22,3,4,3.6313568951082167,3.4685564491512375,4.898960554777304,True,327.6454250622297,0.9268146753938447,False
38,44,25,26,4,3,3.5821658617784857,3.651428654194531,3.2241909402799322,False,463.564575951086,0.7579153713105463,False
38,156,25,26,4,2,3.5821658617784857,4.30849808347055,2.947065614803087,True,441.5054828294992,0.7358485530799399,False
39,73,18,19,3,3,2.8564612339030284,3.0280901933599473,1.657562869629853,True,358.83687720565274,0.9969788762060893,False
40,46,27,28,5,3,3.309739556065613,3.2336213493474895,2.448363609820124,True,444.16794980707084,0.7672798161393322,False
40,68,27,28,5,3,3.309739556065613,2.9108398835025646,3.241706542171901,True,418.6396530368201,0.9235176449509656,False
41,64,11,12,4,2,2.45090720847993,1.7083316576649015,2.345415363743072,True,192.84523836349234,0.8223400447644236,False
78,41,10,11,4,4,3.0256935374787055,2.45090720847993,1.8124810510470617,True,183.95502816237456,0.5008377621670865,False
42,54,26,27,4,3,2.362966774727613,2.8993373454932176,2.018947270478982,True,402.2255393394974,0.7575435345893305,False
43,52,16,17,3,2,3.588893513772471,2.6544442265597823,3.8874347554086057,True,267.7271516619454,1.1865682097711605,True
43,60,16,17,3,2,3.588893513772471,4.144850305113513,3.326812470268248,True,235.25912649644008,1.044938770567186,True
44,45,26,27,3,3,3.651428654194531,3.0822217386501776,4.262872422200189,True,486.6301009950691,0.8315400122422041,False
44,49,26,27,3,3,3.651428654194531,3.275097822271094,3.4672226001034723,True,470.8275449211977,0.9055440468919832,False
45,79,27,28,3,2,3.0822217386501776,3.440200186046468,3.0031896845764514,False,504.3436909522941,0.7307534281102059,False
46,48,28,29,3,3,3.2336213493474895,4.598443055453227,5.369610398436091,True,461.44317370349916,0.7292122643409282,False
55,47,7,8,3,2,2.7306108785103285,3.344363686091995,2.970979785075425,True,153.12348228512136,0.43127726073985706,False
48,63,29,30,3,2,4.598443055453227,2.2773366397771078,2.80325729161072,True,482.0286606860309,0.9328153549053037,False
49,50,27,28,3,2,3.275097822271094,3.786353204674052,4.377467757535918,False,486.23659538599867,0.7613226718941947,False
50,57,28,29,2,2,3.786353204674052,3.0031248415683134,3.1952386518121862,False,507.4754054718883,0.900260153171095,False
51,151,15,16,3,2,3.068642397632375,3.733922726018829,3.5003998493329753,False,267.5680469211777,0.6466106071911405,False
52,91,17,18,2,2,2.6544442265597823,2.112600692064021,1.4214536977109589,True,283.2764467960632,0.6353338746950857,False
53,71,22,23,4,4,3.4685564491512375,2.9278792929724045,1.217259714972986,True,334.7511801419256,0.9076771793778694,False
53,125,22,23,4,4,3.4685564491512375,2.9455973384141165,3.5199486602885095,True,311.57820068726795,0.9566511131515019,False
53,166,22,23,4,2,3.4685564491512375,3.6610326629969556,4.238056866566151,True,304.01691422967247,0.8035494756657955,False
54,68,27,28,3,3,2.8993373454932176,2.9108398835025646,1.8702977279876727,True,418.6396530368201,0.8022485575713408,False
58,55,6,7,4,3,3.5987456843738412,2.7306108785103285,2.952129439124871,True,131.99616141742086,0.36900098964181405,False
56,102,22,23,3,3,2.5605028016004368,3.1568351632672567,3.0219493959359838,True,424.72348278951705,0.6284114081961585,False
57,77,29,30,2,2,3.0031248415683134,2.4607815509608706,2.8110110313244405,False,525.2352089480008,0.8704791600260251,False
62,58,5,6,3,4,2.412898604840098,3.5987456843738412,2.4955788614805137,True,110.51690682616,0.1400668291170668,False
58,199,6,7,4,4,3.5987456843738412,2.4501306755267898,3.469867272522233,True,130.5028457158666,0.7176984750035845,False
62,59,5,6,3,3,2.412898604840098,2.9868912834895327,1.3030625699531662,True,114.11607891082917,0.4788098323586352,False
59,199,6,7,3,4,2.9868912834895327,2.4501306755267898,2.180204116147685,True,130.5028457158666,0.20994921754366008,False
