edge_id,surface_gap_nm
0,2.418659204525966
1,3.424481581403718
2,2.453198893153857
3,3.7228801202257067
4,2.9860014002403688
5,3.1557956558230025
6,2.491017479293401
7,3.1001357411092307
8,3.1963251033621454
9,2.5535227214779432
10,3.415378888241367
11,2.378620962607908
12,4.3582981106012895
13,1.584632114402151
14,3.543836123631557
15,2.7341203350701093
16,3.3702936113884157
17,4.341560549656062
18,3.1825502846020264
19,2.785116746716497
20,2.662957410937352
21,2.0278770443448515
22,1.7885237686800366
23,4.080662243492828
24,2.1651695351515023
25,2.937381648035064
26,3.6080528093672157
27,3.4402159857315233
28,1.8859859352315809
29,5.436158091802639
30,3.2246661650841197
31,4.066998363042909
32,1.823449260077684
33,4.346081354050835
34,2.7557464227716437
35,4.971037679916861
36,2.172092137061366
37,3.0624038013434998
38,2.946444660701175
39,2.083208790941619
40,2.773573073633745
41,4.363310405480167
42,4.338554619088924
43,3.8572226448320066
44,3.670366039798033
45,2.7324634271368318
46,3.6645421000801477
47,4.1802935742350265
48,2.6367692504671716
49,2.5499404168520954
50,3.3789221890090566
51,2.703120866141262
52,5.571825385997279
53,1.3272259685383219
54,2.522833271213411
55,3.387756131141508
56,4.301697678171163
57,2.517554995865815
58,1.8408983096198064
59,3.7177475871085655
60,3.5524333156405596
61,3.142198788321611
62,2.0857626039521584
63,2.142496909328244
64,3.3924663837018194
65,4.648380652469513
66,1.2996250838350214
67,4.699856214733586
68,3.068461178780229
69,4.1549025865752185
70,2.3739966980602603
71,2.502656207925199
72,4.898960554777304
73,3.8526132212191015
74,3.2241909402799322
75,5.7834101939706635
76,2.947065614803087
77,1.657562869629853
78,2.448363609820124
79,4.8087670380129985
80,1.3500043755894566
81,3.241706542171901
82,2.345415363743072
83,1.3440347409584241
84,1.8124810510470617
85,2.018947270478982
86,3.064833565816219
87,3.8874347554086057
88,3.326812470268248
89,4.262872422200189
90,3.4672226001034723
91,1.9806031091738916
92,3.0031896845764514
93,5.369610398436091
94,1.882890039786254
95,2.970979785075425
96,2.80325729161072
97,5.622461476312871
98,4.377467757535918
99,3.1952386518121862
100,3.068758093096978
101,3.5003998493329753
102,1.4214536977109589
103,1.217259714972986
104,3.5199486602885095
105,4.238056866566151
106,1.8702977279876727
107,2.952129439124871
108,2.26872341133069
109,3.0219493959359838
110,2.8110110313244405
111,5.477407164367747
112,2.4955788614805137
113,3.469867272522233
114,1.3030625699531662
115,2.180204116147685
116,4.962888139958778
117,5.833763039491924
118,3.440054383086615
119,1.7514159879434956
120,1.0712479515867308
121,3.4266310581966835
122,3.4828179415839813
123,1.8647352298357234
124,4.87157689794774
125,5.164908685792632
126,3.6205153803481203
127,4.408565056819931
128,4.618706988368537
129,2.8159751372841484
130,4.40718035822897
131,3.271101961403513
132,2.2454926084629
133,3.085076694913951
134,3.123780741319809
135,4.30292696913018
136,2.7714855531438687
137,1.1088481980717262
138,2.3242212523709505
139,2.598032731397609
140,2.1105520705973007
141,4.289920161417964
142,3.8772106875164845
143,2.5819815609066517
144,3.8401169873877663
145,3.094556656921988
146,1.611473123825352
147,1.9534173207280006
148,2.8865705326645674
149,2.135975480213414
150,3.7777557678880456
151,1.5707855386801377
152,3.1946205981128557
153,2.836650070467435
154,2.2881504299093827
155,1.0891743032752714
156,1.627886205129613
157,3.562644748490591
158,3.730348001051901
159,2.7369723913051693
160,4.342948250802433
161,2.8037476864170827
162,3.0786156212651328
163,2.6239719303016678
164,2.300008478232524
165,1.881727902106551
166,4.4708702744113005
167,2.720383102708748
168,3.4991930659693757
169,4.471159596851464
170,4.622701992916266
171,2.064814153413483
172,3.9971275145966665
173,1.1460749872691167
174,3.8283494608030004
175,4.513959045001847
176,3.163832208166653
177,3.6919012249683156
178,2.7566548688974706
179,2.607757356367113
180,4.85134648728982
181,4.5490656776021545
182,2.3620911488270018
183,2.7261404424236098
184,4.926111345741624
185,1.0471677285404368
186,3.2443526027223513
187,2.1645943949491304
188,2.2675478428532188
189,3.863594921024742
190,3.5682046277630484
191,2.7808085488256005
192,4.9661787658973005
193,3.1257694897728356
194,2.8734050106375726
195,1.844547594314669
196,4.718797843781591
197,3.3825481333235956
198,3.240911253654179
199,3.4626529253050045
200,3.2697263399169323
201,2.877822565743063
202,3.55795006707935
203,2.0910283180003617
204,1.9686643077217312
205,1.3246304703985565
206,1.907330272536683
207,3.0840084594277606
208,2.9437415250790764
209,3.149830330058556
210,4.624218404436867
211,3.1300383862003045
212,3.934585312817653
213,3.3198488080065545
214,4.039162292301377
215,3.7766334433898976
216,2.8347932464999666
217,2.1803875789148286
218,3.4106610123227945
219,3.385802703897216
220,3.498936135995809
221,3.899460337772961
222,2.5400950711624866
223,3.1086985534067324
224,2.788910446192123
225,2.2252545118808733
226,4.271944377385594
227,2.911715860236111
228,1.9414275713565416
229,2.2485287702685746
230,3.737460242364488
231,3.4610789204311168
232,3.9674456027046823
233,3.6399389876389705
234,4.232142224145132
235,5.669930552138013
236,2.0415435998708418
237,2.6326721917859857
238,4.162785059260617
239,3.638817967487075
240,4.558101166984063
241,3.968195564641171
242,3.9848618095656327
243,3.2309464859239405
244,2.58759771912516
245,3.4265460325272095
246,2.902768850957436
247,4.076764488226715
248,3.347223187889501
249,1.6169580762179976
250,5.396961172608126
251,3.7089683902047703
252,3.1388908048675788
253,4.615405007380332
