id,x_nm,y_nm,radius_nm,degree,euclidean_nm,graph_distance,incident_intensity,scattered_intensity,total_intensity,dipole_intensity,incident_normalized,scattered_normalized,total_normalized,dipole_normalized,remote
0,0.0,0.0,10,2,292.5981943331369,15,2.6130704607078887e-25,2.686993481409833e-05,2.6869934809204044e-05,5.0287231868001906e-73,2.6130704607078887e-25,0.0002979325684949322,2.0720066476545224e-05,2.072006647654526e-05,False
1,14.481411106813882,-17.113883629501643,10,3,280.6323458387221,14,2.4359998388481566e-23,2.405974018490015e-05,2.4059740149267238e-05,4.502793699207776e-73,2.4359998388481566e-23,0.0002667732631359782,1.8553056374757493e-05,1.855305637475753e-05,False
2,23.14618408579622,3.6000693915473114,10,3,303.0514769875785,15,4.258877552323074e-27,2.0040982322624195e-05,2.0040982322069768e-05,3.750680945259439e-73,4.258877552323074e-27,0.00022221346571366148,1.5454093540499143e-05,1.5454093540499163e-05,False
3,20.087457549563243,-40.1648550728126,10,2,261.078074138606,13,2.680691778097022e-20,3.1044306653665476e-05,3.104430566133242e-05,5.809959004581567e-73,2.680691778097022e-20,0.0003442178063497933,2.3939026335138753e-05,2.3939026335138787e-05,False
4,44.115193533885524,13.015848867394958,10,2,319.4043376909223,16,5.088014665052908e-30,2.5097522698920192e-05,2.5097522698898925e-05,4.6970152783536207e-73,5.088014665052908e-30,0.0002782801466502208,1.935331597974922e-05,1.9353315979749265e-05,False
5,64.78413548803319,4.147889364219724,10,4,319.96641574720434,17,4.011974694548875e-30,2.7305258567598183e-05,2.7305258567579894e-05,5.1101942693708646e-73,4.011974694548875e-30,0.00030275941771895843,2.105575531525716e-05,2.1055755315257145e-05,False
6,87.6845122793535,1.1165507039525786,10,4,328.2620376176894,18,1.1462828860248837e-31,2.2180188711970463e-05,2.2180188711967695e-05,4.1510346063537693e-73,1.1462828860248837e-31,0.0002459328851513409,1.7103688112293652e-05,1.7103688112293676e-05,False
7,110.56353292882879,6.099560095954825,10,2,344.5906085967469,19,8.027846012537072e-35,1.892757871451416e-05,1.8927578714514092e-05,3.542306843225354e-73,8.027846012537072e-35,0.00020986809907876742,1.4595520680996837e-05,1.4595520680996843e-05,False
8,130.45973214727786,14.468407099805912,10,3,362.71642479206065,20,1.6724614554894388e-38,1.887213057296319e-05,1.887213057296319e-05,3.531929692813125e-73,1.6724614554894388e-38,0.0002092532927033577,1.4552763257612912e-05,1.4552763257612934e-05,False
9,147.08866068641217,-2.1986548805427155,10,4,359.44764811173,21,7.964699099535915e-38,1.4793107927764162e-05,1.4793107927764159e-05,2.768538344786145e-73,7.964699099535915e-38,0.0001640252822135258,1.1407328742494306e-05,1.1407328742494333e-05,False
10,74.45786972479526,-16.935003326712568,10,4,306.00425146338813,18,1.296901637241474e-27,2.4243391783640308e-05,2.424339178334142e-05,4.537164204276741e-73,1.296901637241474e-27,0.00026880958339129004,1.8694674659043012e-05,1.8694674659043036e-05,False
11,23.14281300099637,-63.118191987510414,10,3,241.2686711775793,12,1.9301895096588873e-17,4.822998072150172e-05,4.8229952062088145e-05,9.026262250171375e-73,1.9301895096588873e-17,0.0005347717489541017,3.719130023883591e-05,3.719130023883597e-05,False
12,40.39159991723629,-76.81880208337569,10,2,237.11128052556575,13,7.188880367162614e-17,5.052619342500027e-05,5.052612909384778e-05,9.455993053859514e-73,7.188880367162614e-17,0.000560232046989699,3.89619387267149e-05,3.896193872671487e-05,False
13,47.96584360634245,-99.67726061896414,10,2,221.89484757083707,12,7.280315223493354e-15,7.621919281038082e-05,7.621867541492258e-05,1.4264367332775542e-72,7.280315223493354e-15,0.0008451148110226348,5.877409203130853e-05,5.87740920313086e-05,False
14,13.159551339562682,-82.48502586963176,10,3,219.49893961235824,11,1.464901980458401e-14,4.713335295197152e-05,4.713283837963277e-05,8.820936816645222e-73,1.464901980458401e-14,0.0005226123920252724,3.6345288940549626e-05,3.6345288940549647e-05,False
15,152.35991637286944,20.5694035999359,10,5,380.6068319154245,21,2.5404355893111406e-42,1.5798939349297365e-05,1.5798939349297365e-05,2.956780252605872e-73,2.5404355893111406e-42,0.0001751778935229162,1.2182950048104143e-05,1.2182950048104175e-05,False
16,55.73054736638236,-120.4378992421094,10,3,210.08664635645712,11,2.1223330439068444e-13,0.00010568218694738502,0.0001056816588452909,1.9778381005702313e-72,2.1223330439068444e-13,0.0011717990988528789,8.14937219674954e-05,8.149372196749538e-05,False
17,-2.5481482298868965,-99.20003861576896,10,3,197.87307328811295,10,5.721563947192388e-12,5.580266333466467e-05,5.579193877831337e-05,1.0441492253823304e-72,5.721563947192388e-12,0.0006187372962077846,4.302253386733239e-05,4.302253386733247e-05,False
18,170.5270628050521,-8.767739757259339,10,3,369.74580624746324,22,5.558510486445277e-40,1.3281427647878285e-05,1.3281427647878285e-05,2.4856265428607127e-73,5.558510486445277e-40,0.00014726384264750092,1.0241634961957529e-05,1.0241634961957536e-05,False
19,68.78981143510354,-139.64312614686142,10,2,204.92162716739762,12,8.755858752096117e-13,7.64104298426563e-05,7.640831241104586e-05,1.429985800166818e-72,8.755858752096117e-13,0.0008472352382068232,5.892032577523041e-05,5.892032577523047e-05,False
20,192.35839894670934,-15.187767602016343,10,2,380.2783058291705,23,2.9969808158664896e-42,1.2941469654448714e-05,1.2941469654448714e-05,2.4220032160370182e-73,2.9969808158664896e-42,0.0001434944044682273,9.979485006138477e-06,9.979485006138484e-06,False
21,95.67151278682232,-25.250223900961434,10,2,310.25242667766423,19,2.297166292586935e-28,2.5302842736256477e-05,2.530284273612919e-05,4.7354410370785984e-73,2.297166292586935e-28,0.00028055672552956286,1.9511643301738874e-05,1.951164330173889e-05,False
22,175.29793156344948,15.743309467569361,10,4,391.2779535989358,22,1.0959669165436509e-44,1.3415630504087548e-05,1.3415630504087548e-05,2.5107426817552215e-73,1.0959669165436509e-44,0.00014875187758046262,1.0345122079501473e-05,1.0345122079501485e-05,False
23,79.86594986238497,-158.85043796486548,10,4,200.73432764393897,11,2.6917223073485686e-12,0.00015935504125398533,0.00015936871297598487,2.9825942931514695e-72,2.6917223073485686e-12,0.0017669211731211605,0.00012289312760121578,0.00012289312760121608,False
24,99.56407912127167,-173.1876133356967,10,3,208.8412199916816,12,2.996576771305253e-13,0.00011417456639097395,0.0001141802451835268,2.1368896147535542e-72,2.996576771305253e-13,0.0012659622011367917,8.804719056112178e-05,8.804719056112186e-05,False
25,116.62197777886037,-189.5984122755856,10,2,216.09387951093973,13,3.9056705165798014e-14,9.746366813365399e-05,9.746590644233428e-05,1.824079839156048e-72,3.9056705165798014e-14,0.001080672550301891,7.51583535658651e-05,7.515835356586519e-05,False
26,136.3673171189066,-202.64188294687887,10,5,229.28167327541334,14,8.038801728798646e-16,7.447753001953756e-05,7.447779373216074e-05,1.3938560361313073e-72,8.038801728798646e-16,0.0008258033362342508,5.743165542136672e-05,5.743165542136671e-05,False
27,196.55932808237995,21.71165333912473,10,3,409.80911716055084,23,5.987275657907583e-49,1.148370252881966e-05,1.148370252881966e-05,2.149181290801278e-73,5.987275657907583e-49,0.0001273307514109725,8.855364982594179e-06,8.855364982594184e-06,False
28,215.46091846863874,9.135422666434762,10,3,413.8063574665167,24,6.790792978426898e-50,1.0749992311100379e-05,1.0749992311100379e-05,2.0118670170437823e-73,6.790792978426898e-50,0.0001191954071606624,8.289583018714738e-06,8.289583018714752e-06,False
29,212.8465145850529,-25.77604350917355,10,2,388.0849764925529,24,5.679813060736636e-44,1.1703445119101879e-05,1.1703445119101879e-05,2.190306238320735e-73,5.679813060736636e-44,0.00012976724687638612,9.024813889363249e-06,9.024813889363257e-06,False
30,66.07632467603601,-178.90564871335638,10,4,177.7056591011288,10,8.55892033296044e-10,0.0003694476574534474,0.00037014223521766545,6.927232439788188e-72,8.55892033296044e-10,0.004096418181550214,0.0002854257657841431,0.0002854257657841431,False
31,-12.177179031182261,-118.78433598470437,10,2,176.0955969859518,9,1.2473381103423306e-09,8.714240876782386e-05,8.698285609488886e-05,1.6278889710913615e-72,1.2473381103423306e-09,0.0009662309137948046,6.707461604962683e-05,6.707461604962685e-05,False
32,153.7607447958474,-219.43936106066792,10,4,240.79432351275375,15,2.2452165202271592e-17,4.699520596331944e-05,4.6995242871754195e-05,8.795185741111105e-73,2.2452165202271592e-17,0.0005210806247380157,3.623918566600273e-05,3.6239185666002744e-05,False
33,116.36078769862206,-35.174599256146024,10,3,314.5022108305373,20,3.9703000407689854e-29,2.1793059663733507e-05,2.1793059663684928e-05,4.078583190479228e-73,3.9703000407689854e-29,0.00024164041654364942,1.680516339787295e-05,1.680516339787297e-05,False
34,234.06070433280047,-35.6221234497544,10,3,398.1089417615619,25,3.100784354980506e-46,1.111780306505013e-05,1.111780306505013e-05,2.0807030034306182e-73,3.100784354980506e-46,0.00012327367543345368,8.57321092204767e-06,8.573210922047678e-06,False
35,258.68215551423225,-34.47025083986861,10,4,418.4168791370897,26,5.372559223339807e-51,7.486036737537802e-06,7.486036737537802e-06,1.4010159230605707e-73,5.372559223339807e-51,8.300482187592918e-05,5.7726667351091274e-06,5.7726667351091325e-06,False
36,220.82600661380718,29.77679850981469,10,4,432.270873630393,24,2.2189722823036958e-54,9.043068743983509e-06,9.043068743983509e-06,1.6924153257387462e-73,2.2189722823036958e-54,0.00010026911924466672,6.97333234553006e-06,6.973332345530071e-06,False
37,138.49501059974406,-35.779864440224266,10,3,328.2436749546191,21,1.1554556980717506e-31,2.1030894533060503e-05,2.1030894533058212e-05,3.9359435640056894e-73,1.1554556980717506e-31,0.0002331895655620705,1.6217439151989e-05,1.6217439151989012e-05,False
38,241.33313101611665,20.8295320561421,10,4,440.5376488495986,25,1.8809184848924713e-56,8.325945856594095e-06,8.325945856594095e-06,1.558205380042674e-73,1.8809184848924713e-56,9.23176945298465e-05,6.42034127934143e-06,6.420341279341436e-06,False
39,77.0884008336407,23.0493824653772,10,3,342.3888269730828,18,2.1823083387532833e-34,1.2975121795195601e-05,1.2975121795195508e-05,2.428301232822711e-73,2.1823083387532833e-34,0.00014386753781586806,1.0005434998138935e-05,1.0005434998138936e-05,False
40,278.292566358939,-49.4873971576722,10,5,426.0190262604104,27,7.707237753729155e-53,7.660184667487695e-06,7.660184667487695e-06,1.433607804637163e-73,7.707237753729155e-53,8.493576590043139e-05,5.90695647979725e-06,5.906956479797263e-06,False
41,83.70983439251427,-195.62784489448333,10,4,183.95502816237456,11,1.9206415476521185e-10,0.00027818537894663375,0.0002785273386943604,5.21265457544134e-72,1.9206415476521185e-10,0.003084506346618312,0.00021477926962835568,0.000214779269628356,False
42,245.64096900370888,-53.49868628671063,10,4,396.72410506214385,26,6.41988286918806e-46,1.1640399783648588e-05,1.1640399783648588e-05,2.178507268860455e-73,6.41988286918806e-46,0.00012906820317370592,8.976198083225124e-06,8.976198083225141e-06,False
43,166.33525459232465,-239.3541499991928,10,3,248.80282372818928,16,1.6803981923004587e-18,3.1782926241401986e-05,3.1782932839728275e-05,5.948193490253928e-73,1.6803981923004587e-18,0.0003524075854630476,2.4508599888123432e-05,2.4508599888123493e-05,False
44,260.18857888751506,34.388113486349226,10,3,463.564575951086,26,1.9794987355624083e-62,6.31036234541202e-06,6.31036234541202e-06,1.1809878091931343e-73,1.9794987355624083e-62,6.996899972812222e-05,4.86607534467249e-06,4.866075344672493e-06,False
45,282.27236538803936,44.437658350432535,10,3,486.6301009950691,27,1.0079798491131777e-68,5.247318781956652e-06,5.247318781956652e-06,9.820386173143526e-74,1.0079798491131777e-68,5.818202289049749e-05,4.046336351680447e-06,4.046336351680452e-06,False
46,300.68923259705673,-51.01001666925516,10,3,444.16794980707084,28,2.2498776359138286e-57,5.877505083263293e-06,5.877505083263293e-06,1.099978332757914e-73,2.2498776359138286e-57,6.516949884373639e-05,4.532288481761874e-06,4.532288481761881e-06,False
47,-15.816856974606607,-142.2211509362703,10,2,153.12348228512136,8,1.8516526695115991e-07,0.0001875132962818819,0.000184793374664346,3.4584182452997077e-72,1.8516526695115991e-07,0.0020791385753157806,0.00014249870848807617,0.00014249870848807614,False
48,324.95456861711193,-58.41343477187831,10,3,461.44317370349916,29,7.244488818512065e-62,4.2859487904417455e-06,4.2859487904417455e-06,8.021176907563575e-74,7.244488818512065e-62,4.752239781780456e-05,3.3050003464318863e-06,3.305000346431889e-06,False
49,280.44141539115475,22.53344562429391,10,3,470.8275449211977,27,2.2279847659496546e-64,5.71431105561918e-06,5.71431105561918e-06,1.069436480066848e-73,2.2279847659496546e-64,6.336001117078778e-05,4.406445560096022e-06,4.4064455600960315e-06,False
50,304.31509315229493,17.603086162049433,10,2,486.23659538599867,28,1.2983028762971234e-68,4.3504345608985324e-06,4.3504345608985324e-06,8.141862384256155e-74,1.2983028762971234e-68,4.82374129957902e-05,3.354726907368617e-06,3.3547269073686217e-06,False
51,143.56587164362878,-181.180193012172,10,3,244.0851389984572,15,7.817873704620597e-18,5.634540056461327e-05,5.634541848626308e-05,1.0545076287820892e-72,7.817873704620597e-18,0.0006247551409869082,4.344933565987744e-05,4.344933565987744e-05,False
52,187.13910467171715,-251.0933731876352,10,2,267.7271516619454,17,2.6221317254396144e-21,3.771261748239966e-05,3.771261772091345e-05,7.057937301103074e-73,2.6221317254396144e-21,0.0004181557219596572,2.908112549324832e-05,2.908112549324836e-05,False
53,156.09869219828633,-53.388630180204466,10,4,327.6454250622297,22,1.4976890621755283e-31,1.9491741689900764e-05,1.9491741689898497e-05,3.647890256642425e-73,1.4976890621755283e-31,0.00021612351151164327,1.5030560603370087e-05,1.5030560603370126e-05,False
54,262.02045501054545,-68.21420452603807,10,3,402.2255393394974,27,3.5111931260276435e-47,8.818109596138035e-06,8.818109596138035e-06,1.6503140965810983e-73,3.5111931260276435e-47,9.777478283530308e-05,6.799860823140339e-06,6.799860823140347e-06,False
55,-16.99322250308828,-165.16198955280183,10,3,131.99616141742086,7,9.936159277068307e-06,0.00046132353784504544,0.0004284792904391296,8.019013660416002e-72,9.936159277068307e-06,0.005115133605208026,0.0003304109014317585,0.0003304109014317595,False
56,166.91199218107863,36.91668074413601,10,3,402.4352952356774,22,3.1404442234140817e-47,1.1450056822989892e-05,1.1450056822989892e-05,2.1428844783138703e-73,3.1404442234140817e-47,0.00012695768941338892,8.82941995271624e-06,8.829419952716243e-06,False
57,326.8447066209815,23.11993427180357,10,2,507.4754054718883,29,1.130519512215815e-74,3.916522884155336e-06,3.916522884155336e-06,7.329794277148422e-74,1.130519512215815e-74,4.342622081216743e-05,3.020126959474863e-06,3.0201269594748693e-06,True
58,-20.63454142160833,-187.82343351217853,10,4,110.51690682616,6,0.000311110282121513,0.0010932946882503767,0.0011611873747413282,2.1731686053741988e-71,0.000311110282121513,0.01212239988097758,0.0008954200956276182,0.0008954200956276198,False
59,1.3964712313571503,-200.61924365862302,10,3,114.11607891082917,6,0.00018229144980505706,0.0029018757053287793,0.003969447554011294,7.4288430900124e-71,0.00018229144980505706,0.032175860802163926,0.0030609384718752967,0.003060938471875304,False
60,155.4224966225716,-259.97093669151354,10,2,235.25912649644008,17,1.2819706273719892e-16,3.3211147901162025e-05,3.32112187665652e-05,6.215497992801678e-73,1.2819706273719892e-16,0.00036824363978980174,2.5609986235418844e-05,2.5609986235418834e-05,False
61,282.0815541546612,-28.47629870181899,10,3,440.9260027595557,27,1.4999518927341198e-56,6.0047076605559074e-06,6.0047076605559074e-06,1.1237843655746734e-73,1.4999518927341198e-56,6.657991501460403e-05,4.630377512353344e-06,4.6303775123533494e-06,False
62,-17.669316724928503,-210.12272746538002,10,3,94.20587581911472,5,0.0028296525520323805,0.00593038908040399,0.008290238181738345,1.551522668909625e-70,0.0028296525520323805,0.06575587410699678,0.006392806214519443,0.0063928062145194595,False
63,347.7292286013972,-57.27176682208189,10,2,482.0286606860309,30,1.9199305570840838e-67,3.997998842061871e-06,3.997998842061871e-06,7.482276983787142e-74,1.9199305570840838e-67,4.432962238636636e-05,3.0829550711190095e-06,3.0829550711190138e-06,False
64,100.37145134306543,-210.51771085665072,10,2,192.84523836349234,12,2.0969383739750267e-11,0.00022893846852845788,0.00022904418417003623,4.286574596909909e-72,2.0969383739750267e-11,0.002538458929204087,0.0001766215942006523,0.00017662159420065248,False
65,37.92242017983344,-136.6271245575594,10,2,186.277394445397,10,1.087831589313907e-10,0.00017282214862501393,0.00017288328468321594,3.2355202514256463e-72,1.087831589313907e-10,0.0019162438237716707,0.0001333145456717928,0.00013331454567179298,False
66,80.22299531950765,-216.68514225910718,10,4,171.85242994657932,11,3.310651698401764e-09,0.00024982272347813224,0.00025120546273359575,4.70132415307011e-72,3.310651698401764e-09,0.0027700225619894862,0.00019371070023320214,0.0001937107002332023,False
67,369.45342614161734,-58.359580553406076,10,3,500.86858121222616,31,9.25059821440364e-73,3.0299193227060125e-06,3.0299193227060125e-06,5.670510799678785e-74,9.25059821440364e-73,3.359560238577824e-05,2.336445184211341e-06,2.336445184211344e-06,True
68,283.53741944401804,-72.12957989495203,10,3,418.6396530368201,28,4.7493869558660267e-51,7.074315704007731e-06,7.074315704007731e-06,1.3239621035218366e-73,4.7493869558660267e-51,7.843967849647293e-05,5.455178537050202e-06,5.455178537050214e-06,False
69,392.65916696866395,-67.30882242400438,10,2,517.9712545453187,32,9.1800131325057e-78,1.7234927299392993e-06,1.7234927299392993e-06,3.225526193073798e-74,9.1800131325057e-78,1.911000601102087e-05,1.3290275614644312e-06,1.3290275614644324e-06,True
70,236.29801332426905,46.11652141944499,10,3,454.7728810228557,25,4.119308077336902e-60,6.667437983235854e-06,6.667437983235854e-06,1.2478147126492277e-73,4.119308077336902e-60,7.392823754019173e-05,5.141425136378359e-06,5.141425136378366e-06,False
71,174.83596232172331,-63.342866370589505,10,4,334.7511801419256,23,6.666807144239322e-33,1.7692209118249612e-05,1.7692209118249118e-05,3.311106738829209e-73,6.666807144239322e-33,0.0001961703793261118,1.3642896852935105e-05,1.3642896852935122e-05,False
72,30.257441980675818,-158.76431389910192,10,3,164.41339709522677,9,1.7305500849921206e-08,0.0003927515027919343,0.00039372536262508994,7.368591975838713e-72,1.7305500849921206e-08,0.00435481011832042,0.00030361129437125715,0.0003036112943712576,False
73,97.28530671045972,30.868271290196436,10,3,358.83687720565274,19,1.0644821945868727e-37,1.293592234601115e-05,1.2935922346011147e-05,2.4209650341894475e-73,1.0644821945868727e-37,0.00014343289617420012,9.975207340397625e-06,9.97520734039763e-06,False
74,163.52783095653427,-283.58130178023634,10,3,242.3579924380916,17,1.362476865225693e-17,4.7098097518482176e-05,4.709812209842001e-05,8.814439645381734e-73,1.362476865225693e-17,0.0005222214814434063,3.631851836370772e-05,3.631851836370773e-05,False
75,303.3386610507872,-85.00745152281102,10,2,429.8461928628119,29,8.838343499494025e-54,5.069542517561671e-06,5.069542517561671e-06,9.487676909360888e-74,8.838343499494025e-54,5.621084806498803e-05,3.909248709214187e-06,3.909248709214189e-06,False
76,322.32615081967083,-96.74823883888786,10,2,441.7670943130609,30,9.181202218304598e-57,3.326443742086019e-06,3.326443742086019e-06,6.225457893438727e-74,9.181202218304598e-57,3.688345114680317e-05,2.56510244464385e-06,2.565102444643851e-06,False
77,349.62957326368854,22.028111783821938,10,2,525.2352089480008,30,6.123172550512548e-80,3.4092515504222454e-06,3.4092515504222454e-06,6.380433165535724e-74,6.123172550512548e-80,3.780162021568023e-05,2.6289575788556344e-06,2.6289575788556373e-06,True
