particle_id,field,x_real,x_imag,y_real,y_imag,z_real,z_imag
0,incident,5.111820087510796e-13,0.0,0.0,0.0,0.0,0.0
0,scattered,-0.0047872205414385164,-0.0006320789604705328,0.0014940569805100285,0.0011492276660641243,0.0,0.0
0,total,-0.004787220540927334,-0.0006320789604705328,0.0014940569805100285,0.0011492276660641243,0.0,0.0
1,incident,4.935584908446168e-12,0.0,0.0,0.0,0.0,0.0
1,scattered,-0.003609795947144534,2.7399234659815633e-05,0.0025051958680889284,0.002179989988355282,0.0,0.0
1,total,-0.003609795942208949,2.7399234659815633e-05,0.0025051958680889284,0.002179989988355282,0.0,0.0
2,incident,6.526007625128148e-14,0.0,0.0,0.0,0.0,0.0
2,scattered,-0.004247803323897371,-0.00017417671440990507,0.00018253902258167016,0.0013905003493357834,0.0,0.0
2,total,-0.004247803323832111,-0.00017417671440990507,0.00018253902258167016,0.0013905003493357834,0.0,0.0
3,incident,1.6372818261060072e-10,0.0,0.0,0.0,0.0,0.0
3,scattered,-0.003030428451840195,0.0005966050957436161,0.0037651123428400794,0.002707175919194938,0.0,0.0
3,total,-0.0030304282881120125,0.0005966050957436161,0.0037651123428400794,0.002707175919194938,0.0,0.0
4,incident,2.2556627995010486e-15,0.0,0.0,0.0,0.0,0.0
4,scattered,-0.004712900140464615,-0.0008058744663057112,0.0007830925178584924,0.0012741379116717859,0.0,0.0
4,total,-0.004712900140462359,-0.0008058744663057112,0.0007830925178584924,0.0012741379116717859,0.0,0.0
5,incident,2.002991436464189e-15,0.0,0.0,0.0,0.0,0.0
5,scattered,-0.004569397195111854,-0.0007126181146276877,0.0016116030907720985,0.0018223003982385585,0.0,0.0
5,total,-0.004569397195109851,-0.0007126181146276877,0.0016116030907720985,0.0018223003982385585,0.0,0.0
6,incident,3.3856799701461503e-16,0.0,0.0,0.0,0.0,0.0
6,scattered,-0.0040947655340880535,-0.00027396848308993446,0.0007131548662754348,0.0021975976291842216,0.0,0.0
6,total,-0.004094765534087715,-0.00027396848308993446,0.0007131548662754348,0.0021975976291842216,0.0,0.0
7,incident,8.959824782068605e-18,0.0,0.0,0.0,0.0,0.0
7,scattered,-0.003937678087006589,-0.0005496522465335028,0.0003135864991004612,0.001738337111461664,0.0,0.0
7,total,-0.00393767808700658,-0.0005496522465335028,0.0003135864991004612,0.001738337111461664,0.0,0.0
8,incident,1.2932368133831633e-19,0.0,0.0,0.0,0.0,0.0
8,scattered,-0.0036343954203440615,-0.0009616445952066963,0.00033797024263798733,0.0021504223513408413,0.0,0.0
8,total,-0.0036343954203440615,-0.0009616445952066963,0.00033797024263798733,0.0021504223513408413,0.0,0.0
9,incident,2.8221798488997675e-19,0.0,0.0,0.0,0.0,0.0
9,scattered,-0.0028655488290783467,-0.0003096657536527093,0.0005228611426627475,0.002492480929202866,0.0,0.0
9,total,-0.0028655488290783462,-0.0003096657536527093,0.0005228611426627475,0.002492480929202866,0.0,0.0
10,incident,3.601252056218051e-14,0.0,0.0,0.0,0.0,0.0
10,scattered,-0.004149685346128927,0.0007526364916056743,0.001271047103337192,0.0022003365388878105,0.0,0.0
10,total,-0.004149685346092914,0.0007526364916056743,0.001271047103337192,0.0022003365388878105,0.0,0.0
11,incident,4.3933922083725776e-09,0.0,0.0,0.0,0.0,0.0
11,scattered,-0.0032616519908060596,0.0016892523294798826,0.004924521627657548,0.003238382361373104,0.0,0.0
11,total,-0.0032616475974138514,0.0016892523294798826,0.004924521627657548,0.003238382361373104,0.0,0.0
12,incident,8.478726535961998e-09,0.0,0.0,0.0,0.0,0.0
12,scattered,-0.0037936843530001385,0.001942033203283998,0.005237960188379135,0.0022195568379971505,0.0,0.0
12,total,-0.0037936758742736026,0.001942033203283998,0.005237960188379135,0.0022195568379971505,0.0,0.0
13,incident,8.532476324897335e-08,0.0,0.0,0.0,0.0,0.0
13,scattered,-0.00303196117317715,0.002456830485112667,0.007416517712927431,0.0024465594691283903,0.0,0.0
13,total,-0.003031875848413901,0.002456830485112667,0.007416517712927431,0.0024465594691283903,0.0,0.0
14,incident,1.2103313515142872e-07,0.0,0.0,0.0,0.0,0.0
14,scattered,-0.0021258103705215333,0.0033636743494194514,0.0044977841214332015,0.0033271483418380373,0.0,0.0
14,total,-0.002125689337386382,0.0033636743494194514,0.0044977841214332015,0.0033271483418380373,0.0,0.0
15,incident,1.5938743957135207e-21,0.0,0.0,0.0,0.0,0.0
15,scattered,-0.0030843248953672836,-0.0009712721953498925,-0.00023413956733244737,0.002299497396098664,0.0,0.0
15,total,-0.0030843248953672836,-0.0009712721953498925,-0.00023413956733244737,0.002299497396098664,0.0,0.0
16,incident,4.6068786004265885e-07,0.0,0.0,0.0,0.0,0.0
16,scattered,-0.0005733972752980697,0.0038826535620870425,0.009115384954765054,0.0026810745896601674,0.0,0.0
16,total,-0.0005729365874380271,0.0038826535620870425,0.009115384954765054,0.0026810745896601674,0.0,0.0
17,incident,2.391979085860156e-06,0.0,0.0,0.0,0.0,0.0
17,scattered,-0.0022429706803619776,0.004419116752298513,0.004675462361927927,0.003063201706295418,0.0,0.0
17,total,-0.0022405787012761175,0.004419116752298513,0.004675462361927927,0.003063201706295418,0.0,0.0
18,incident,2.3576493561268345e-20,0.0,0.0,0.0,0.0,0.0
18,scattered,-0.0028063256622482126,-0.0007833272823168893,0.0006473753114709263,0.002091235878651993,0.0,0.0
18,total,-0.0028063256622482126,-0.0007833272823168893,0.0006473753114709263,0.002091235878651993,0.0,0.0
19,incident,9.357274577619338e-07,0.0,0.0,0.0,0.0,0.0
19,scattered,-0.0011319039420828877,0.003953837338571173,0.00763372882693382,0.0011057024036844432,0.0,0.0
19,total,-0.0011309682146251258,0.003953837338571173,0.00763372882693382,0.0011057024036844432,0.0,0.0
20,incident,1.7311790247881614e-21,0.0,0.0,0.0,0.0,0.0
20,scattered,-0.002659541777400374,-0.0009613053897087985,0.0006739766023161919,0.002118951315145751,0.0,0.0
20,total,-0.002659541777400374,-0.0009613053897087985,0.0006739766023161919,0.002118951315145751,0.0,0.0
