particle_id,E_inc_x_real,E_inc_x_imag,E_inc_y_real,E_inc_y_imag,E_inc_z_real,E_inc_z_imag,E_scat_x_real,E_scat_x_imag,E_scat_y_real,E_scat_y_imag,E_scat_z_real,E_scat_z_imag,E_total_x_real,E_total_x_imag,E_total_y_real,E_total_y_imag,E_total_z_real,E_total_z_imag
0,2.0089858027919447e-41,0.0,0.0,0.0,0.0,0.0,0.00454440435314358,-0.0005573981332641812,-0.005503176286636763,-0.0046004277063700265,0.0,0.0,0.00454440435314358,-0.0005573981332641812,-0.005503176286636763,-0.0046004277063700265,0.0,0.0
1,7.199149655509618e-37,0.0,0.0,0.0,0.0,0.0,0.006778504864534546,-0.0049342164175917485,-0.009578609506698798,-0.00251702643942658,0.0,0.0,0.006778504864534546,-0.0049342164175917485,-0.009578609506698798,-0.00251702643942658,0.0,0.0
2,1.8709129772322522e-34,0.0,0.0,0.0,0.0,0.0,0.0030291557913744286,-0.005417976071360488,-0.011079490442773815,-0.002182477427731896,0.0,0.0,0.0030291557913744286,-0.005417976071360488,-0.011079490442773815,-0.002182477427731896,0.0,0.0
3,2.2859979028192916e-30,0.0,0.0,0.0,0.0,0.0,0.001700501726089171,-0.005340921424040364,-0.009448258801257487,0.0021649973094627533,0.0,0.0,0.001700501726089171,-0.005340921424040364,-0.009448258801257487,0.0021649973094627533,0.0,0.0
4,1.1749007138184992e-45,0.0,0.0,0.0,0.0,0.0,0.005259650525778213,0.0007608191634844826,-0.0026188081680978614,-0.004323302514637406,0.0,0.0,0.005259650525778213,0.0007608191634844826,-0.0026188081680978614,-0.004323302514637406,0.0,0.0
5,1.1705843827535764e-31,0.0,0.0,0.0,0.0,0.0,0.0013418751359811235,-0.0031128603072733334,-0.013837357958935866,-3.9489659028080494e-05,0.0,0.0,0.0013418751359811235,-0.0031128603072733334,-0.013837357958935866,-3.9489659028080494e-05,0.0,0.0
6,3.649651835869994e-48,0.0,0.0,0.0,0.0,0.0,0.004572568617198858,0.0015174215927983164,-0.003408737989377708,-0.00824440277730147,0.0,0.0,0.004572568617198858,0.0015174215927983164,-0.003408737989377708,-0.00824440277730147,0.0,0.0
7,3.8738955706669133e-25,0.0,0.0,0.0,0.0,0.0,-0.0038406897068391766,-0.00335667993896567,-0.009888373978364628,0.0067070657469293395,0.0,0.0,-0.0038406897068391766,-0.00335667993896567,-0.009888373978364628,0.0067070657469293395,0.0,0.0
8,5.753079317252384e-53,0.0,0.0,0.0,0.0,0.0,0.002177776817875929,0.0009857643333122665,-0.0006237286961585431,-0.006678550229757786,0.0,0.0,0.002177776817875929,0.0009857643333122665,-0.0006237286961585431,-0.006678550229757786,0.0,0.0
9,6.914047781773293e-21,0.0,0.0,0.0,0.0,0.0,-0.006414113985703586,-0.0006323006531042582,-0.011251791135161145,0.016460233620895468,0.0,0.0,-0.006414113985703586,-0.0006323006531042582,-0.011251791135161145,0.016460233620895468,0.0,0.0
