bin_left,bin_right,count,probability
0.07909344774635407,0.40490864397033544,4,0.01702127659574468
0.40490864397033544,0.7307238401943168,2,0.00851063829787234
0.7307238401943168,1.056539036418298,2,0.00851063829787234
1.056539036418298,1.3823542326422795,8,0.03404255319148936
1.3823542326422795,1.708169428866261,17,0.07234042553191489
1.708169428866261,2.033984625090242,29,0.12340425531914893
2.033984625090242,2.3597998213142235,38,0.16170212765957448
2.3597998213142235,2.685615017538205,36,0.15319148936170213
2.685615017538205,3.0114302137621864,32,0.13617021276595745
3.0114302137621864,3.337245409986168,28,0.11914893617021277
3.337245409986168,3.663060606210149,22,0.09361702127659574
3.663060606210149,3.9888758024341304,7,0.029787234042553193
3.9888758024341304,4.3146909986581115,0,0.0
4.3146909986581115,4.640506194882093,4,0.01702127659574468
4.640506194882093,4.966321391106074,0,0.0
4.966321391106074,5.292136587330056,2,0.00851063829787234
5.292136587330056,5.617951783554037,1,0.00425531914893617
5.617951783554037,5.943766979778019,3,0.01276595744680851
