path_step,particle_id,normalized_dipole_intensity,incident_intensity_fraction,increase_from_previous
0,172,1.0,1.0,
1,123,0.3445306589096403,0.36658157269906216,False
2,111,0.0836247102768086,0.02365594040870822,False
3,109,0.011070393921499886,0.0012251712404699508,False
4,62,0.007729364530239977,6.538845386617592e-06,False
