particle_i,particle_j,surface_gap_nm
0,1,3.1820506464605423
0,2,3.0495651991125534
0,6,3.6028045596012745
0,45,3.7112977889680785
1,7,1.5141286254909119
1,18,2.443965748632152
2,3,1.968128038048988
2,10,3.8506471444144026
3,4,2.131060128140909
3,7,3.827555580819787
3,14,4.384998435841549
4,5,3.9556104273237125
4,10,5.1474281636883
5,17,1.5253987779705902
5,110,3.3406012114486785
6,8,4.928977779137487
6,25,4.041351457037923
7,9,2.2915489552578485
8,13,3.172432700015431
8,25,1.7194336670914048
9,11,3.2990056198845643
9,14,2.1563901050117558
10,20,3.2124727894187757
11,12,3.187047082573944
11,27,4.6097244597103035
11,125,3.2504067922978237
12,15,3.4024066237363755
13,23,4.725086326179731
13,38,5.444754086642128
14,27,4.105383766001719
15,16,3.386131860178679
16,19,3.260708937504738
16,145,1.0139671301747946
16,176,5.780120822770218
17,24,3.4504289309922704
17,44,4.484773555208601
17,110,3.1041422933483993
18,21,2.5085779300176654
18,50,4.0050464883883805
18,130,5.1112107931757045
19,28,3.320039843730772
19,66,1.1223592949211785
20,22,2.7722915458905
21,50,2.6140854731712118
21,57,3.1342592131573
21,96,3.1135060274507076
21,130,2.5110170106838616
22,34,4.088497540541773
22,146,3.4269381419199227
23,31,3.5191920594367225
24,26,2.020507596169651
24,193,3.714224112172708
25,38,3.2719353570857947
26,32,3.030691612312534
26,46,2.3183563836538674
26,193,1.25168844303251
27,30,2.141603871885568
28,29,2.4552060200610875
28,66,2.5578646918811323
28,117,2.644655576813541
29,41,1.5314604502818483
29,66,5.098895095315481
29,106,5.027026705000935
29,117,2.1441158849460145
30,40,2.2187107323076773
31,33,3.393107358787045
31,97,3.2860435194309794
32,36,4.256358477013723
33,58,2.3176148239471637
34,35,3.4456734285924817
34,146,3.483747267043558
35,37,2.7367222231930306
35,146,3.312957448289712
36,48,3.4836790684778656
36,59,2.6048207105936747
37,39,2.9812120856142563
37,100,3.8176914561182933
38,42,4.306791614119845
39,43,3.5606016739879784
40,49,2.356029626367061
41,56,2.1442471922628137
41,106,4.08075230759346
42,47,3.017537339733586
42,83,2.075428190342482
43,84,2.157645079232342
44,46,5.022521365185046
44,89,2.623136640022043
44,110,4.668391087708208
45,53,2.716162796816235
46,52,3.8048139372696426
46,89,5.588423201414159
47,51,3.6108998146584987
48,59,3.5962056023659628
48,70,3.602876828488224
49,54,2.716076723020599
51,55,3.5923113277351035
52,61,4.270207779241385
53,71,5.627980654706178
53,73,3.644714383129152
53,105,4.001047988768551
54,68,2.1387972444853425
54,126,3.180201813197904
55,62,4.277845981918269
55,69,2.295802936457651
56,67,3.5755069090264975
56,108,3.3320111591505395
57,60,2.867833890632312
57,75,3.772739210931853
57,96,1.5598444888757896
58,63,3.8906425250955294
58,97,4.3658290077007
58,143,3.378917119693046
59,65,3.5883695335697006
59,99,3.1125337138533524
60,81,1.9794006163689133
61,128,3.2419915409245164
62,64,2.6204582731554034
63,79,3.308853122484358
64,150,1.8676554474679499
65,70,3.241227878183743
65,87,3.9269725248099228
65,99,3.9402127789884283
66,106,2.868012983627043
67,108,3.494969527022789
67,109,1.9542029154516847
68,86,2.3559001285037695
68,126,5.278623135312365
68,144,3.999174009753766
69,76,3.6605486243692766
70,78,2.172471524148385
71,72,3.5870830031008687
71,73,1.4211511981164122
71,105,1.3182458236003924
72,74,2.7874851650802555
73,129,3.982048653020332
74,80,1.325298160589547
75,77,1.8875292029866237
76,92,3.494436440352356
77,141,4.65415488173263
78,85,4.471598710206994
79,82,3.4735695127806174
80,119,3.6511092730813317
81,118,2.722766125003435
81,139,5.567223541240555
82,94,2.3035929483697117
82,131,2.868655249858005
83,90,2.12589877138306
84,91,1.699637635050447
84,134,2.375201000413874
85,88,4.618389849311491
85,192,4.017374345129902
86,95,2.0804588461952953
86,101,2.800584099918538
86,133,2.4437968519189894
87,115,3.1895576776490877
88,98,1.6408024723821093
88,197,4.626196733406815
88,198,4.547186083399101
89,93,4.354498407981424
90,152,3.5307467861892547
91,103,2.057593949200765
92,166,3.110464422278106
93,126,5.192807549887416
93,138,3.3811888663259744
94,112,4.315535029459522
95,101,4.267344237562561
95,102,5.17074194753636
95,171,2.205495884346991
95,173,2.507183621062321
96,114,2.1458800126883375
97,143,4.10509515336274
98,168,5.937441953118174
98,198,2.8879378388318315
99,158,4.242430907758976
100,104,2.89575001725812
101,102,1.7456745204755393
