seed,hotspot_id,particle_i,particle_j,gap_nm,x_nm,y_nm,euclidean_distance_nm,geodesic_distance_nm,geodesic_steps,classification,plasmon_dominated_remote,coordination,coordination_i,coordination_j,M2_inc,M2_scat,M2_CDA,M4_CDA,Cparallel_real,Cparallel_imag,Cperp_real,Cperp_imag,Cparallel_abs,Cperp_abs,M2_FWcorr,M4_FWcorr,FW_correction_status,E_CDA_x_real,E_CDA_x_imag,E_CDA_y_real,E_CDA_y_imag,E_CDA_z_real,E_CDA_z_imag,E_FWcorr_x_real,E_FWcorr_x_imag,E_FWcorr_y_real,E_FWcorr_y_imag,E_FWcorr_z_real,E_FWcorr_z_imag
20365542,0,0,1,1.3722089796242543,8.53434626221724,6.4310001588992005,209.19924267975304,190.13342552347106,10,transition,False,3,3,3,2.714252331325263e-13,0.0024128322047998526,0.0024128612887310175,5.821899598656707e-06,2.527999689128914,0.015175150465910477,0.15317411198518197,0.00292704616785293,2.5280452356371215,0.15320207629701957,0.015224283381240825,0.00023177880447232556,CALIBRATED,0.027912713356001092,0.022155275545108277,0.0265176829270251,0.020968976597316925,0.0,0.0,0.07646172986281838,0.061342797626391415,0.05844476436232022,0.04689518040936263,0.0,0.0
20365542,1,0,2,4.741255338486145,-4.6448631618834915,11.465499340997756,196.64643394115416,176.02535183997847,9,transition,False,4,3,4,7.878976325375819e-12,0.0004045262053597101,0.0004045593802048666,1.636682921117458e-07,1.2385191044598383,0.0015185441523108468,-0.15945593404345693,0.03315551381038519,1.2385200354004542,0.16286645755864507,0.0006191371715676798,3.833308372168266e-07,CALIBRATED,0.005910811955763088,0.0054294660443376065,-0.01205682719037375,-0.013956199296489138,0.0,0.0,0.006085927435370278,0.0070308711198529715,-0.01540828550624537,-0.017182847490248336,0.0,0.0
20365542,2,0,8,1.9167127797351604,9.190667544209866,-5.9680151523901985,209.0641156305766,198.2817966933332,10,transition,False,4,3,4,2.817596628617643e-13,0.0032718896182605366,0.003271927864841608,1.0705511952726965e-05,1.955088743506188,0.007904021479852894,0.1784882019005673,0.0035642201068658147,1.9551047206070984,0.17852378520149034,0.012488412181068333,0.00015596043880425592,CALIBRATED,0.036026860103189125,0.02977965537966267,-0.025455089131609918,-0.02095718918932523,0.0,0.0,0.07186943520301857,0.059824971250209406,-0.04703091074509491,-0.03914412745311846,0.0,0.0
20365542,3,1,6,4.157194017469987,24.307876948524928,22.53085312324684,226.87383940458514,212.67249240268112,11,transition,False,4,3,4,1.6617554982496776e-15,0.0007909475444751352,0.0007909484770584971,6.255994933611558e-07,1.296433596599065,0.0019195394632617634,0.06758189609145071,0.016348790449233302,1.2964350176628745,0.06953125648561648,0.001322062824594515,1.7478501121748273e-06,CALIBRATED,0.011438652827812822,0.00997716695451417,0.017293507206564772,0.016170851758689448,0.0,0.0,0.0160183997331659,0.01462009111827432,0.021484326294374075,0.01975222402549264,0.0,0.0
20365542,4,1,8,4.832747597862415,17.725013806427107,0.462985006509002,217.89902314175603,201.09178191333865,11,transition,False,4,3,4,2.326735364735953e-14,5.981799459528547e-05,5.981876640550427e-05,3.578284814276286e-09,1.2294468931255413,0.001455728886724762,-0.19502104218448024,0.03578825978703785,1.2294477549544909,0.19827759942390197,8.135457409923418e-05,6.6185667268677854e-09,CALIBRATED,0.002529997694959538,0.0013170408618033433,-0.005384765499757099,-0.004763148323322471,0.0,0.0,-0.00011682251890498803,0.0001870808939533077,-0.006784080715730583,-0.0059398801486125075,0.0,0.0
20365542,5,2,3,2.003613952057165,-11.840627598104284,33.63299192747906,193.6331272766117,179.7612658319332,10,transition,False,4,4,4,1.7145569594418588e-11,0.00036279434198100384,0.000362712816432443,1.3156058720435507e-07,1.8844492615482042,0.007095705592654276,0.18239738090182536,0.0036751700897403295,1.884462620586418,0.1824344031015918,0.0010801485849538347,1.1667209655777715e-06,CALIBRATED,-0.009842296173258769,-0.003157626204848811,0.014631360441658556,-0.006464882895073968,0.0,0.0,-0.008305388722765204,0.001567639986256713,0.03005382783975561,-0.010270298932816868,0.0,0.0
20365542,6,2,23,3.50990131032426,-20.897684753761844,24.784148970776176,182.82061086349083,167.09902645679745,9,transition,False,4,4,4,2.5288161193868274e-10,0.0030786057089725073,0.003080068149246558,9.486819804003117e-06,1.4013737695629762,0.0027195901414797646,0.16416789348088068,0.008924469993699495,1.4013764084605118,0.16441028986842104,0.006040045916981837,3.6482154679248956e-05,CALIBRATED,0.04599012690575835,0.0303419345469179,-0.005684954563161215,-0.003467661460428724,0.0,0.0,0.06404633938721814,0.04238198999934788,-0.009964900403227802,-0.006525336139083791,0.0,0.0
20365542,7,2,83,3.4422281788142364,-17.37656962116661,14.446455030142404,184.44269080928504,162.949326213436,8,transition,False,4,4,3,1.7055367886966405e-10,0.0035557188466740597,0.003556661867889938,1.2649843642502342e-05,1.4137116998710966,0.002815159463356274,0.16906715017165538,0.008523902803305231,1.4137145028170397,0.16928188971701985,0.0070950866035095,5.034025391129997e-05,CALIBRATED,0.036110995480615526,0.015336387972188786,0.041367052282799084,0.017499144627311714,0.0,0.0,0.05317466932219444,0.022648519501656986,0.05636610530845506,0.024030145291362513,0.0,0.0
20365542,8,3,4,3.556645910794593,-23.228484781899198,52.12196802230427,188.18402859613224,191.98441676451114,10,transition,False,4,4,3,6.785114381135655e-11,0.00026452589039606124,0.0002644889322275426,6.995439527086563e-08,1.3928514563492234,0.0026535765010783827,0.16078377645390446,0.009201158139477566,1.3928539840637995,0.16104683816171866,0.0004994486921495464,2.494489960898924e-07,CALIBRATED,-0.002239256323366225,0.011605710129899431,-0.0014873115578667598,-0.011071136348920678,0.0,0.0,-0.0010321564624517826,0.01666387739311157,0.00036089525171660125,-0.014851541671866895,0.0,0.0
20365542,9,3,5,4.028659310504267,-12.208766293033094,56.14936897352558,199.91657231685272,198.8695176871474,10,transition,False,4,4,4,3.342767450603211e-12,0.0009411687740453124,0.0009411854471274501,8.85830045884498e-07,1.3091788718096078,0.0020077867293160035,0.11754624044445731,0.012650125284210648,1.3091804114025798,0.11822497330231206,0.0016108472270063943,2.59482878875419e-06,CALIBRATED,0.004560577855566716,0.0008822292712980169,0.028714486378795655,0.009751231730688608,0.0,0.0,0.006836255492258642,0.002215864325237541,0.037412561581208606,0.012629450466088035,0.0,0.0
20365542,10,3,23,5.3244787502714885,-23.448586028099143,35.48614221625972,182.87318171708048,175.34713499110728,9,transition,False,4,4,4,2.496876677030896e-10,0.001676976179598411,0.0016778359482787042,2.8151334693362985e-06,1.1928186497557722,0.0012114944425575076,-3.7005637272575753,5.040176242845878,1.1928192649869331,6.252803248019441,0.0024068735822042678,5.793040440712804e-06,CALIBRATED,0.027213173141818092,0.012113836456477551,0.025770395112954494,0.01124370303147772,0.0,0.0,0.028956643293431922,0.015093682325241622,0.03429694549906298,0.012817436353663088,0.0,0.0
20365542,11,4,5,3.465221413466846,-21.0457222024907,63.936351822867245,194.59978763792532,203.99874641976328,11,transition,False,4,3,4,1.3378040638120643e-11,0.001721333882963034,0.001721562365426597,2.96377697805322e-06,1.4095196531847372,0.0027826879669962763,0.1674025344489787,0.008660003131417102,1.4095223999874367,0.16762638275097885,0.003411282830573869,1.1636850550168069e-05,CALIBRATED,0.031235758014144615,0.024292439707398847,0.009165321994717151,0.008471365445071034,0.0,0.0,0.04305779885985922,0.03416892574175109,0.015363216502648045,0.01240019678332717,0.0,0.0
20365542,12,4,7,1.6223311825414761,-35.05916863313689,70.29735279169512,184.6002863794069,213.6710414881361,11,transition,False,3,3,3,1.6411993834267668e-10,0.0010739648230241564,0.00107360431727267,1.152626230066516e-06,2.1986724473604653,0.010701341817916344,0.16507546716679625,0.0031949706660767954,2.1986984899023247,0.16510638297138336,0.0048707288213530875,2.3723999251159637e-05,CALIBRATED,-0.01406383531899871,-0.0030287404488748082,0.02768837161492675,-0.009999683094969698,0.0,0.0,-0.019505490223037162,0.004330281575546088,0.06426527025411284,-0.018479404025953185,0.0,0.0
20365542,13,5,20,3.5834022707283566,-10.881301278590556,79.72439398709699,210.44417261595228,222.48188664401164,11,transition,False,4,4,3,1.9215083590967724e-13,0.0005848503621339862,0.0005848477833184893,3.420469296525506e-07,1.387973329730938,0.0026157906454855346,0.15884672592142168,0.009359532958031038,1.3879757946034534,0.15912222721275532,0.0011225384354969213,1.2600925391678757e-06,CALIBRATED,-0.0029412827480382723,-0.0011886762549163294,0.02341985837460734,0.005127759899694443,0.0,0.0,-0.002560109405556782,-0.0006684556093949585,0.03260321035907476,0.0072503873488724635,0.0,0.0
20365542,14,5,155,2.5784116744579,-1.0093335935534693,74.75682486123299,217.29198743884666,220.58736075231275,11,transition,False,4,4,2,2.7707783964286065e-14,0.0016783412181497397,0.0016783494207003706,2.8168567779652693e-06,1.623593930206757,0.00456620986968477,0.19857808755447146,0.004775637740603805,1.6236003512184882,0.19863550431033422,0.004419566827178464,1.9532570939896318e-05,CALIBRATED,0.024638796735352658,0.02091323047843131,0.018198433834890455,0.017399221621885036,0.0,0.0,0.039658645792584886,0.03519264191767641,0.029798270398332775,0.026838399303960033,0.0,0.0
20365542,15,6,9,3.180291106026239,40.45171853677748,39.618503319699194,245.91887390449773,236.180180729331,12,transition,False,4,4,4,4.316039750529826e-18,0.0007362834508286254,0.0007362835068872273,5.421134025141536e-07,1.4614671572743454,0.0031850721282808904,0.18803031809049867,0.006973458853607921,1.4614706279894982,0.18815958559052226,0.0015715553386336945,2.469786182388066e-06,CALIBRATED,0.013491790258591152,0.01646367710998922,0.010822919618595068,0.012886692727494483,0.0,0.0,0.019402308916078952,0.02358520695791251,0.016092044725156247,0.01949076336818915,0.0,0.0
