particle_i,particle_j,surface_gap_nm
0,1,1.3722089796242543
0,2,4.741255338486145
0,8,1.9167127797351604
1,6,4.157194017469987
1,8,4.832747597862415
2,3,2.003613952057165
2,23,3.50990131032426
2,83,3.4422281788142364
3,4,3.556645910794593
3,5,4.028659310504267
3,23,5.3244787502714885
4,5,3.465221413466846
4,7,1.6223311825414761
5,20,3.5834022707283566
5,155,2.5784116744579
6,9,3.180291106026239
6,35,3.809633280311548
6,95,2.06237120317482
7,10,1.2390920775296834
7,16,1.5867380734879895
8,12,1.8524467845641475
8,55,4.190254484693007
9,13,2.58053444035264
9,35,1.8904450057739126
9,95,1.9362040692228426
10,11,4.203953570892743
10,16,3.8137210877981573
11,18,4.636240449346758
11,60,5.141936584187839
11,67,2.6750063070870276
12,14,1.676719122822437
12,40,3.771327034210099
12,55,4.972051725866795
13,19,4.058295648814543
13,65,3.4461187137900353
14,15,1.7750006257677313
14,40,3.094780356303719
15,17,2.839488825555666
15,51,4.01413214147701
15,70,3.633199880294697
16,21,2.357410331797393
16,61,4.197384792395209
17,24,4.237440054708365
17,51,4.007013400811559
17,66,2.6825443774231736
17,70,2.937691384243543
18,28,2.1326266018382363
18,67,2.418588055166577
18,82,1.9101046747717874
19,22,2.9012535607907424
19,65,5.930115181805565
19,115,3.4396685252959216
20,29,3.2626614934900644
20,155,2.1027137695490943
21,25,3.9564880581118302
21,27,4.541869448258527
22,31,3.5722647335932827
22,130,2.227627533285702
23,42,2.929139579824266
23,83,1.8418101619080431
24,26,3.490565525146817
24,62,2.3072880640532247
24,66,2.084077841499738
25,37,3.0561947087144112
25,126,5.167497763076376
26,32,2.368655839089673
26,52,3.973001193883931
26,66,1.147103903996868
26,80,3.914951262834972
27,30,2.859939309130727
27,67,2.658273213202925
28,34,2.1712502882239946
28,82,4.529912486201457
29,60,4.033252708975866
30,41,2.8137975050905837
31,33,3.6962117901060445
31,198,3.3971938424279777
32,43,3.0435401802580166
32,52,1.0279155898312666
33,36,2.2963439232954492
33,48,2.5350617380613443
34,46,3.097150601364138
34,82,5.391481627541605
34,86,2.8990442182200873
35,75,2.058932653464776
36,38,2.8103119390231157
36,48,2.9556107183466125
37,39,4.364366881074467
38,44,3.7023083596662367
39,59,2.4577994246449535
39,169,4.354962995974457
40,54,1.7222776605996302
41,50,1.664322262979379
42,100,3.4981098688866332
43,45,3.2952698442830908
44,47,2.761739171954993
44,53,3.0773199664053266
45,49,1.5128885218542756
46,56,1.7258796267316292
46,86,3.561844702300945
47,53,4.260331774357162
47,87,2.564509771715283
48,57,4.3440302170887755
49,58,1.200021781606715
50,110,3.656093572630489
51,77,3.083429866692576
52,90,4.774667211859271
53,71,3.456651620578299
53,88,1.0246257886336956
54,81,4.266772869351055
54,84,5.741121825105203
54,104,1.7163661061843705
55,81,2.919116790091124
56,68,4.59857505363793
56,199,2.7051746311956357
57,63,2.4136877388542928
58,69,5.065255570931221
59,73,1.4241893018547778
59,169,2.6941074565006886
62,64,2.148963700141657
62,93,1.5054158887474962
63,88,2.8288557616558876
64,85,2.543342153605291
64,105,4.032556381480937
65,130,2.5937194798616474
66,80,3.0983572696944606
68,96,1.4711965962009401
68,199,2.619428371809054
69,72,3.172016218950649
70,142,3.083829512160701
71,74,4.580635973420076
72,79,4.152210354431016
73,194,3.134003794651271
74,76,3.285394887273622
74,87,5.738173560282753
75,78,4.055158927378741
76,118,1.3631949360163347
77,93,1.4929039043203325
78,102,4.148345127396617
79,91,2.3068043906383267
79,98,3.818252066765165
80,156,2.7420827665998395
80,171,1.1853748582704
81,84,2.8651254165152658
83,101,3.0707643041742365
84,89,3.4301282151198045
85,92,2.735712750907986
85,105,5.120125175572159
86,114,2.4667781856197877
87,183,3.4950432682259382
