column,distance_nm,normalized_intensity,intensity_std,relative_intensity,ln_relative_intensity,fitted_relative_intensity,fitted_ln_relative_intensity
0,0.44135828385076864,0.6909283667713916,0.08202606799655449,1.0,0.0,0.00259040858409092,-5.955939661237361
1,45.66916383230261,0.004149022708004908,0.001443665909109904,0.006004996910740098,-5.115163337898267,0.0014479804365979663,-6.5375854957466455
2,90.61818613988467,0.00028742573823910223,3.0064652726930058e-05,0.00041599933084554216,-7.784826906248674,0.0008122957357005656,-7.115646077581904
3,134.77716730228622,0.00014264480071407123,1.1028873140394467e-05,0.00020645382006911914,-8.48543380219901,0.00046033943135354163,-7.683546446344413
4,180.3490272698332,0.0001033591609882762,9.750787264342365e-06,0.00014959461205979807,-8.807581508715536,0.00025618340496806266,-8.269616944338571
5,225.48424442792108,7.768879308792729e-05,7.089085547436718e-06,0.00011244116875813884,-9.093080417474996,0.00014337140472250979,-8.850072058870929
6,270.1372357438617,6.348379594272699e-05,7.759837724957372e-06,9.188187805832548e-05,-9.295006740013514,8.073603308136788e-05,-9.424325575758289
7,315.0611194630098,6.305634419140098e-05,5.461656887347465e-06,9.126321515217874e-05,-9.301762752402075,4.530637230827892e-05,-10.00206286631132
