particle_id,x_nm,y_nm,dipole_real_Cm,dipole_imag_Cm,local_field_real_Vm,local_field_imag_Vm,field_magnitude_Vm,normalized_E2,hotspot_intensity,propagation_distance_nm
0,0.8636501440380446,-128.11463627007325,7.191579073847054e-34,1.9722320999418966e-35,0.9115935635478557,0.008452166486589337,0.9116327463513997,0.8310742642201955,0.8310742642201955,0.8636501440380446
1,0.0,-86.46338463962668,6.404995814804068e-34,1.803467916045767e-35,0.8118982676147743,0.008122539191787709,0.8119388970844998,0.659244772598794,0.659244772598794,0.0
2,0.42139944090731135,-48.38412544335762,6.293610070836894e-34,1.8576941493810542e-35,0.7977986723298998,0.009065662398555102,0.7978501787967935,0.6365649078060754,0.6365649078060754,0.42139944090731135
3,0.10354956822747131,-9.108415135029176,6.3141087762954755e-34,1.8958282182444354e-35,0.8004045322508523,0.00950167228643465,0.8004609278559102,0.6407376970239446,0.6407376970239446,0.10354956822747131
4,0.022450797608129906,29.23186770803487,6.352049521600411e-34,1.8695727446922778e-35,0.8052054140130512,0.009081792889323283,0.8052566284843695,0.6484382377180139,0.6484382377180139,0.022450797608129906
5,0.8719517353704179,68.99817991037217,6.279947879246327e-34,1.7274244295498767e-35,0.7960377832511418,0.007446617316229587,0.7960726125629786,0.6337316044728462,0.6337316044728462,0.8719517353704179
6,0.8065063008040051,106.6645269014045,6.9971730523648e-34,1.8485988151822362e-35,0.8869347856437608,0.007332774026763919,0.8869650971486259,0.7867070835598714,0.7867070835598714,0.8065063008040051
7,45.84774359520483,-107.09465209664533,-5.313859205320832e-35,7.73784079175277e-36,-0.06714624926801194,0.01102526918660779,0.06804539184543767,0.004630175351399156,0.004630175351399156,45.84774359520483
8,46.53964781239724,-68.54613203935914,-5.288075294856538e-35,8.109725273687095e-36,-0.06681102845435431,0.01149050145788731,0.06779192538114145,0.004595745146882251,0.004595745146882251,46.53964781239724
9,46.054370422679575,-28.677934138453566,-5.374783294383822e-35,8.792267525245609e-36,-0.06789388582919828,0.012375187384445416,0.06901249883744501,0.004762724995788349,0.004762724995788349,46.054370422679575
10,45.36877242721437,11.030090696838826,-5.30527919657736e-35,8.615358415070016e-36,-0.06701736832271701,0.012135071045657104,0.06810717734707451,0.00463858760618586,0.00463858760618586,45.36877242721437
11,44.378032476139204,48.546764005054214,-5.320337015205859e-35,7.950456617585354e-36,-0.06722343161823452,0.011296133090275618,0.06816591803331538,0.004646592381324671,0.004646592381324671,44.378032476139204
12,46.05262034370391,87.56629246977461,-5.473631898999579e-35,6.856724716820572e-36,-0.06919075495965218,0.009945670963173973,0.0699019094359686,0.004886276942794357,0.004886276942794357,46.05262034370391
13,45.442959748779124,127.40086401707819,-2.2296626623866083e-35,7.26712206835683e-36,-0.028081715818198412,0.009719761744284286,0.02971626712189314,0.0008830565316597072,0.0008830565316597072,45.442959748779124
14,90.66923927482549,-126.22254534547845,-1.2836773524404932e-35,7.209981371678214e-36,-0.016097829389501814,0.00942986311312128,0.01865643131431394,0.0003480624293857138,0.0003480624293857138,90.66923927482549
15,89.75397988388342,-88.00731480754399,-1.0380363383139431e-35,7.327296286223413e-36,-0.012982973003027082,0.009522017159234402,0.016100509270767942,0.00025922639877808443,0.00025922639877808443,89.75397988388342
16,89.8474955358139,-48.80995411281568,-1.065687376210702e-35,8.08274056740649e-36,-0.013315929559498334,0.010485488048670317,0.01694872973565658,0.00028725943965232957,0.00028725943965232957,89.8474955358139
17,90.8733845026861,-10.499101237574722,-1.0602026392498695e-35,8.24050746981536e-36,-0.013242813029063863,0.010684110413419046,0.017015355190206076,0.0002895223122488729,0.0002895223122488729,90.8733845026861
18,91.92515318168441,28.09637113660874,-1.0834921697818509e-35,8.146353794056419e-36,-0.013540045516327467,0.010570176826185844,0.017177353425980844,0.00029506147072105583,0.00029506147072105583,91.92515318168441
19,90.73136499741865,69.46570493295884,-1.0576022785707428e-35,7.277066684568544e-36,-0.013232019391990379,0.009462877220495342,0.016267525395098636,0.00026463238248017904,0.00026463238248017904,90.73136499741865
20,90.5266856028808,106.99141181624918,-1.1178422606961586e-35,6.487100135553547e-36,-0.014013395515996662,0.008475876386529297,0.01637729325644138,0.0002682157344074803,0.0002682157344074803,90.5266856028808
21,135.21199612030375,-106.68729920383763,-8.270275914497672e-36,5.227686648721967e-36,-0.010357863809913636,0.006813392186768899,0.012397889166928463,0.00015370765579544214,0.00015370765579544214,135.21199612030375
22,134.7103936704416,-68.48509834554068,-7.553763627076199e-36,5.742621473727606e-36,-0.009438236040265134,0.007449316723641333,0.012023835461319408,0.0001445726192008821,0.0001445726192008821,134.7103936704416
23,134.50271184574183,-27.8321559882009,-7.381180790814026e-36,6.023122611350001e-36,-0.00921313212566762,0.007800730726369016,0.012072000804768297,0.0001457332034303264,0.0001457332034303264,134.50271184574183
24,135.678439700461,8.166550860034178,-7.309529574597159e-36,5.899241110758605e-36,-0.009125201642641372,0.007642131116166582,0.011902582619563968,0.00014167147301554625,0.00014167147301554625,135.678439700461
25,133.15098305349792,49.005213960698896,-7.594585629150174e-36,5.731236565644978e-36,-0.009490217411035033,0.007435831159611997,0.012056359796512758,0.00014535581154296914,0.00014535581154296914,133.15098305349792
26,135.40596218716064,87.82209648067523,-7.262649598781577e-36,4.6304260541053136e-36,-0.009094979866569096,0.006033522723896903,0.010914305073300707,0.00011912205523307754,0.00011912205523307754,135.40596218716064
27,134.7796845383967,125.90972593476407,-8.736566331460112e-36,4.007795547938263e-36,-0.01097668052180057,0.005278567182728573,0.012179933775692505,0.0001483507867802551,0.0001483507867802551,134.7796845383967
28,181.05382739099088,-127.14723274288947,-8.478271287836266e-36,2.1987863858700146e-36,-0.010691025863112005,0.0029806966987448976,0.01109876510318326,0.00012318258681563854,0.00012318258681563854,181.05382739099088
29,179.70800288910323,-88.00010774205285,-7.138683173836614e-36,2.8740820974295418e-36,-0.008978302514604596,0.0038054651677542494,0.009751486101448645,9.509148118674609e-05,9.509148118674609e-05,179.70800288910323
30,180.47913869334306,-48.7171045667373,-7.311699042968715e-36,3.3889553437565206e-36,-0.009185667558107255,0.004461764005004569,0.010211945286007877,0.0001042838265244185,0.0001042838265244185,180.47913869334306
