particle_i,particle_j,surface_gap_nm
0,1,2.418659204525966
0,2,3.424481581403718
1,2,2.453198893153857
1,3,3.7228801202257067
2,4,2.9860014002403688
3,11,3.1557956558230025
4,5,2.491017479293401
5,6,3.1001357411092307
5,10,3.1963251033621454
5,39,2.5535227214779432
6,7,3.415378888241367
6,10,2.378620962607908
6,39,4.3582981106012895
7,8,1.584632114402151
8,9,3.543836123631557
8,15,2.7341203350701093
9,15,3.3702936113884157
9,18,4.341560549656062
9,124,3.1825502846020264
10,21,2.785116746716497
10,185,2.662957410937352
11,12,2.0278770443448515
11,14,1.7885237686800366
12,13,4.080662243492828
13,16,2.1651695351515023
14,17,2.937381648035064
14,186,3.6080528093672157
15,22,3.4402159857315233
15,56,1.8859859352315809
15,110,5.436158091802639
16,19,3.2246661650841197
16,65,4.066998363042909
17,31,1.823449260077684
17,186,4.346081354050835
18,20,2.7557464227716437
18,22,4.971037679916861
19,23,2.172092137061366
20,29,3.0624038013434998
21,33,2.946444660701175
22,27,2.083208790941619
22,56,2.773573073633745
23,24,4.363310405480167
23,30,4.338554619088924
23,140,3.8572226448320066
24,25,3.670366039798033
24,175,2.7324634271368318
25,26,3.6645421000801477
26,32,4.1802935742350265
26,51,2.6367692504671716
26,136,2.5499404168520954
26,150,3.3789221890090566
27,28,2.703120866141262
27,36,5.571825385997279
28,36,1.3272259685383219
28,183,2.522833271213411
29,34,3.387756131141508
30,41,4.301697678171163
30,78,2.517554995865815
30,90,1.8408983096198064
31,47,3.7177475871085655
32,43,3.5524333156405596
32,136,3.142198788321611
32,150,2.0857626039521584
33,37,2.142496909328244
33,124,3.3924663837018194
34,35,4.648380652469513
34,42,1.2996250838350214
35,40,4.699856214733586
35,42,3.068461178780229
35,61,4.1549025865752185
36,38,2.3739966980602603
36,70,2.502656207925199
37,53,4.898960554777304
37,124,3.8526132212191015
38,44,3.2241909402799322
38,70,5.7834101939706635
38,156,2.947065614803087
39,73,1.657562869629853
40,46,2.448363609820124
40,54,4.8087670380129985
40,61,1.3500043755894566
40,68,3.241706542171901
41,64,2.345415363743072
41,66,1.3440347409584241
41,78,1.8124810510470617
42,54,2.018947270478982
42,154,3.064833565816219
43,52,3.8874347554086057
43,60,3.326812470268248
44,45,4.262872422200189
44,49,3.4672226001034723
45,49,1.9806031091738916
45,79,3.0031896845764514
46,48,5.369610398436091
46,117,1.882890039786254
47,55,2.970979785075425
48,63,2.80325729161072
48,126,5.622461476312871
49,50,4.377467757535918
50,57,3.1952386518121862
51,150,3.068758093096978
51,151,3.5003998493329753
52,91,1.4214536977109589
53,71,1.217259714972986
53,125,3.5199486602885095
53,166,4.238056866566151
54,68,1.8702977279876727
55,58,2.952129439124871
55,199,2.26872341133069
56,102,3.0219493959359838
57,77,2.8110110313244405
58,59,5.477407164367747
58,62,2.4955788614805137
58,199,3.469867272522233
59,62,1.3030625699531662
59,199,2.180204116147685
60,74,4.962888139958778
61,117,5.833763039491924
62,83,3.440054383086615
63,67,1.7514159879434956
64,66,1.0712479515867308
65,72,3.4266310581966835
66,78,3.4828179415839813
66,84,1.8647352298357234
67,69,4.87157689794774
67,149,5.164908685792632
68,75,3.6205153803481203
69,82,4.408565056819931
70,100,4.618706988368537
71,80,2.8159751372841484
71,87,4.40718035822897
71,125,3.271101961403513
72,94,2.2454926084629
72,155,3.085076694913951
73,81,3.123780741319809
73,85,4.30292696913018
74,92,2.7714855531438687
74,122,1.1088481980717262
75,76,2.3242212523709505
76,99,2.598032731397609
77,163,2.1105520705973007
78,90,4.289920161417964
79,105,3.8772106875164845
80,123,2.5819815609066517
81,85,3.8401169873877663
81,110,3.094556656921988
82,97,1.611473123825352
83,86,1.9534173207280006
83,112,2.8865705326645674
84,88,2.135975480213414
84,93,3.7777557678880456
85,138,1.5707855386801377
86,89,3.1946205981128557
86,120,2.836650070467435
87,95,2.2881504299093827
87,123,1.0891743032752714
88,114,1.627886205129613
89,96,3.562644748490591
89,147,3.730348001051901
90,94,2.7369723913051693
90,101,4.342948250802433
91,104,2.8037476864170827
92,145,3.0786156212651328
93,106,2.6239719303016678
94,101,2.300008478232524
94,199,1.881727902106551
95,103,4.4708702744113005
95,154,2.720383102708748
96,176,3.4991930659693757
97,98,4.471159596851464
98,113,4.622701992916266
98,157,2.064814153413483
99,129,3.9971275145966665
100,161,1.1460749872691167
100,184,3.8283494608030004
101,108,4.513959045001847
101,134,3.163832208166653
102,107,3.6919012249683156
102,119,2.7566548688974706
103,121,2.607757356367113
103,154,4.85134648728982
104,148,4.5490656776021545
105,109,2.3620911488270018
106,111,2.7261404424236098
107,119,4.926111345741624
108,134,1.0471677285404368
109,116,3.2443526027223513
109,131,2.1645943949491304
111,122,2.2675478428532188
111,135,3.863594921024742
112,115,3.5682046277630484
113,118,2.7808085488256005
113,157,4.9661787658973005
114,133,3.1257694897728356
115,153,2.8734050106375726
116,131,1.844547594314669
116,142,4.718797843781591
117,126,3.3825481333235956
118,168,3.240911253654179
118,198,3.4626529253050045
119,127,3.2697263399169323
120,147,2.877822565743063
121,167,3.55795006707935
121,181,2.0910283180003617
122,132,1.9686643077217312
122,135,1.3246304703985565
125,128,1.907330272536683
125,166,3.0840084594277606
126,144,2.9437415250790764
127,141,3.149830330058556
127,173,4.624218404436867
128,130,3.1300383862003045
129,143,3.934585312817653
129,171,3.3198488080065545
130,180,4.039162292301377
132,137,3.7766334433898976
133,146,2.8347932464999666
134,170,2.1803875789148286
137,139,3.4106610123227945
137,145,3.385802703897216
138,192,3.498936135995809
139,152,3.899460337772961
140,175,2.5400950711624866
141,184,3.1086985534067324
142,160,2.788910446192123
143,171,2.2252545118808733
144,149,4.271944377385594
145,162,2.911715860236111
146,159,1.9414275713565416
147,169,2.2485287702685746
148,191,3.737460242364488
149,194,3.4610789204311168
151,165,3.9674456027046823
152,158,3.6399389876389705
153,188,4.232142224145132
156,183,5.669930552138013
157,164,2.0415435998708418
159,177,2.6326721917859857
160,174,4.162785059260617
162,179,3.638817967487075
162,191,4.558101166984063
163,193,3.968195564641171
163,197,3.9848618095656327
164,189,3.2309464859239405
169,176,2.58759771912516
170,172,3.4265460325272095
172,182,2.902768850957436
174,178,4.076764488226715
178,187,3.347223187889501
179,190,1.6169580762179976
179,191,5.396961172608126
181,195,3.7089683902047703
187,196,3.1388908048675788
193,197,4.615405007380332
