hotspot_id,particle_i,particle_j,x_nm,y_nm,gap_nm
0,0,1,7.24070555340694,-8.556941814750822,2.418659204525966
1,0,2,11.57309204289811,1.8000346957736557,3.424481581403718
2,1,2,18.81379759630505,-6.756907118977166,2.453198893153857
3,1,3,17.284434328188564,-28.63936935115712,3.7228801202257067
4,2,4,33.63068880984087,8.307959129471135,2.9860014002403688
5,3,11,21.615135275279805,-51.64152353016151,3.155795655823006
6,4,5,54.44966451095935,8.58186911580734,2.491017479293401
7,5,6,76.23432388369335,2.632220034086151,3.1001357411092307
8,5,10,69.62100260641422,-6.393556981246422,3.1963251033621454
9,5,39,70.93626816083695,13.59863591479846,2.5535227214779432
10,6,7,99.12402260409115,3.6080553999537015,3.415378888241367
11,6,10,81.07119100207439,-7.909226311379995,2.378620962607908
12,6,39,82.38645655649711,12.082966584664888,4.3582981106012895
13,7,8,120.51163253805333,10.283983597880368,1.584632114402151
14,8,9,138.77419641684503,6.134876109631598,3.543836123631557
15,8,15,141.40982426007366,17.518905349870906,2.7341203350701093
16,9,15,149.7242885296408,9.185374359696592,3.3702936113884157
17,9,18,158.80786174573214,-5.483197318901027,4.341560549656062
18,9,124,137.2980644579616,-8.40364359253687,3.1825502846020264
19,10,21,85.06469125580878,-21.092613613837003,2.785116746716497
20,10,185,64.0160480863576,-21.336227079664162,2.662957410937352
21,11,12,31.76720645911633,-69.96849703544305,2.0278770443448515
22,11,14,18.151182170279526,-72.80160892857108,1.7885237686800366
23,12,13,44.178721761789376,-88.24803135116991,4.0806622434928315
24,13,16,51.84819548636241,-110.05757993053678,2.1651695351515023
25,14,17,5.305701554837893,-90.84253224270036,2.937381648035064
26,14,186,17.164933829678702,-93.58871671863957,3.6080528093672157
27,15,22,163.82892396815947,18.15635653375263,3.4402159857315233
28,15,56,159.63595427697402,28.743042172035956,1.8859859352315809
29,15,110,147.0056778368796,32.10550624847001,5.436158091802639
30,16,19,62.26017940074295,-130.04051269448541,3.2246661650841197
31,16,65,46.8264837731079,-128.5325118998344,4.066998363042909
32,17,31,-7.362663630534579,-108.99218730023667,1.823449260077684
33,17,186,9.311084044953912,-101.94622309170816,4.346081354050835
34,18,20,181.44273087588073,-11.977753679637841,2.7557464227716437
35,18,22,172.9124971842508,3.4877848551550112,4.971037679916861
36,19,23,74.32788064874426,-149.24678205586343,2.172092137061366
37,20,29,202.60245676588113,-20.48190555559495,3.0624038013434998
38,21,33,106.01615024272219,-30.212411578553727,2.946444660701175
39,22,27,185.92862982291473,18.727481403347046,2.083208790941619
40,22,56,171.10496187226406,26.329995105852685,2.773573073633745
41,23,24,89.71501449182833,-166.0190256502811,4.363310405480171
42,23,30,72.97113726921049,-168.87804333911095,4.338554619088921
43,23,140,89.75707127287218,-152.18279330394716,3.8572226448320066
44,24,25,108.09302845006602,-181.39301280564115,3.670366039798033
45,24,175,108.54273981955302,-166.2180455275994,2.7324634271368318
46,25,26,126.49464744888348,-196.12014761123223,3.6645421000801477
47,26,32,145.06403095737699,-211.0406220037734,4.1802935742350265
48,26,51,139.9665943812677,-191.91103797952542,2.636769250467175
49,26,136,133.78334726900076,-213.61676577156874,2.5499404168520954
50,26,150,147.82984130783456,-200.3497136908734,3.3789221890090566
51,27,28,206.01012327550933,15.423538002779747,2.7031208661412585
52,27,36,208.69266734809355,25.74422592446971,5.571825385997279
53,28,36,218.14346254122296,19.456110588124726,1.3272259685383219
54,28,183,224.3912306127222,2.2747354085898914,2.5228332712134147
55,29,34,223.45360945892668,-30.699083479463972,3.387756131141508
56,30,41,74.89307953427513,-187.26674680391986,4.301697678171163
57,30,78,64.34274174227482,-190.0301604311682,2.517554995865815
58,30,90,55.51624850978013,-181.68791417618746,1.8408983096198064
59,31,47,-13.997018002894434,-130.50274346048735,3.7177475871085655
60,32,43,160.047999694086,-229.39675552993037,3.5524333156405596
61,32,136,142.48006110747116,-222.01550482846324,3.142198788321611
62,32,150,156.52655514630493,-208.74845274776789,2.0857626039521584
63,33,37,127.42789914918305,-35.47723184818514,2.142496909328244
64,33,124,121.93412796406655,-24.891615780338526,3.3924663837018194
65,34,35,246.37142992351636,-35.046187144811505,4.648380652469513
66,34,42,239.8508366682547,-44.56040486823251,1.2996250838350214
67,35,40,268.4873609365856,-41.97882399877041,4.699856214733586
68,35,42,252.16156225897055,-43.984468563289624,3.068461178780229
69,35,61,270.3818548344467,-31.4732747708438,4.1549025865752185
70,36,38,231.07956881496193,25.303165282978394,2.3739966980602603
71,36,70,228.56200996903812,37.946659964629845,2.502656207925199
72,37,53,147.2968513990152,-44.584247310214366,4.898960554777304
73,37,124,133.00123941462755,-25.194248372377647,3.8526132212191015
74,38,44,250.76085495181587,27.608822771245663,3.2241909402799322
75,38,70,238.81557217019287,33.473026737793546,5.7834101939706635
76,38,156,249.3483095752972,12.619850713545931,2.947065614803087
77,39,73,87.18685377205021,26.95882687778682,1.657562869629853
78,40,46,289.49089947799786,-50.24870691346368,2.448363609820124
79,40,54,270.1565106847422,-58.85080084185514,4.8087670380129985
80,40,61,280.1870602568001,-38.9818479297456,1.3500043755894566
81,40,68,280.9149929014785,-60.80848852631212,3.241706542171901
82,41,64,92.04064286778984,-203.07277787556703,2.345415363743072
83,41,66,81.96641485601096,-206.15649357679524,1.3440347409584241
84,41,78,73.15949660051396,-198.3912585217317,1.8124810510470617
85,42,54,253.83071200712715,-60.856445406374355,2.018947270478982
86,42,154,241.02365051995352,-64.06642052231061,3.064833565816219
87,43,52,176.7371796320209,-245.223761593414,3.8874347554086057
88,43,60,160.87887560744812,-249.66254334535319,3.3268124702682513
89,44,45,271.2304721377772,39.412885918390884,4.262872422200189
90,44,49,270.3149971393349,28.46077955532157,3.467222600103476
91,45,49,281.3568903895971,33.48555198736322,1.9806031091738916
92,45,79,293.7694920511234,44.75822411459446,3.0031896845764514
93,46,48,312.82190060708433,-54.71172572056673,5.369610398436091
94,46,117,304.2689275055641,-40.67072252094161,1.8828900397862576
95,47,55,-16.405039738847442,-153.69157024453608,2.970979785075425
96,48,63,336.3418986092546,-57.84260079698009,2.80325729161072
97,48,126,327.9838251156232,-45.96549365326309,5.622461476312871
98,49,50,292.3782542717248,20.068265893171674,4.377467757535918
99,50,57,315.57989988663826,20.3615102169265,3.1952386518121862
100,51,150,151.42911857019564,-189.61886872351994,3.068758093096978
101,51,151,154.06730679969408,-175.90884992595687,3.5003998493329753
102,52,91,195.52942981921777,-257.75085871522083,1.4214536977109589
103,53,71,165.46732726000482,-58.36574827539698,1.217259714972986
104,53,125,156.0130617080527,-65.14829274614547,3.5199486602885095
105,53,166,145.79847651847848,-59.7742708775945,4.238056866566151
106,54,68,272.77893722728174,-70.17189221049506,1.8702977279876727
107,55,58,-18.813881962348304,-176.49271153249018,2.952129439124871
108,55,199,-8.056551845100739,-171.80352011007938,2.26872341133069
109,56,102,176.04963036104408,43.917116944066464,3.0219493959359838
110,57,77,338.23713994233503,22.574023027812753,2.8110110313244405
111,58,59,-9.61903509512559,-194.22133858540076,5.477407164367747
112,58,62,-19.151929073268416,-198.97308048877926,2.4955788614805137
113,58,199,-9.877211304360763,-183.13424208976772,3.469867272522233
114,59,62,-8.136422746785676,-205.37098556200152,1.3030625699531662
115,59,199,1.1382950221219765,-189.53214716299,2.180204116147685
116,60,74,159.47516378955294,-271.77611923587494,4.962888139958778
117,61,117,294.9650882843663,-29.403863537223522,5.833763039491924
118,62,83,-16.466291025477396,-221.78084766277783,3.440054383086615
119,63,67,358.5913273715073,-57.81567368774398,1.7514159879434956
120,64,66,90.29722333128655,-213.60142655787894,1.0712479515867308
121,65,72,34.08993108025463,-147.69571922833066,3.4266310581966835
122,66,78,71.41607706401064,-208.9199072040436,3.4828179415839813
123,66,84,81.95468219493964,-227.4794890310597,1.8647352298357234
124,67,69,381.05629655514065,-62.834201488705226,4.87157689794774
125,67,149,371.93537434744877,-46.02434280155709,5.164908685792632
126,68,75,293.4380402474026,-78.56851570888153,3.6205153803481203
127,69,82,400.5144931553924,-76.64897031005796,4.408565056819931
128,70,100,245.32942009926703,54.48036474110682,4.618706988368537
129,71,80,182.7260342659176,-55.10339156440615,2.8159751372841484
130,71,87,185.78032437619495,-68.74180631102416,4.40718035822897
131,71,125,165.38169676977117,-70.12541084133798,3.271101961403513
132,72,94,26.49174775971011,-169.2302124454514,2.2454926084629
133,72,155,21.21427165976929,-151.59136038959204,3.085076694913951
134,73,81,108.23515331394329,34.580166803722875,3.123780741319809
135,73,85,99.59991916996228,42.797254230038135,4.30292696913018
136,74,92,171.70540015464866,-291.50358052970677,2.7714855531438687
137,74,122,156.47305549469283,-291.4315254232486,1.1088481980717297
138,75,76,312.832405935229,-90.87784518084945,2.3242212523709505
139,76,99,330.5251949359738,-104.52277717960287,2.5980327313976055
140,77,163,360.13227323485467,25.479549387533638,2.1105520705973007
141,78,90,53.78266557601894,-192.8124258939993,4.289920161417964
142,79,105,314.9552543434106,52.054507562159905,3.877210687516488
143,80,123,200.44458340484078,-52.42156993532697,2.5819815609066517
144,81,85,110.54976577344584,46.50914974356456,3.8401169873877663
145,81,110,130.4182196091583,40.96683560712671,3.094556656921988
146,82,97,418.4135798880508,-82.00329121272682,1.611473123825352
147,83,86,-22.975438703375005,-241.24989064895186,1.9534173207280006
148,83,112,-7.962511637318939,-242.25076525137135,2.8865705326645674
149,84,88,78.79669654902398,-248.2031588035561,2.135975480213414
150,84,93,94.33924164491322,-243.55225632907045,3.7777557678880456
151,85,138,108.17754587783426,63.50686070774175,1.5707855386801377
152,86,89,-36.603569561139906,-259.0357346535828,3.1946205981128557
153,86,120,-41.89743681001698,-246.88872316594598,2.836650070467435
154,87,95,206.45655436832465,-79.57040175071023,2.2881504299093827
155,87,123,203.49887351511813,-66.05998468194497,1.0891743032752714
156,88,114,77.99998168383172,-268.1419304927356,1.627886205129613
157,89,96,-48.243680011596574,-279.3079190816444,3.562644748490591
158,89,147,-54.09866034152142,-266.4210562701961,3.730348001051901
159,90,94,33.84111294113431,-182.0831453154097,2.7369723913051693
160,90,101,36.24512040030696,-192.97090645664315,4.342948250802433
161,91,104,206.06571617168564,-275.606450227446,2.8037476864170827
