gap_nm,radius_nm,wavelength_nm,polarization_deg,solver_backend,Ex_real,Ex_imag,Ey_real,Ey_imag,Ez_real,Ez_imag,Eparallel_real,Eparallel_imag,Eperp_real,Eperp_imag,Ex_abs,Ex_phase_deg,Ey_abs,Ey_phase_deg,Ez_abs,Ez_phase_deg,Eparallel_abs,Eparallel_phase_deg,Eperp_abs,Eperp_phase_deg
1.0,10.0,633.0,0.0,PDA,6.565073115248026,0.048007920823782246,0.0,0.0,0.0,0.0,6.565073115248026,0.048007920823782246,0.0,0.0,6.56524864487357,0.4189751080903479,0.0,0.0,0.0,0.0,6.56524864487357,0.4189751080903479,0.0,0.0
1.0,10.0,633.0,30.0,PDA,5.685520095507034,0.041576079016267385,-0.40387878187652465,-0.0042109453079897195,0.0,0.0,5.685520095507034,0.041576079016267385,-0.40387878187652465,-0.0042109453079897195,5.685672108621872,0.418975108090348,0.4039007334859052,-179.40264093397565,0.0,0.0,5.685672108621872,0.418975108090348,0.4039007334859052,-179.40264093397565
1.0,10.0,633.0,60.0,PDA,3.2825365576240135,0.024003960411891127,-0.6995385703091692,-0.007293571221331969,0.0,0.0,3.2825365576240135,0.024003960411891127,-0.6995385703091692,-0.007293571221331969,3.2826243224367855,0.41897510809034794,0.6995765916119243,-179.40264093397565,0.0,0.0,3.2826243224367855,0.41897510809034794,0.6995765916119243,-179.40264093397565
1.0,10.0,633.0,90.0,PDA,4.019947888378419e-16,2.9396373285282247e-18,-0.8077575637530492,-0.00842189061597944,0.0,0.0,4.019947888378419e-16,2.9396373285282247e-18,-0.8077575637530492,-0.00842189061597944,4.020055369275458e-16,0.4189751080903479,0.8078014669718103,-179.40264093397565,0.0,0.0,4.020055369275458e-16,0.4189751080903479,0.8078014669718103,-179.40264093397565
1.5,10.0,633.0,0.0,PDA,6.066758173652085,0.042876159072327676,0.0,0.0,0.0,0.0,6.066758173652085,0.042876159072327676,0.0,0.0,6.066909683075163,0.40492500052335934,0.0,0.0,0.0,0.0,6.066909683075163,0.40492500052335934,0.0,0.0
1.5,10.0,633.0,30.0,PDA,5.253966696999591,0.03713184297333841,-0.3485745379530694,-0.0039415330469080075,0.0,0.0,5.253966696999591,0.03713184297333841,-0.3485745379530694,-0.0039415330469080075,5.254097908008889,0.40492500052335945,0.3485968218328384,-179.35215123469303,0.0,0.0,5.254097908008889,0.40492500052335945,0.3485968218328384,-179.35215123469303
1.5,10.0,633.0,60.0,PDA,3.033379086826043,0.021438079536163845,-0.603748809959562,-0.006826935496956432,0.0,0.0,3.033379086826043,0.021438079536163845,-0.603748809959562,-0.006826935496956432,3.033454841537582,0.4049250005233594,0.6037874067715118,-179.35215123469303,0.0,0.0,3.033454841537582,0.4049250005233594,0.6037874067715118,-179.35215123469303
1.5,10.0,633.0,90.0,PDA,3.7148179892820343e-16,2.625407548382942e-18,-0.6971490759061387,-0.007883066093816015,0.0,0.0,3.7148179892820343e-16,2.625407548382942e-18,-0.6971490759061387,-0.007883066093816015,3.714910762047041e-16,0.40492500052335934,0.6971936436656767,-179.35215123469303,0.0,0.0,3.714910762047041e-16,0.40492500052335934,0.6971936436656767,-179.35215123469303
2.0,10.0,633.0,0.0,PDA,5.632371969013622,0.038558328897931454,0.0,0.0,0.0,0.0,5.632371969013622,0.038558328897931454,0.0,0.0,5.632503949582085,0.3922317296866197,0.0,0.0,0.0,0.0,5.632503949582085,0.3922317296866197,0.0,0.0
2.0,10.0,633.0,30.0,PDA,4.877777208729175,0.03339249235308428,-0.29743617840678566,-0.0036882894332449577,0.0,0.0,4.877777208729175,0.03339249235308428,-0.29743617840678566,-0.0036882894332449577,4.877891507254271,0.39223172968661973,0.2974590454233601,-179.28955317818279,0.0,0.0,4.877891507254271,0.39223172968661973,0.2974590454233601,-179.28955317818279
2.0,10.0,633.0,60.0,PDA,2.8161859845068116,0.01927916444896573,-0.515174573009674,-0.006388304691399687,0.0,0.0,2.8161859845068116,0.01927916444896573,-0.515174573009674,-0.006388304691399687,2.816251974791043,0.3922317296866197,0.5152141798441984,-179.28955317818279,0.0,0.0,2.816251974791043,0.3922317296866197,0.5152141798441984,-179.28955317818279
2.0,10.0,633.0,90.0,PDA,3.448833151729904e-16,2.3610167032661323e-18,-0.5948723568135712,-0.007376578866489916,0.0,0.0,3.448833151729904e-16,2.3610167032661323e-18,-0.5948723568135712,-0.007376578866489916,3.4489139665202626e-16,0.3922317296866196,0.5949180908467201,-179.28955317818279,0.0,0.0,3.4489139665202626e-16,0.3922317296866196,0.5949180908467201,-179.28955317818279
2.5,10.0,633.0,0.0,PDA,5.251110297279566,0.03488798488838299,0.0,0.0,0.0,0.0,5.251110297279566,0.03488798488838299,0.0,0.0,5.251226192584458,0.3806632817227908,0.0,0.0,0.0,0.0,5.251226192584458,0.3806632817227908,0.0,0.0
2.5,10.0,633.0,30.0,PDA,4.54759491551816,0.030213881200187268,-0.2501071912664115,-0.0034503811914418014,0.0,0.0,4.54759491551816,0.030213881200187268,-0.2501071912664115,-0.0034503811914418014,4.547695283796376,0.3806632817227908,0.25013099019021934,-179.20961992780101,0.0,0.0,4.547695283796376,0.3806632817227908,0.25013099019021934,-179.20961992780101
