hotspot_id,particle_i,particle_j,x_nm,y_nm,gap_nm,radius_i_nm,radius_j_nm,coordination_i,coordination_j,euclidean_distance_nm,geodesic_steps,Einc_x_real,Einc_x_imag,Einc_y_real,Einc_y_imag,Einc_z_real,Einc_z_imag,Escat_x_real,Escat_x_imag,Escat_y_real,Escat_y_imag,Escat_z_real,Escat_z_imag,PDA_Ex_real,PDA_Ex_imag,PDA_Ey_real,PDA_Ey_imag,Etotal_z_real,Etotal_z_imag,M2_inc,M2_scat,M2_total,M4,f_inc,f_scat,geodesic_distance_nm,remote_classification,u_gap_x,u_gap_y,gap_axis_x,gap_axis_y,FWcorrected_Ex_real,FWcorrected_Ex_imag,corrected_Ex_real,corrected_Ex_imag,FWcorrected_Ey_real,FWcorrected_Ey_imag,corrected_Ey_real,corrected_Ey_imag,Cparallel_real,Cparallel_imag,Cperp_real,Cperp_imag,M2_PDA,M4_PDA,M2_corrected,M4_corrected
0,0,1,7.24070555340694,-8.556941814750822,2.418659204525966,10.0,10.0,2,3,286.45847754752515,7,1.6557559824569229e-12,0.0,0.0,0.0,0.0,0.0,-0.0111336775016512,-0.0043696250915392,0.0137701757941541,0.0044433653634375,0.0,0.0,-0.0111336774999954,-0.0043696250915392,0.0137701757941541,0.0044433653634375,0.0,0.0,2.7415278734418897e-24,0.0003524136353062,0.0003524136352694,1.2419537032380828e-07,7.779290013412755e-21,1.0000000001046192,306.9500180518242,transition,0.6459534878825545,-0.7633767690284808,0.6459534878825545,-0.7633767690284808,-0.019204373100966197,-0.006896985797930726,-0.019204373100966197,-0.006896985797930726,0.022818367210307985,0.008012546329166594,0.022818367210307985,0.008012546329166594,1.6864404124889245,0.005155898362278224,0.19553712614391724,0.0044194769440854,0.0003524136352694163,1.2419537032380518e-07,0.001001255140119472,1.0025118556156634e-06
1,0,2,11.57309204289811,1.8000346957736555,3.424481581403718,10.0,10.0,2,3,297.6403432522935,8,1.9111984941857605e-13,0.0,0.0,0.0,0.0,0.0,-0.0159637511493316,-0.0010103650345929,-0.0022603787087291,-0.0001905304928855,0.0,0.0,-0.0159637511491405,-0.0010103650345929,-0.0022603787087291,-0.0001905304928855,0.0,0.0,3.652679684177917e-26,0.0002610078020365,0.0002610078020304,6.81250727207447e-08,1.399452298269755e-22,1.0000000000233786,317.6412268914049,transition,0.9881193743972361,0.1536883272757397,0.9881193743972361,0.1536883272757397,-0.02257481757644365,-0.0014834826553136939,-0.02257481757644365,-0.0014834826553136939,-0.0034730062453846937,-0.00023454824115208173,-0.0034730062453846937,-0.00023454824115208173,1.4169471978770491,0.0028402215558337067,0.17035193091346415,0.008418858090504643,0.00026100780203040764,6.812507272074447e-08,0.0005239398946562344,2.7451301321238595e-07
2,1,2,18.81379759630505,-6.756907118977166,2.453198893153857,10.0,10.0,3,3,291.8412566490807,7,5.916814706520931e-13,0.0,0.0,0.0,0.0,0.0,0.0012893978362823,0.0030905626912491,-0.0020184556190888,0.006048699341764,0.0,0.0,0.001289397836874,0.0030905626912491,-0.0020184556190888,0.006048699341764,0.0,0.0,3.5008696271302374e-25,5.1875051342039175e-05,5.187505134356501e-05,2.6910209518975056e-09,6.7486576619350426e-21,0.9999999999705864,306.43189728914194,transition,0.38590372000954803,0.9225390608981239,0.38590372000954803,0.9225390608981239,-0.0005374735788549428,0.0044639908307665226,-0.0005374735788549428,0.0044639908307665226,-0.0022818673522121144,0.010385327269820735,-0.0022818673522121144,0.010385327269820735,1.6699622960633218,0.004994469367881144,0.1966306037987322,0.0044814174839175385,5.187505134356364e-05,2.6910209518973637e-09,0.00013327803309950845,1.776303410687367e-08
3,1,3,17.284434328188564,-28.63936935115712,3.7228801202257062,10.0,10.0,3,2,270.7719398370779,6,2.9780378677018966e-11,0.0,0.0,0.0,0.0,0.0,-0.0024489244702944,-0.0022653391468502,0.0137613467428817,0.00825087388759,0.0,0.0,-0.002448924440514,-0.0022653391468502,0.0137613467428817,0.00825087388759,0.0,0.0,8.86870954146646e-22,0.0002685805765981,0.0002685805764523,7.213552604747022e-08,3.30206661204344e-18,1.0000000005430765,284.49605663170087,transition,0.23631390515562847,-0.9716767663323521,0.23631390515562847,-0.9716767663323521,-0.004358355152424016,-0.0027894814357295886,-0.004358355152424016,-0.0027894814357295886,0.0184807011311426,0.011349173155918973,0.0184807011311426,0.011349173155918973,1.3625442126171552,0.0024188172943812166,0.14874910265326327,0.010185122805119988,0.00026858057645233403,7.213552604746805e-08,0.0004971165119365881,2.4712482643999994e-07
4,2,4,33.63068880984087,8.307959129471135,2.9860014002403688,10.0,10.0,3,2,311.1230869848328,8,1.2674320816126607e-14,0.0,0.0,0.0,0.0,0.0,-0.013619203937756,0.0006131673872146,-0.00768666933009,-0.0007323153560718,0.0,0.0,-0.0136192039377434,0.0006131673872146,-0.00768666933009,-0.0007323153560718,0.0,0.0,1.606384081501002e-28,0.0002454798613138,0.0002454798613134,6.026036231048288e-08,6.543852815077439e-25,1.000000000001406,327.56221816501585,transition,0.9122512908169416,0.40963103203105117,0.9122512908169416,0.40963103203105117,-0.021175051183764122,0.00038434447728151716,-0.021175051183764122,0.00038434447728151716,-0.009818194975252275,-3.917425290988569e-05,-0.009818194975252275,-3.917425290988569e-05,1.4986291013518596,0.003477088449497712,0.20099949077144363,0.005868746713789901,0.0002454798613134737,6.02603623104823e-08,0.0005449290005064073,2.9694761559291205e-07
5,3,11,21.615135275279805,-51.64152353016151,3.155795655823006,10.0,10.0,2,3,251.10180908497173,5,8.86557132079216e-10,0.0,0.0,0.0,0.0,0.0,-0.0010920911917433,-0.0022898464122765,0.0183423878042254,0.0109152262191409,0.0,0.0,-0.0010920903051862,-0.0022898464122765,0.0183423878042254,0.0109152262191409,0.0,0.0,7.859835484405244e-19,0.0004620214135385,0.0004620214116021,2.134637847788117e-07,1.7011842496974985e-15,1.0000000041911514,261.0897739800745,transition,0.13194776361160337,-0.9912566709373997,0.13194776361160337,-0.9912566709373997,-0.003282737869336704,-0.0023060898302432577,-0.003282737869336704,-0.0023060898302432577,0.02662872038852884,0.01620037221145453,0.02662872038852884,0.01620037221145453,1.4659330826827,0.003219665082866405,0.18980368804728806,0.006828466691336014,0.0004620214116021149,2.134637847788109e-07,0.0009876352275440482,9.754233426859838e-07
6,4,5,54.44966451095935,8.58186911580734,2.491017479293401,10.0,10.0,2,4,319.4876485940126,9,2.2163202183556128e-15,0.0,0.0,0.0,0.0,0.0,-0.0182049762938042,-0.0056420987976546,0.0084401629577798,0.0015541993562634,0.0,0.0,-0.018204976293802,-0.0056420987976546,0.0084401629577798,0.0015541993562634,0.0,0.0,4.912075310291871e-30,0.0004369063270933,0.0004369063270932,1.9088713865413848e-07,1.1242856891022224e-26,1.0000000000001843,348.38299567029594,transition,0.9189865230942419,-0.39428894274523657,0.9189865230942419,-0.39428894274523657,-0.0303776659331742,-0.008951501691907195,-0.0303776659331742,-0.008951501691907195,0.01316191141482404,0.0036720595512039224,0.01316191141482404,0.0036720595512039224,1.6519198906388597,0.0048177157093349555,0.19782788670784598,0.004549238119662354,0.0004369063270932761,1.9088713865413676e-07,0.0011896519035270129,1.415271651565445e-06
7,5,6,76.23432388369335,2.632220034086151,3.1001357411092307,10.0,10.0,4,4,323.93491970718543,10,8.606272838995832e-16,0.0,0.0,0.0,0.0,0.0,-0.016424062154142,-0.0031781027393304,0.0021428496738962,0.000177578974271,0.0,0.0,-0.0164240621541411,-0.0031781027393304,0.0021428496738962,0.000177578974271,0.0,0.0,7.406793217923735e-31,0.0002844734936818,0.0002844734936818,8.09251686075586e-08,2.603684836172227e-27,1.0000000000000997,370.9655045694788,transition,0.9913524772309703,-0.13122601071441087,0.9913524772309703,-0.13122601071441087,-0.0242274525136564,-0.004704767669097093,-0.0242274525136564,-0.004704767669097093,0.003202534096636092,0.0005754479326267821,0.003202534096636092,0.0005754479326267821,1.4760808050264305,0.003298269104672489,0.19383323719751505,0.006499007493025098,0.0002844734936818495,8.092516860755727e-08,0.0006196916590849383,3.8401775233944344e-07
8,5,10,69.62100260641422,-6.393556981246422,3.1963251033621454,10.0,10.0,4,4,312.8482654344042,10,8.879300487138632e-15,0.0,0.0,0.0,0.0,0.0,-0.0034914848563951,-0.0031469576723042,0.011345986537679,0.0065766295830128,0.0,0.0,-0.0034914848563862,-0.0031469576723042,0.011345986537679,0.0065766295830128,0.0,0.0,7.884197714090033e-29,0.000194077276279,0.000194077276279,3.766598916787667e-08,4.062401258535693e-25,1.0000000000003193,369.7004271852538,transition,0.4170373623259804,-0.9088893433329434,0.4170373623259804,-0.9088893433329434,-0.0068832464707272965,-0.004459635829610031,-0.0068832464707272965,-0.004459635829610031,0.01570157628953135,0.009693055750520829,0.01570157628953135,0.009693055750520829,1.458543894566136,0.0031624286031747364,0.18686952255798864,0.007068366435395888,0.00019407727627900065,3.7665989167875545e-08,0.0004077622614681992,1.6627006187766005e-07
9,5,39,70.93626816083695,13.59863591479846,2.5535227214779432,10.0,10.0,4,3,331.17539563541123,10,1.7940126568717566e-16,0.0,0.0,0.0,0.0,0.0,-0.0013401544434172,0.0031874797608392,-0.005808120223677,0.0032363193961005,0.0,0.0,-0.0013401544434171,0.0031874797608392,-0.005808120223677,0.0032363193961005,0.0,0.0,3.21848141301606e-32,5.616406492423368e-05,5.616406492423319e-05,3.154402188813481e-09,5.730499416945473e-28,1.0000000000000089,365.61598870759553,transition,0.5455584698478187,0.8380727629372683,0.5455584698478187,0.8380727629372683,-0.004657152210562778,0.004105819720842588,-0.004657152210562778,0.004105819720842588,-0.007890374875423756,0.005960163432728855,-0.007890374875423756,0.005960163432728855,1.63122475000612,0.004632715696750157,0.19843022761836285,0.00470888841863959,5.616406492423219e-05,3.1544021888133683e-09,0.00013632838611196636,1.8585428859893384e-08
