gap_nm,polarization_deg,lmax,Egap_real,Egap_imag,Egap_abs,Egap_phase_deg,relative_magnitude_change,phase_change_deg,convergence_status
1.0,0,1,6.620742288735411,0.049024842433003535,6.620923794231813,0.42425231253095613,,,PENDING
1.0,0,2,8.759175911289883,0.08076374651646079,8.759548243355495,0.5282792273964824,0.24414780188532242,0.1040269148655284,PENDING
1.0,0,3,11.107713133685298,0.11931290461953284,11.108353911784302,0.6154158734299292,0.21144497979462792,0.08713664603345705,PENDING
1.0,0,4,13.308390292830579,0.1585882032211985,13.309335160123819,0.682727547680716,0.16537123919862579,0.06731167425078866,PENDING
1.0,0,5,15.185576871384537,0.19426302284796834,15.186819385202915,0.7329220555821929,0.12362590068782926,0.05019450790146607,PENDING
1.0,0,6,16.69354927686559,0.2242922305152762,16.695055988639545,0.7697718896717038,0.09034031419019724,0.036849834089508704,PENDING
1.0,0,7,17.85952551441752,0.24833416657338622,17.861251956635574,0.7966383398585191,0.0652919499051565,0.026866450186815882,PENDING
1.0,0,8,18.739267086798108,0.26695937043616813,18.741168540297014,0.8161797652777951,0.0469509989075364,0.019541425419276948,PENDING
1.0,0,9,19.392583753543477,0.2810779771560954,19.394620632212444,0.8303924019619261,0.033692439997001736,0.014212636684135305,PENDING
1.0,0,10,19.872669117586387,0.29162574283467646,19.87480876463861,0.8407388514833383,0.024160641650073044,0.010346449521421164,PENDING
1.0,0,11,20.222919630930548,0.2994276159290049,20.2251362244178,0.848279351006669,0.017321389378640653,0.007540499523344124,PENDING
1.0,0,12,20.477134018320854,0.3051579559294705,20.47940768143308,0.8537800656047778,0.012415957578978606,0.005500714598099421,PENDING
1.0,0,13,20.660934912956026,0.30934517231353853,20.663250613420892,0.8577950901834727,0.00889709636819701,0.004015024578706061,PENDING
1.0,0,14,20.793426283487193,0.3123928604858042,20.79577278934588,0.8607261617651557,0.006372553560158166,0.0029310715816848187,PENDING
1.0,0,15,20.888698632774208,0.3146042973370923,20.891067623143773,0.8628654196957027,0.004561510953720874,0.002139257930537042,PENDING
1.0,0,16,20.95706772238645,0.3162049022247785,20.95945307160669,0.8644258808349251,0.0032627496638047344,0.0015604611392348033,PASS
1.0,30,1,4.760652773405442,0.03462947935319527,4.760778720941901,0.41676805980219,,,PENDING
