upstream_hotspot,downstream_hotspot,upstream_geodesic_nm,downstream_geodesic_nm,upstream_steps,downstream_steps,upstream_M4,downstream_M4,ratio,delta_log10_M4,upstream_particles,downstream_particles,upstream_coordination,downstream_coordination,upstream_gap_nm,downstream_gap_nm,near_branch,downstream_class,Gamma_DE_PDA,Gamma_DE_corrected
43,222,222.11178057308143,240.940557748666,11,12,1.2104603311558497e-06,3.2454545194979764e-08,0.0268117379476528,-1.5716750339614567,"[23, 140]","[140, 175]","[4, 2]","[2, 2]",3.857222644832007,2.5400950711624866,True,transition,0.02681173794765288,0.048751310280386956
45,44,234.251910883412,239.38374467880132,12,12,1.6748226114780777e-06,5.0022408234514e-08,0.0298672873722237,-1.524804219403613,"[24, 175]","[24, 25]","[3, 2]","[3, 2]",2.732463427136832,3.670366039798033,True,transition,0.029867287372223755,0.015546585026342754
44,46,239.38374467880132,262.9529636170626,12,13,5.0022408234514e-08,2.791339259616783e-07,5.58017768063162,0.7466480276991035,"[24, 25]","[25, 26]","[3, 2]","[2, 5]",3.670366039798033,3.664542100080148,True,transition,5.580177680631619,6.069103334761933
45,222,234.251910883412,240.940557748666,12,12,1.6748226114780777e-06,3.2454545194979764e-08,0.0193779000668839,-1.7126932881097043,"[24, 175]","[140, 175]","[3, 2]","[2, 2]",2.732463427136832,2.5400950711624866,True,transition,0.019377900066883932,0.01825435561679003
46,47,262.9529636170626,286.7740164901828,13,14,2.791339259616783e-07,4.7437731631873735e-08,0.169946134166387,-0.7696887100412119,"[25, 26]","[26, 32]","[2, 5]","[5, 4]",3.664542100080148,4.1802935742350265,True,transition,0.16994613416638707,0.13528391413340518
46,48,262.9529636170626,277.0671394003205,13,14,2.791339259616783e-07,1.9573139602236164e-07,0.7012096266980933,-0.1541521302377377,"[25, 26]","[26, 51]","[2, 5]","[5, 3]",3.664542100080148,2.636769250467175,True,transition,0.7012096266980933,1.3074449322128965
46,49,262.9529636170626,281.9070342119611,13,14,2.791339259616783e-07,1.1728720700504396e-07,0.4201825578921068,-0.3765619794608395,"[25, 26]","[26, 136]","[2, 5]","[5, 2]",3.664542100080148,2.5499404168520954,True,transition,0.42018255789210684,0.780227787247419
46,50,262.9529636170626,284.70335961853976,13,14,2.791339259616783e-07,6.200455111379194e-07,2.2213190639644576,0.3466109438555089,"[25, 26]","[26, 150]","[2, 5]","[5, 3]",3.664542100080148,3.3789221890090566,True,transition,2.2213190639644576,2.6307298154565473
48,47,277.0671394003205,286.7740164901828,14,14,1.9573139602236164e-07,4.7437731631873735e-08,0.2423613819545543,-0.6155365798034742,"[26, 51]","[26, 32]","[5, 3]","[5, 4]",2.636769250467175,4.1802935742350265,True,transition,0.24236138195455437,0.10347197866638437
49,47,281.9070342119611,286.7740164901828,14,14,1.1728720700504396e-07,4.7437731631873735e-08,0.4044578504613352,-0.3931267305803723,"[26, 136]","[26, 32]","[5, 2]","[5, 4]",2.5499404168520954,4.1802935742350265,True,transition,0.4044578504613352,0.17339027953705158
50,47,284.70335961853976,286.7740164901828,14,14,6.200455111379194e-07,4.7437731631873735e-08,0.0765068543836646,-1.1162996538967207,"[26, 150]","[26, 32]","[5, 3]","[5, 4]",3.3789221890090566,4.1802935742350265,True,transition,0.07650685438366468,0.051424480514327346
47,60,286.7740164901828,310.4693104772338,14,15,4.7437731631873735e-08,2.7056005615132276e-08,0.5703477945592399,-0.24386023345853,"[26, 32]","[32, 43]","[5, 4]","[4, 3]",4.1802935742350265,3.55243331564056,True,transition,0.5703477945592399,0.6928148585727115
47,61,286.7740164901828,293.9971809990786,14,15,4.7437731631873735e-08,8.839687489789806e-07,18.634296341122603,1.2703129977908303,"[26, 32]","[32, 136]","[5, 4]","[4, 2]",4.1802935742350265,3.142198788321611,True,transition,18.6342963411226,31.25610719852883
47,62,286.7740164901828,296.79350640565724,14,15,4.7437731631873735e-08,4.540872208237332e-08,0.9572279390328796,-0.0189846339295459,"[26, 32]","[32, 150]","[5, 4]","[4, 3]",4.1802935742350265,2.0857626039521584,True,transition,0.9572279390328793,3.4476748568100195
48,49,277.0671394003205,281.9070342119611,14,14,1.9573139602236164e-07,1.1728720700504396e-07,0.5992253127936832,-0.2224098492231018,"[26, 51]","[26, 136]","[5, 3]","[5, 2]",2.636769250467175,2.5499404168520954,True,transition,0.5992253127936833,0.596757666823379
48,50,277.0671394003205,284.70335961853976,14,14,1.9573139602236164e-07,6.200455111379194e-07,3.167838802248574,0.5007630740932466,"[26, 51]","[26, 150]","[5, 3]","[5, 3]",2.636769250467175,3.3789221890090566,True,transition,3.167838802248574,2.012115195554695
48,100,277.0671394003205,288.756600494825,14,15,1.9573139602236164e-07,8.385422280911002e-09,0.0428414779198376,-1.3681355555488903,"[26, 51]","[51, 150]","[5, 3]","[3, 3]",2.636769250467175,3.068758093096978,True,transition,0.04284147791983763,0.029436729183738807
48,101,277.0671394003205,298.3955268970099,14,15,1.9573139602236164e-07,4.217572976144672e-07,2.154775913243284,0.3334021122219797,"[26, 51]","[51, 151]","[5, 3]","[3, 2]",2.636769250467175,3.5003998493329758,True,transition,2.154775913243284,1.2856219521214949
49,50,281.9070342119611,284.70335961853976,14,14,1.1728720700504396e-07,6.200455111379194e-07,5.286557050601899,0.7231729233163485,"[26, 136]","[26, 150]","[5, 2]","[5, 3]",2.5499404168520954,3.3789221890090566,True,transition,5.286557050601898,3.371745865060191
49,61,281.9070342119611,293.9971809990786,14,15,1.1728720700504396e-07,8.839687489789806e-07,7.536787442989971,0.877186267210458,"[26, 136]","[32, 136]","[5, 2]","[4, 2]",2.5499404168520954,3.142198788321611,True,transition,7.53678744298997,5.419505164392963
50,62,284.70335961853976,296.79350640565724,14,15,6.200455111379194e-07,4.540872208237332e-08,0.0732344985435639,-1.1352842878262668,"[26, 150]","[32, 150]","[5, 3]","[4, 3]",3.3789221890090566,2.0857626039521584,True,transition,0.07323449854356394,0.17729488849376315
50,100,284.70335961853976,288.756600494825,14,15,6.200455111379194e-07,8.385422280911002e-09,0.0135238819252508,-1.868898629642137,"[26, 150]","[51, 150]","[5, 3]","[3, 3]",3.3789221890090566,3.068758093096978,True,transition,0.0135238819252508,0.014629743490219883
51,52,503.2831403661608,506.7525856012917,23,23,1.8493949061820253e-08,2.3486472781220047e-09,0.126995444308358,-0.8962118581560776,"[27, 28]","[27, 36]","[3, 3]","[3, 4]",2.7031208661412585,5.571825385997279,True,transition,0.12699544430835805,0.11946476307280327
51,53,503.2831403661608,516.0690530591594,23,24,1.8493949061820253e-08,8.977755796039827e-09,0.4854428746413016,-0.3138618691292767,"[27, 28]","[28, 36]","[3, 3]","[3, 4]",2.7031208661412585,1.327225968538322,True,transition,0.48544287464130165,3.3370113940596635
51,54,503.2831403661608,525.8830544501371,23,24,1.8493949061820253e-08,1.2676507709163957e-08,0.6854408253634651,-0.1640300322346443,"[27, 28]","[28, 183]","[3, 3]","[3, 2]",2.7031208661412585,2.5228332712134147,True,transition,0.6854408253634652,0.7769816966035648
52,53,506.7525856012917,516.0690530591594,23,24,2.3486472781220047e-09,8.977755796039827e-09,3.82252195962712,0.5823499890268009,"[27, 36]","[28, 36]","[3, 4]","[3, 4]",5.571825385997279,1.327225968538322,True,transition,3.82252195962712,27.933018140470832
52,70,506.7525856012917,529.1438314749976,23,24,2.3486472781220047e-09,8.825581884685199e-09,3.757729807662817,0.5749255497773719,"[27, 36]","[36, 38]","[3, 4]","[4, 4]",5.571825385997279,2.3739966980602603,True,transition,3.757729807662817,5.319768936573876
52,71,506.7525856012917,530.0697503666088,23,24,2.3486472781220047e-09,3.394342252415982e-09,1.445232872570854,0.159937831261446,"[27, 36]","[36, 70]","[3, 4]","[4, 3]",5.571825385997279,2.502656207925199,True,transition,1.4452328725708539,1.745294014424247
53,54,516.0690530591594,525.8830544501371,24,24,8.977755796039827e-09,1.2676507709163957e-08,1.4119907020366584,0.1498318368946323,"[28, 36]","[28, 183]","[3, 4]","[3, 2]",1.327225968538322,2.5228332712134147,True,transition,1.4119907020366587,0.2328375917405312
53,70,516.0690530591594,529.1438314749976,24,24,8.977755796039827e-09,8.825581884685199e-09,0.9830498941147682,-0.007424439249429,"[28, 36]","[36, 38]","[3, 4]","[4, 4]",1.327225968538322,2.3739966980602603,True,transition,0.9830498941147682,0.19044733762107555
53,71,516.0690530591594,530.0697503666088,24,24,8.977755796039827e-09,3.394342252415982e-09,0.3780836023534142,-0.4224121577653548,"[28, 36]","[36, 70]","[3, 4]","[4, 3]",1.327225968538322,2.502656207925199,True,transition,0.3780836023534142,0.06248139766520872
54,235,525.8830544501371,546.9671323485596,24,25,1.2676507709163957e-08,6.205254038586196e-10,0.0489508165888651,-1.3102400589766745,"[28, 183]","[156, 183]","[3, 2]","[2, 2]",2.5228332712134147,5.669930552138013,True,transition,0.04895081658886512,0.01661892466445768
55,65,527.7407307470618,551.0671922259154,24,25,1.2320992780670132e-08,2.4727153210641447e-09,0.2006912401526182,-0.6974715833491161,"[29, 34]","[34, 35]","[2, 3]","[3, 4]",3.387756131141508,4.648380652469513,True,transition,0.20069124015261822,0.11900455078031758
55,66,527.7407307470618,549.211764508785,24,25,1.2320992780670132e-08,2.7451662569010163e-08,2.228039822576463,0.3479229488763118,"[29, 34]","[34, 42]","[2, 3]","[3, 4]",3.387756131141508,1.2996250838350214,True,transition,2.2280398225764633,26.423105189622152
57,56,188.672340960881,196.94987026791568,10,10,1.0453706648412108e-05,9.473361720907255e-08,0.0090622035221796,-2.0427661885078585,"[30, 78]","[30, 41]","[4, 4]","[4, 4]",2.517554995865815,4.301697678171163,True,transition,0.009062203522179605,0.003444187818723569
58,56,176.78591842210716,196.94987026791568,9,10,5.855170958490722e-05,9.473361720907255e-08,0.0016179479280907,-2.791035459798378,"[30, 90]","[30, 41]","[4, 4]","[4, 4]",1.8408983096198064,4.301697678171163,True,transition,0.0016179479280907605,0.0002641453323232304
56,82,196.94987026791568,217.36871767672747,10,11,9.473361720907255e-08,1.3626866760004437e-06,14.384404566681535,1.157891889253343,"[30, 41]","[41, 64]","[4, 4]","[4, 2]",4.301697678171163,2.345415363743072,True,transition,14.384404566681535,44.35144045562755
56,83,196.94987026791568,209.6572526226716,10,11,9.473361720907255e-08,2.608408808042865e-06,27.53414136278817,1.4398715377914304,"[30, 41]","[41, 66]","[4, 4]","[4, 4]",4.301697678171163,1.344034740958424,True,transition,27.534141362788162,427.25392301066654
56,84,196.94987026791568,197.9158436518796,10,10,9.473361720907255e-08,5.116644388517071e-05,540.1086266161338,2.732481113888978,"[30, 41]","[41, 78]","[4, 4]","[4, 4]",4.301697678171163,1.8124810510470617,True,transition,540.1086266161337,3491.523896106084
58,57,176.78591842210716,188.672340960881,9,10,5.855170958490722e-05,1.0453706648412108e-05,0.1785380260033729,-0.7482692712905195,"[30, 90]","[30, 78]","[4, 4]","[4, 4]",1.8408983096198064,2.517554995865815,True,transition,0.17853802600337298,0.07669306850435462
57,84,188.672340960881,197.9158436518796,10,10,1.0453706648412108e-05,5.116644388517071e-05,4.894574298480316,0.6897149253811203,"[30, 78]","[41, 78]","[4, 4]","[4, 4]",2.517554995865815,1.8124810510470617,True,transition,4.894574298480316,12.02546407175083
57,122,188.672340960881,201.63469220422928,10,10,1.0453706648412108e-05,7.804214504558509e-07,0.0746549981459825,-1.12694111098577,"[30, 78]","[66, 78]","[4, 4]","[4, 4]",2.517554995865815,3.4828179415839813,True,transition,0.0746549981459825,0.039458134728094015
141,57,177.75189180607111,188.672340960881,9,10,4.532365063743959e-07,1.0453706648412108e-05,23.06457335494689,1.3629454255037472,"[78, 90]","[30, 78]","[4, 4]","[4, 4]",4.289920161417964,2.517554995865815,True,transition,23.06457335494689,60.75223212717982
58,141,176.78591842210716,177.75189180607111,9,9,5.855170958490722e-05,4.532365063743959e-07,0.00774079031317,-2.1112146967942667,"[30, 90]","[78, 90]","[4, 4]","[4, 4]",1.8408983096198064,4.289920161417964,True,transition,0.007740790313170052,0.0012623909578137634
159,58,155.10717976939523,176.78591842210716,8,9,1.1775392080045171e-05,5.855170958490722e-05,4.972378769801659,0.6965642035113063,"[90, 94]","[30, 90]","[4, 4]","[4, 4]",2.7369723913051693,1.8408983096198064,True,transition,4.97237876980166,13.495511521650288
160,58,161.84416311079133,176.78591842210716,9,9,8.022285168546576e-05,5.855170958490722e-05,0.7298632291765718,-0.1367585157411822,"[90, 101]","[30, 90]","[4, 4]","[4, 4]",4.342948250802433,1.8408983096198064,True,transition,0.7298632291765718,4.4877256038511435
95,59,149.5436616205417,172.8571825108199,7,8,1.5699337997008277e-05,1.7494549999348807e-06,0.1114349535164007,-0.9529785637557152,"[47, 55]","[31, 47]","[2, 3]","[2, 2]",2.970979785075425,3.7177475871085655,True,transition,0.1114349535164007,0.07550388835884246
61,60,293.9971809990786,310.4693104772338,15,15,8.839687489789806e-07,2.7056005615132276e-08,0.0306074232221252,-1.5141732312493603,"[32, 136]","[32, 43]","[4, 2]","[4, 3]",3.142198788321611,3.55243331564056,True,transition,0.03060742322212527,0.02216574361522925
62,60,296.79350640565724,310.4693104772338,15,15,4.540872208237332e-08,2.7056005615132276e-08,0.5958327910230891,-0.2248755995289841,"[32, 150]","[32, 43]","[4, 3]","[4, 3]",2.0857626039521584,3.55243331564056,True,transition,0.5958327910230892,0.20095133310040214
60,87,310.4693104772338,333.46980716609505,15,16,2.7056005615132276e-08,1.678586433485341e-07,6.2041177007537165,0.7926800283909183,"[32, 43]","[43, 52]","[4, 3]","[3, 2]",3.55243331564056,3.8874347554086057,True,transition,6.2041177007537165,5.808672612851427
60,88,310.4693104772338,330.75212365891906,15,16,2.7056005615132276e-08,1.989378597817935e-08,0.7352817064412813,-0.1335462389928141,"[32, 43]","[43, 60]","[4, 3]","[3, 2]",3.55243331564056,3.3268124702682518,True,transition,0.7352817064412813,0.8516719213742691
61,62,293.9971809990786,296.79350640565724,15,15,8.839687489789806e-07,4.540872208237332e-08,0.0513691486659706,-1.2892976317203764,"[32, 136]","[32, 150]","[4, 2]","[4, 3]",3.142198788321611,2.0857626039521584,True,transition,0.05136914866597062,0.11030403866071638
100,62,288.756600494825,296.79350640565724,15,15,8.385422280911002e-09,4.540872208237332e-08,5.4151980140277525,0.7336143418158703,"[51, 150]","[32, 150]","[3, 3]","[4, 3]",3.068758093096978,2.0857626039521584,True,transition,5.4151980140277525,12.118796793141753
64,63,430.6550375273261,435.9208484869197,20,20,6.222163883789481e-09,6.245394985060004e-08,10.037336048526535,1.0016184645082322,"[33, 124]","[33, 37]","[3, 3]","[3, 3]",3.3924663837018194,2.142496909328244,True,transition,10.037336048526535,26.782108532099674
63,72,435.9208484869197,457.7774949390118,20,21,6.245394985060004e-08,3.000317584679777e-08,0.4804047769367706,-0.3183926828116682,"[33, 37]","[37, 53]","[3, 3]","[3, 4]",2.142496909328244,4.898960554777304,True,transition,0.4804047769367706,0.10015968439308254
63,73,435.9208484869197,441.7262859819902,20,21,6.245394985060004e-08,2.4015810600590035e-08,0.3845362968721713,-0.4150626603169038,"[33, 37]","[37, 124]","[3, 3]","[3, 3]",2.142496909328244,3.8526132212191015,True,transition,0.3845362968721713,0.1154183175498671
64,73,430.6550375273261,441.7262859819902,20,21,6.222163883789481e-09,2.4015810600590035e-08,3.859720034561947,0.5865558041913285,"[33, 124]","[37, 124]","[3, 3]","[3, 3]",3.3924663837018194,3.8526132212191015,True,transition,3.859720034561947,3.091145907212885
66,65,549.211764508785,551.0671922259154,25,25,2.7451662569010163e-08,2.4727153210641447e-09,0.0900752482603936,-1.045394532225428,"[34, 42]","[34, 35]","[3, 4]","[3, 4]",1.2996250838350214,4.648380652469513,True,transition,0.09007524826039359,0.004503806419657951
65,67,551.0671922259154,574.244246791233,25,26,2.4727153210641447e-09,1.164450947631902e-09,0.4709199387864734,-0.327052921106182,"[34, 35]","[35, 40]","[3, 4]","[4, 5]",4.648380652469513,4.699856214733586,True,transition,0.4709199387864734,0.4636493466826076
65,68,551.0671922259154,561.5359548350198,25,26,2.4727153210641447e-09,5.362642248768841e-09,2.168726097616851,0.3362047056310593,"[34, 35]","[35, 42]","[3, 4]","[4, 4]",4.648380652469513,3.068461178780229,True,transition,2.168726097616851,4.275181619683007
65,69,551.0671922259154,575.3419982444086,25,26,2.4727153210641447e-09,1.925700711860192e-09,0.7787797873276646,-0.1085853288083688,"[34, 35]","[35, 61]","[3, 4]","[4, 3]",4.648380652469513,4.1549025865752185,True,transition,0.7787797873276644,0.9069143249886441
66,68,549.211764508785,561.5359548350198,25,26,2.7451662569010163e-08,5.362642248768841e-09,0.1953485416516324,-0.7091898265943686,"[34, 42]","[35, 42]","[3, 4]","[4, 4]",1.2996250838350214,3.068461178780229,True,transition,0.19534854165163243,0.019254590423932006
66,85,549.211764508785,570.6826250344178,25,26,2.7451662569010163e-08,8.705774341580906e-09,0.3171310415059795,-0.498761246162907,"[34, 42]","[42, 54]","[3, 4]","[4, 3]",1.2996250838350214,2.018947270478982,True,transition,0.31713104150597954,0.07844488113087104
66,86,549.211764508785,568.1379559762632,25,26,2.7451662569010163e-08,1.400392520662273e-08,0.5101303125600701,-0.2923188693987572,"[34, 42]","[42, 154]","[3, 4]","[4, 3]",1.2996250838350214,3.064833565816219,True,transition,0.5101303125600701,0.050463521159201705
68,67,561.5359548350198,574.244246791233,26,26,5.362642248768841e-09,1.164450947631902e-09,0.2171412698468255,-0.6632576267372414,"[35, 42]","[35, 40]","[4, 4]","[4, 5]",3.068461178780229,4.699856214733586,True,transition,0.2171412698468255,0.10845138006487451
67,69,574.244246791233,575.3419982444086,26,26,1.164450947631902e-09,1.925700711860192e-09,1.653741375518148,0.2184675922978132,"[35, 40]","[35, 61]","[4, 5]","[4, 3]",4.699856214733586,4.1549025865752185,True,transition,1.6537413755181476,1.9560349464041729
67,78,574.244246791233,596.8172305258508,26,27,1.164450947631902e-09,4.1632034945075275e-09,3.575250209529281,0.5533064407707826,"[35, 40]","[40, 46]","[4, 5]","[5, 3]",4.699856214733586,2.448363609820124,True,transition,3.575250209529281,11.39161777153707
67,79,574.244246791233,587.1311603060219,26,27,1.164450947631902e-09,2.367809676460923e-09,2.033412984270608,0.3082255923984944,"[35, 40]","[40, 54]","[4, 5]","[5, 3]",4.699856214733586,4.808767038012999,True,transition,2.033412984270608,1.9681914995428669
67,80,574.244246791233,586.3216980845206,26,27,1.164450947631902e-09,7.704449419379244e-09,6.616379534962361,0.8206204096660422,"[35, 40]","[40, 61]","[4, 5]","[5, 3]",4.699856214733586,1.3500043755894566,True,transition,6.616379534962361,116.56178346107261
67,81,574.244246791233,596.8053261642282,26,27,1.164450947631902e-09,2.0384605145184824e-09,1.7505765431030127,0.2431811048299889,"[35, 40]","[40, 68]","[4, 5]","[5, 3]",4.699856214733586,3.241706542171901,True,transition,1.7505765431030127,3.2223093211946936
68,69,561.5359548350198,575.3419982444086,26,26,5.362642248768841e-09,1.925700711860192e-09,0.3590955022782465,-0.4447900344394281,"[35, 42]","[35, 61]","[4, 4]","[4, 3]",3.068461178780229,4.1549025865752185,True,transition,0.3590955022782465,0.2121346893926554
68,85,561.5359548350198,570.6826250344178,26,26,5.362642248768841e-09,8.705774341580906e-09,1.623411359126107,0.2104285804314615,"[35, 42]","[42, 54]","[4, 4]","[4, 3]",3.068461178780229,2.018947270478982,True,transition,1.623411359126107,4.074087238613498
68,86,561.5359548350198,568.1379559762632,26,26,5.362642248768841e-09,1.400392520662273e-08,2.611385312872169,0.4168709571956114,"[35, 42]","[42, 154]","[4, 4]","[4, 3]",3.068461178780229,3.064833565816219,True,transition,2.611385312872169,2.62085663980052
69,80,575.3419982444086,586.3216980845206,26,27,1.925700711860192e-09,7.704449419379244e-09,4.0008550508022,0.6021528173682289,"[35, 61]","[40, 61]","[4, 3]","[5, 3]",4.1549025865752185,1.3500043755894566,True,transition,4.000855050802201,59.59084916931111
69,117,575.3419982444086,600.0121792268635,26,27,1.925700711860192e-09,5.539947280448114e-10,0.2876847500926883,-0.5410831590555557,"[35, 61]","[61, 117]","[4, 3]","[3, 3]",4.1549025865752185,5.833763039491924,True,transition,0.28768475009268835,0.2778792900647157
70,71,529.1438314749976,530.0697503666088,24,24,8.825581884685199e-09,3.394342252415982e-09,0.3846026581325018,-0.4149877185159258,"[36, 38]","[36, 70]","[4, 4]","[4, 3]",2.3739966980602603,2.502656207925199,True,transition,0.3846026581325017,0.3280770340277748
70,74,529.1438314749976,548.9597109774048,24,25,8.825581884685199e-09,1.947651144147248e-09,0.2206824625951242,-0.6562321783960705,"[36, 38]","[38, 44]","[4, 4]","[4, 3]",2.3739966980602603,3.224190940279932,True,transition,0.22068246259512428,0.11329287590287627
70,75,529.1438314749976,540.3951595789601,24,25,8.825581884685199e-09,1.1826535126537015e-09,0.1340028938721796,-0.8728858226863249,"[36, 38]","[38, 70]","[4, 4]","[4, 3]",2.3739966980602603,5.783410193970664,True,transition,0.1340028938721796,0.22110660861282092
70,76,529.1438314749976,551.3837360933971,24,25,8.825581884685199e-09,5.3542048296563244e-09,0.6066687612912339,-0.2170483672582346,"[36, 38]","[38, 156]","[4, 4]","[4, 2]",2.3739966980602603,2.947065614803087,True,transition,0.606668761291234,0.37407737718199213
71,75,530.0697503666088,540.3951595789601,24,25,3.394342252415982e-09,1.1826535126537015e-09,0.3484190528553587,-0.457898104170399,"[36, 70]","[38, 70]","[4, 3]","[4, 3]",2.502656207925199,5.783410193970664,True,transition,0.34841905285535874,0.6739472309241314
71,128,530.0697503666088,553.617774404965,24,25,3.394342252415982e-09,8.065284723887415e-10,0.2376096493553886,-0.6241359265834938,"[36, 70]","[70, 100]","[4, 3]","[3, 3]",2.502656207925199,4.618706988368537,True,transition,0.2376096493553886,0.08091508059005487
73,72,441.7262859819902,457.7774949390118,21,21,2.4015810600590035e-08,3.000317584679777e-08,1.2493093131764053,0.0966699775052356,"[37, 124]","[37, 53]","[3, 3]","[3, 4]",3.8526132212191015,4.898960554777304,True,transition,1.2493093131764053,0.8677971271744453
72,103,457.7774949390118,480.5831074470795,21,22,3.000317584679777e-08,7.41643857769115e-08,2.4718845150130013,0.3930281769086179,"[37, 53]","[53, 71]","[3, 4]","[4, 4]",4.898960554777304,1.217259714972986,True,transition,2.4718845150130013,66.29938684142522
72,104,457.7774949390118,480.11249632344,21,22,3.000317584679777e-08,1.5814801177630752e-08,0.5271042391773556,-0.2781034910058164,"[37, 53]","[53, 125]","[3, 4]","[4, 4]",4.898960554777304,3.519948660288509,True,transition,0.5271042391773557,0.9016193754850471
72,105,457.7774949390118,473.0412409818477,21,22,3.000317584679777e-08,5.556017257318021e-09,0.1851809716974016,-0.732403641365653,"[37, 53]","[53, 166]","[3, 4]","[4, 2]",4.898960554777304,4.238056866566151,True,transition,0.1851809716974016,0.22809192839447345
75,74,540.3951595789601,548.9597109774048,25,25,1.1826535126537015e-09,1.947651144147248e-09,1.646848483776963,0.2166536442902544,"[38, 70]","[38, 44]","[4, 3]","[4, 3]",5.783410193970664,3.224190940279932,True,transition,1.6468484837769632,0.5123902745994493
74,76,548.9597109774048,551.3837360933971,25,25,1.947651144147248e-09,5.3542048296563244e-09,2.749057420137007,0.4391838111378358,"[38, 44]","[38, 156]","[4, 3]","[4, 2]",3.224190940279932,2.947065614803087,True,transition,2.7490574201370075,3.3018614295101942
74,89,548.9597109774048,572.5889541841094,25,26,1.947651144147248e-09,9.308615481023922e-10,0.4779405957271455,-0.3206260794362898,"[38, 44]","[44, 45]","[4, 3]","[3, 3]",3.224190940279932,4.262872422200189,True,transition,0.4779405957271455,0.30517040316065847
74,90,548.9597109774048,568.5324038695861,25,26,1.947651144147248e-09,2.7528283357335723e-09,1.413409349002724,0.1502679596310782,"[38, 44]","[44, 49]","[4, 3]","[3, 3]",3.224190940279932,3.467222600103476,True,transition,1.413409349002724,1.294297169452466
75,76,540.3951595789601,551.3837360933971,25,25,1.1826535126537015e-09,5.3542048296563244e-09,4.52728104416844,0.6558374554280902,"[38, 70]","[38, 156]","[4, 3]","[4, 2]",5.783410193970664,2.947065614803087,True,transition,4.527281044168442,1.6918416845560589
75,128,540.3951595789601,553.617774404965,25,25,1.1826535126537015e-09,8.065284723887415e-10,0.6819651434332694,-0.1662378224130948,"[38, 70]","[70, 100]","[4, 3]","[3, 3]",5.783410193970664,4.618706988368537,True,transition,0.6819651434332695,0.1200614482518198
235,76,546.9671323485596,551.3837360933971,25,25,6.205254038586196e-10,5.3542048296563244e-09,8.62850222788981,0.9359354155743784,"[156, 183]","[38, 156]","[2, 2]","[4, 2]",5.669930552138013,2.947065614803087,True,transition,8.628502227889811,18.411125246940347
77,134,386.6534846440155,409.0390991290352,18,19,3.094613830760576e-08,1.4256902428734858e-08,0.4607005335212012,-0.3365812848057541,"[39, 73]","[73, 81]","[3, 3]","[3, 3]",1.657562869629853,3.123780741319809,True,transition,0.46070053352120127,0.10027623640444447
77,135,386.6534846440155,406.776605017491,18,19,3.094613830760576e-08,1.136147706390799e-09,0.0367137151361972,-1.4351716661222076,"[39, 73]","[73, 85]","[3, 3]","[3, 3]",1.657562869629853,4.30292696913018,True,transition,0.03671371513619724,0.004606928685301563
79,78,587.1311603060219,596.8172305258508,27,27,2.367809676460923e-09,4.1632034945075275e-09,1.7582508999330184,0.2450808483722881,"[40, 54]","[40, 46]","[5, 3]","[5, 3]",4.808767038012999,2.448363609820124,True,transition,1.7582508999330184,5.787860466922498
80,78,586.3216980845206,596.8172305258508,27,27,7.704449419379244e-09,4.1632034945075275e-09,0.5403635312389345,-0.2673139688952596,"[40, 61]","[40, 46]","[5, 3]","[5, 3]",1.3500043755894566,2.448363609820124,True,transition,0.5403635312389345,0.0977302974721681
81,78,596.8053261642282,596.8172305258508,27,27,2.0384605145184824e-09,4.1632034945075275e-09,2.042327268473456,0.3101253359407936,"[40, 68]","[40, 46]","[5, 3]","[5, 3]",3.241706542171901,2.448363609820124,True,transition,2.0423272684734557,3.5352340933283055
78,93,596.8172305258508,620.5712649317784,27,28,4.1632034945075275e-09,7.909380525320846e-10,0.1899830391609637,-0.721285169192402,"[40, 46]","[46, 48]","[5, 3]","[3, 3]",2.448363609820124,5.369610398436091,True,transition,0.1899830391609637,0.059635934729722215
78,94,596.8172305258508,614.4276790552589,27,28,4.1632034945075275e-09,3.309458041177801e-09,0.7949306454858467,-0.0996707601443984,"[40, 46]","[46, 117]","[5, 3]","[3, 3]",2.448363609820124,1.8828900397862576,True,transition,0.7949306454858467,1.5415211782941058
80,79,586.3216980845206,587.1311603060219,27,27,7.704449419379244e-09,2.367809676460923e-09,0.3073301604790989,-0.5123948172675477,"[40, 61]","[40, 54]","[5, 3]","[5, 3]",1.3500043755894566,4.808767038012999,True,transition,0.3073301604790989,0.016885392802866397
79,81,587.1311603060219,596.8053261642282,27,27,2.367809676460923e-09,2.0384605145184824e-09,0.8609055595909606,-0.0650444875685055,"[40, 54]","[40, 68]","[5, 3]","[5, 3]",4.808767038012999,3.241706542171901,True,transition,0.8609055595909606,1.6371929875436961
85,79,570.6826250344178,587.1311603060219,26,27,8.705774341580906e-09,2.367809676460923e-09,0.2719815129082413,-0.5654606147702085,"[42, 54]","[40, 54]","[4, 3]","[5, 3]",2.018947270478982,4.808767038012999,True,transition,0.2719815129082413,0.05239286049996846
79,106,587.1311603060219,591.7969042822185,27,27,2.367809676460923e-09,9.699875932056949e-09,4.096560643571231,0.6124193883357554,"[40, 54]","[54, 68]","[5, 3]","[3, 3]",4.808767038012999,1.870297727987673,True,transition,4.096560643571231,27.407515753211644
80,81,586.3216980845206,596.8053261642282,27,27,7.704449419379244e-09,2.0384605145184824e-09,0.2645822437864383,-0.5774393048360532,"[40, 61]","[40, 68]","[5, 3]","[5, 3]",1.3500043755894566,3.241706542171901,True,transition,0.26458224378643835,0.027644646688773665
