gap_nm,radius_nm,wavelength_nm,polarization_deg,solver_backend,Egap_Ex_real_V_per_m,Egap_Ex_imag_V_per_m,Egap_Ex_abs_V_per_m,Egap_Ex_phase_deg,Egap_Ey_real_V_per_m,Egap_Ey_imag_V_per_m,Egap_Ey_abs_V_per_m,Egap_Ey_phase_deg,Egap_Ez_real_V_per_m,Egap_Ez_imag_V_per_m,Egap_Ez_abs_V_per_m,Egap_Ez_phase_deg,Eparallel_real,Eparallel_imag,Eparallel_abs,Eparallel_phase_deg,Eperp_real,Eperp_imag,Eperp_abs,Eperp_phase_deg,Egap_total_abs,Egap_total_over_E0,Eparallel_over_E0,lmax_used,magnitude_convergence_percent,phase_convergence_deg,convergence_status
1.0,10.0,633.0,0,miepy_GMMT,20.95706772238645,0.3162049022247785,20.95945307160669,0.8644258808349251,3.2806466827230424e-14,2.3537047065965166e-13,2.3764579256581027e-13,82.06510636910888,2.419397147901403e-15,-1.734723475976807e-15,2.9770367981230093e-15,-35.64076908985229,20.95706772238645,0.3162049022247785,20.95945307160669,0.8644258808349251,3.2806466827230424e-14,2.3537047065965166e-13,2.3764579256581027e-13,82.06510636910888,20.95945307160669,20.95945307160669,20.95945307160669,16,0.32627496638047343,0.0015604611392348033,PASS
1.0,10.0,633.0,30,miepy_GMMT,18.149353036405255,0.27384147810409776,18.15141880942652,0.8644258807605988,-0.05426868242378019,-0.001614173858432833,0.05429268320186761,-178.29629013421268,-3.328240461009102e-14,3.1225022567582528e-15,3.3428557805763446e-14,174.6402895692945,18.149353036405255,0.27384147810409776,18.15141880942652,0.8644258807605988,-0.05426868242378019,-0.001614173858432833,0.05429268320186761,-178.29629013421268,18.15150000662899,18.15150000662899,18.15141880942652,16,0.32602582293087135,0.0015718253277157146,PASS
1.0,10.0,633.0,60,miepy_GMMT,10.478533861190668,0.1581024511142196,10.479726535800815,0.8644258808451422,-0.09399611522527862,-0.0027958311382627406,0.09403768579243928,-178.29629013239455,8.519335410739348e-15,-4.6351811278100286e-15,9.698658666448863e-15,-28.549629577610773,10.478533861190668,0.1581024511142196,10.479726535800815,0.8644258808451422,-0.09399611522527862,-0.0027958311382627406,0.09403768579243928,-178.29629013239455,10.480148441292085,10.480148441292085,10.479726535800815,16,0.3240011760906586,0.0016639033990202279,PASS
1.0,10.0,633.0,90,miepy_GMMT,5.5450816787161644e-12,1.4692158881006057e-12,5.7364210226831266e-12,14.839999143519494,-0.10881860416566891,-0.003229800683533812,0.10886652481373643,-178.2999263992474,-1.7567155801133373e-11,-4.1249472253072165e-11,4.48344055843084e-11,-113.06798568966715,5.5450816787161644e-12,1.4692158881006057e-12,5.7364210226831266e-12,14.839999143519494,-0.10881860416566891,-0.003229800683533812,0.10886652481373643,-178.2999263992474,0.10886652481373643,0.10886652481373643,5.7364210226831266e-12,17,0.2582597371669884,0.0036362671475274055,PASS
1.5,10.0,633.0,0,miepy_GMMT,13.952394527066083,0.17058530416088852,13.953437296411922,0.7004769683336354,3.0775280341705397e-16,6.127540714085575e-16,6.85696244731455e-16,63.33212797027093,1.0502666444867081e-15,1.942890293094024e-16,1.0680862565501717e-15,10.480674840424026,13.952394527066083,0.17058530416088852,13.953437296411922,0.7004769683336354,3.0775280341705397e-16,6.127540714085575e-16,6.85696244731455e-16,63.33212797027093,13.953437296411922,13.953437296411922,13.953437296411922,13,0.3109590573427684,0.0012840281967783085,PASS
1.5,10.0,633.0,30,miepy_GMMT,12.0831281040624,0.14773120691479413,12.084031168806174,0.7004769683296855,-0.054953772945425416,-0.0016828443042300424,0.05497953370018383,-178.24598479151115,-9.564289464580877e-16,8.215650382226158e-15,8.271134597659245e-15,96.64022639796313,12.0831281040624,0.14773120691479413,12.084031168806174,0.7004769683296855,-0.054953772945425416,-0.0016828443042300424,0.05497953370018383,-178.24598479151115,12.084156240209948,12.084156240209948,12.084031168806174,13,0.3095576760579545,0.0012979835156272657,PASS
1.5,10.0,633.0,60,miepy_GMMT,6.976197263532899,0.08529265208081596,6.976718648205822,0.700476968336702,-0.09518272680899897,-0.0029147718361173607,0.09522734574508078,-178.24598479153187,2.0934317647436362e-15,-2.5049406993105094e-15,3.2645343405606685e-15,-50.11378438355686,6.976197263532899,0.08529265208081596,6.976718648205822,0.700476968336702,-0.09518272680899897,-0.0029147718361173607,0.09522734574508078,-178.24598479153187,6.9773685113802415,6.9773685113802415,6.976718648205822,13,0.29807512492981303,0.001409376355780978,PASS
1.5,10.0,633.0,90,miepy_GMMT,-7.592862253023806e-16,-4.54345236966014e-16,8.848418877334193e-16,-149.10434463074563,-0.11117253066893529,-0.0033777613246595787,0.11122383218942658,-178.25971444270937,-6.214680734762105e-18,-3.3852920781009036e-18,7.076896147964586e-18,-151.4217645877437,-7.592862253023806e-16,-4.54345236966014e-16,8.848418877334193e-16,-149.10434463074563,-0.11117253066893529,-0.0033777613246595787,0.11122383218942658,-178.25971444270937,0.11122383218942657,0.11122383218942657,8.848418877334193e-16,16,0.21785276159963762,0.002707120870468316,PASS
2.0,10.0,633.0,0,miepy_GMMT,10.623355923578346,0.11278848174087464,10.623954646017676,0.6082881182950995,5.367467497239597e-17,3.493625312215042e-16,3.5346166546725945e-16,81.26559853128038,6.440160904563896e-16,1.3877787807814457e-17,6.441655980888543e-16,1.2344654764975571,10.623355923578346,0.11278848174087464,10.623954646017676,0.6082881182950995,5.367467497239597e-17,3.493625312215042e-16,3.5346166546725945e-16,81.26559853128038,10.623954646017674,10.623954646017674,10.623954646017676,12,0.2000044883078912,0.000763876050740464,PASS
2.0,10.0,633.0,30,miepy_GMMT,9.200096103262737,0.09767769044187458,9.200614612105012,0.6082881182950991,-0.05401199776275628,-0.001761234939580655,0.05404070549906236,-178.1323485604989,5.447573815653417e-16,0.0,5.447573815653417e-16,0.0,9.200096103262737,0.09767769044187458,9.200614612105012,0.6082881182950991,-0.05401199776275628,-0.001761234939580655,0.05404070549906236,-178.1323485604989,9.200773317408222,9.200773317408222,9.200614612105012,12,0.19906215903114557,0.0007726257045419516,PASS
2.0,10.0,633.0,60,miepy_GMMT,5.311677961789178,0.056394240870440246,5.3119773230088425,0.6082881182951307,-0.0935515243433902,-0.0030505483994186446,0.09360124760124261,-178.13234856049925,3.057721176952244e-16,1.3877787807814457e-17,3.060868846492134e-16,2.598645629320697,5.311677961789178,0.056394240870440246,5.3119773230088425,0.6082881182951307,-0.0935515243433902,-0.0030505483994186446,0.09360124760124261,-178.13234856049925,5.312801923064015,5.312801923064015,5.3119773230088425,12,0.1912861775276879,0.0008417311615005474,PASS
2.0,10.0,633.0,90,miepy_GMMT,-5.064937133858858e-16,-2.3158471169067027e-16,5.569267100689952e-16,-155.4286436478027,-0.10840803658178544,-0.003527026444098263,0.10846539683721762,-178.13655446008394,-1.1766291371364338e-15,-2.8773183534826334e-19,1.176629172317276e-15,-179.9859889416741,-5.064937133858858e-16,-2.3158471169067027e-16,5.569267100689952e-16,-155.4286436478027,-0.10840803658178544,-0.003527026444098263,0.10846539683721762,-178.13655446008394,0.10846539683721762,0.10846539683721762,5.569267100689952e-16,13,0.3540169033545602,0.004205899584832196,PASS
2.5,10.0,633.0,0,miepy_GMMT,8.651744030924023,0.08256055394300374,8.652137945138001,0.5467369007007002,-7.721513453217885e-17,-4.7339260633041266e-17,9.057142263487689e-17,-148.48826014869002,4.2240516640035253e-16,6.938893903907228e-18,4.224621555243963e-16,0.9411191227334413,8.651744030924023,0.08256055394300374,8.652137945138001,0.5467369007007002,-7.721513453217885e-17,-4.7339260633041266e-17,9.057142263487689e-17,-148.48826014869002,8.652137945138001,8.652137945138001,8.652137945138001,11,0.16027367359809247,0.0005716713550896202,PASS
2.5,10.0,633.0,30,miepy_GMMT,7.492630117820589,0.07149953706515676,7.492971257536806,0.5467369007006999,-0.04953354886794631,-0.0018253888351252765,0.049567171674936475,-177.8895158383041,3.631535176740197e-16,1.3877787807814457e-17,3.634185883983554e-16,2.188473765336549,7.492630117820589,0.07149953706515676,7.492971257536806,0.5467369007006999,-0.04953354886794631,-0.0018253888351252765,0.049567171674936475,-177.8895158383041,7.4931352030228675,7.4931352030228675,7.492971257536806,11,0.16026142429470214,0.0005785188360789562,PASS
2.5,10.0,633.0,60,miepy_GMMT,4.325872015462013,0.04128027697150346,4.3260689725690025,0.546736900700721,-0.08579462331847809,-0.0031616662060058183,0.08585285972847814,-177.88951583830416,2.149701857495634e-16,0.0,2.149701857495634e-16,0.0,4.325872015462013,0.04128027697150346,4.3260689725690025,0.546736900700721,-0.08579462331847809,-0.0031616662060058183,0.08585285972847814,-177.88951583830416,4.3269207837615635,4.3269207837615635,4.3260689725690025,11,0.16015984692747265,0.0006351912368813828,PASS
2.5,10.0,633.0,90,miepy_GMMT,-3.802117861959296e-16,4.939564439074338e-17,3.8340700573551867e-16,172.59781337646214,-0.09906709773589295,-0.003650777670250441,0.09913434334987328,-177.8895158383042,-3.579561235096668e-18,-3.733768393211693e-18,5.172454451220756e-18,-133.79205359368953,-3.802117861959296e-16,4.939564439074338e-17,3.8340700573551867e-16,172.59781337646214,-0.09906709773589295,-0.003650777670250441,0.09913434334987328,-177.8895158383042,0.0991343433498733,0.0991343433498733,3.8340700573551867e-16,11,0.16338216655924523,0.0012639789840704907,PASS
