gap_nm,PDA_parallel_real,PDA_parallel_imag,MIEPY_parallel_real,MIEPY_parallel_imag,Cparallel_real,Cparallel_imag,Cparallel_abs,Cparallel_phase_deg,Cperp_real,Cperp_imag,Cperp_abs,Cperp_phase_deg,C_M2_parallel,C_M4_parallel,PDA_perp_real,PDA_perp_imag,MIEPY_perp_real,MIEPY_perp_imag,C_M2_perp,C_M4_perp
1.0,6.565073115248026,0.0480079208237822,20.95706772238645,0.3162049022247785,3.192387793744113,0.02481998279736545,3.1924842767337895,0.44545077274457767,0.1347439529932474,0.002593602269133926,0.13476891199745183,1.102714534728271,10.191955857192466,103.87596419495983,-0.8077575637530492,-0.0084218906159794,-0.1088186041656689,-0.0032298006835338,0.01816265964097692,0.00032988220523397173
1.5,6.066758173652085,0.0428761590723276,13.952394527066083,0.1705853041608885,2.299894408326732,0.011863776929909706,2.2999250071808017,0.29555196781027665,0.15950176379423867,0.0030415279197397523,0.15953076049953394,1.0924367919836169,5.289655038655611,27.98045042797469,-0.6971490759061387,-0.007883066093816,-0.1111725306689352,-0.0033777613246595,0.02545006354555966,0.0006477057344730245
2.0,5.632371969013622,0.0385583288979314,10.623355923578346,0.1127884817408746,1.88617339761081,0.0071125962094943035,1.8861868080546915,0.21605638860848025,0.18228296829484864,0.0036686891355036024,0.18231988320080114,1.1529987180988317,3.5577006748795457,12.657234092038376,-0.5948723568135712,-0.0073765788664899,-0.1084080365817854,-0.0035270264440982,0.03324053981035377,0.001104933486883714
2.5,5.251110297279566,0.0348879848883829,8.651744030924023,0.0825605539430037,1.6476345300036395,0.00477573388082344,1.647641451315915,0.16607361897791006,0.19811226059964324,0.004565346608294497,0.1981648560909699,1.32010408949683,2.7147223520944146,7.3697174489610315,-0.5002143825328229,-0.0069007623828836,-0.0990670977358929,-0.0036507776702504,0.03926931018955481,0.001542078722763473
3.0,4.914429036138077,0.0317396447661435,7.343704978545569,0.0643338088950826,1.4943372055740347,0.003439682759691445,1.4943411643196818,0.13188385874087585,0.20108265345280418,0.005906289355425228,0.20116937583432165,1.6824334594760444,2.2330555153803022,4.986536934770387,-0.4125264408179157,-0.0064539332135429,-0.0829137925420679,-0.0037342745420207,0.040469117773570554,0.0016377494933711243
4.0,4.34873793826359,0.0266458857259115,5.705580077149332,0.0437768590859777,1.3120206785740538,0.002027463172034944,1.3120222450906975,0.08853899355981149,0.1286867618861628,0.011825436016089753,0.1292289581390974,5.250346021949121,1.7214023716128344,2.9632261249942906,-0.2557549523075724,-0.0056405971296055,-0.0328455741283628,-0.0037502840040246,0.01670012362171659,0.0002788941289806164
5.0,3.894483450429223,0.0227335481973293,4.723442214637514,0.032794777463772,1.2128624394383642,0.0013408994559969197,1.2128631806645507,0.06334423903339174,-0.2600358293306364,0.04060105041889135,0.2631863937037575,171.12569632808285,1.4710370950117304,2.163950134900551,-0.120454865641165,-0.0049237525273325,0.0315224904085231,-0.003610242001234,0.06926707783078925,0.004797928071216616
6.0,3.5239346444747888,0.0196595752693178,4.056347998170268,0.0259498093335665,1.1510901672454348,0.0009420905560886368,1.1510905527645245,0.0468927650213046,-10.863281481159236,15.448621416140488,18.885729750214363,125.11441735788053,1.3250094606637386,1.7556500708484115,-0.0032362095106497,-0.0042915736809355,0.1014547519224373,-0.0033744026602035,356.67078819813185,127214.05115387664
