particle_i,particle_j,surface_gap_nm
0,1,3.724445128481367
0,3,3.8592477511244034
1,2,2.0396605404290504
1,10,2.849983804777594
2,4,1.6410824588495885
2,10,3.382318766343122
2,100,2.3535453262665484
3,8,2.051619339922375
3,75,3.779954082052196
4,5,2.9667293326553335
4,11,2.553219165065009
4,20,3.2593539270485863
5,6,2.8817336780698604
5,11,1.4506125876831035
5,20,5.793496640885351
5,33,4.337268642567956
6,7,4.104084473851238
6,35,4.334085707651237
7,16,3.322464771580865
7,102,4.694378150346473
8,9,2.2005569145099315
8,25,1.177392504927628
8,75,3.531799321358502
9,14,2.3027177356678266
9,26,2.9306470621875107
10,13,3.1629763368684074
10,82,3.3359413794101194
11,12,4.47243449011868
12,21,2.6203895468565364
13,15,4.641616232580073
13,82,1.5835636604979513
13,136,5.753867433656513
14,23,3.982665463545082
14,26,1.0838070635243149
14,36,3.3721049440632207
15,17,3.5609174529927863
15,136,1.3653169468289974
16,22,3.8201259897491866
16,102,4.377555590972719
17,18,2.350211226048046
17,21,5.508983752116375
18,19,2.3262792320340537
18,29,4.25981674610064
19,24,2.9015744541342485
19,29,4.408607430516671
19,90,3.165658642760782
20,33,1.5852033867227782
20,100,5.009368467852653
20,180,1.6657182657699252
21,62,2.4016357120744445
22,30,2.2701362583112648
22,83,3.7317124592288273
23,51,2.4493307154665054
23,169,5.143370649434139
24,31,2.402520372370862
24,38,3.7489455317620433
25,36,4.023249251302886
25,140,3.61636056706487
26,27,2.6930622124940236
26,40,2.46060818564737
27,28,1.461435825212142
28,39,1.7754944951348648
29,31,2.4270404729493222
29,69,3.049828199711044
30,32,3.548579269294013
30,83,5.126349675071559
30,160,5.696588872617621
31,61,4.574029927656358
31,69,5.011453229331028
32,34,3.7751266379152675
33,35,2.275781308547767
33,55,2.930567003299611
34,43,1.6467454135999908
34,52,2.0720988486090413
34,123,4.208129627161515
35,37,1.6563161690521362
35,170,1.3762881294678415
36,169,2.1869926572589335
37,41,2.0345965449088297
37,80,2.958786717597377
37,170,2.179608683773992
38,45,3.4382827651649777
38,54,4.471123822459521
39,42,1.8380879909927366
39,44,3.799716225291295
40,48,2.979997419713513
40,145,5.11197453638988
41,47,2.3076558338733335
41,80,3.630738133408041
42,44,1.5041474905751286
42,53,1.875937191151003
42,84,1.8675657158238899
43,50,3.3743276100560777
43,123,5.749998114359904
43,139,5.471257264581432
44,56,3.813012701639071
44,121,4.009982013966418
45,46,3.3646136122296646
45,54,3.217770810483781
46,59,4.276161699815308
47,57,3.6446951884246523
47,105,2.7249208269589076
48,49,3.856197640998584
48,145,4.340113079594012
49,73,5.215213229021309
50,162,2.7252377847748477
51,68,2.9446787884792265
52,96,2.8203207245442883
53,67,4.259387831577907
53,84,1.0690707882181378
54,58,2.918516486086286
54,114,5.950124448647777
55,60,3.450693603287334
55,170,2.856462628550286
56,65,2.821118722364826
56,78,5.703993762360582
56,121,4.229734120409798
57,92,2.0722154444828895
58,71,3.4391795039260558
58,115,4.49728695944971
59,63,2.4343638912013468
60,128,2.8478443034734617
60,170,2.1713664255678005
61,64,4.0630053272007025
61,126,3.799746587524538
62,69,3.0142500900140305
62,102,3.952025251239867
62,112,3.31939044204735
63,76,2.526845255497303
64,72,2.5035030887273884
65,66,3.1443547272298957
66,93,2.184531247249023
67,70,2.741725351515882
67,74,3.4923233451897246
67,121,5.00125377144996
68,84,3.1120180578237786
69,112,1.090397108226977
70,79,2.560985364415764
70,81,3.782484948813611
71,87,3.218031130576641
72,95,2.0941725129206823
73,78,1.388091759395511
74,85,1.551068334039254
74,121,3.0714621550194856
75,110,1.7243394347616139
75,180,3.035771330521378
76,77,3.5868316143323113
76,98,4.02378768177223
77,98,3.4757342626391043
77,157,1.6849212742595476
78,94,4.229916728829185
79,81,3.3682763920439314
79,174,1.9238062734213344
80,105,2.440941482949821
81,88,2.6916677850281516
82,86,1.9601569442707074
82,136,2.1771169175153524
83,111,3.4959545805611043
83,130,1.1649122908068605
84,97,2.6425119946018896
85,109,3.807488150297882
86,113,2.4814295930903363
86,135,2.08558663124359
86,136,1.3677722582326552
87,107,1.279960805692145
88,89,3.377057410061063
88,91,2.888951054785366
88,174,2.5175705821968215
89,91,1.8716350613110144
89,141,1.716962569679108
90,103,4.1098208120934885
90,122,1.382314523702533
91,149,2.07510513570001
91,174,1.0733264088608756
92,119,3.1811451050911295
93,101,2.7371634711973414
93,152,3.3913518034343895
94,190,2.113829677308331
95,99,3.872659258061148
95,143,1.4112565066633387
96,118,3.053055476683113
96,178,1.9297784405344487
97,131,2.6872886048027986
98,104,5.121884182127495
98,172,2.843421744322466
99,143,2.738844941567166
99,192,4.182317232571663
100,180,3.367362086336687
101,106,2.4813411310034006
101,193,3.5795676606952043
102,142,1.863501913948884
103,114,2.8747286721707823
103,127,5.428263646567256
104,108,3.5675039320738833
104,157,2.322367751617609
104,172,2.522354314910306
105,160,2.8206062775944147
106,116,2.675479262843936
106,193,3.8913032182924
107,117,5.414468513600212
107,147,1.64657354659035
108,134,2.3815631052122512
109,152,3.1009656729648967
109,176,3.8941978356116884
110,138,2.5734263591455395
111,123,2.3600516029250223
111,130,3.5159841732486328
112,126,4.093284449863713
112,129,4.913405667391771
113,120,3.350425207926957
113,135,5.400642417379704
113,146,4.795858996239371
113,181,2.2414773968678077
114,115,1.9305892217631282
114,154,1.6875253952494944
116,163,2.4819361013213204
117,133,2.9626190579701657
117,147,1.9045170520044472
118,124,2.9268311389405355
118,178,1.6296454407603989
119,155,3.4109192552064336
120,122,2.137378392726852
120,146,1.7183024021275486
120,181,2.8730384950152263
122,127,5.772749616433561
122,165,3.1823109137485766
123,139,5.799484339891443
124,125,4.118127015070023
125,148,2.4820380199490835
126,129,1.363365738221738
127,154,3.2419018181730443
127,165,1.9109959822447493
128,153,3.959760298000841
129,150,3.179874625511861
131,132,2.7622158775088224
132,144,2.244160054655559
134,173,1.9539877932999552
135,137,5.071244053795262
136,181,2.196060312617284
137,146,3.9901892216408967
137,185,1.680256278010873
138,145,2.6245740723109527
139,151,4.257050972745311
141,166,2.68760464863983
143,158,2.69391025881324
148,164,2.1602422037997684
148,191,3.7883878320180138
149,156,3.6394438146201864
152,176,5.440563517827197
152,193,3.973570392831789
153,179,2.4855432868179186
154,171,3.4028822900554054
155,159,1.5980665099783948
156,175,2.5514142606139565
158,188,3.2425245937896143
159,161,4.503250141470605
161,183,3.0226938864727266
162,167,3.6885204912819773
163,177,4.793955478696528
164,196,2.629030502751334
166,168,4.471098832118482
167,186,3.240661186041944
168,182,3.558584723766227
171,194,3.464504947864075
173,187,2.5201231960544597
176,189,3.3454421704112214
183,184,1.9439961381910287
188,199,3.542392943860559
190,195,2.496318338856181
195,198,3.7711942484984142
196,197,3.067987745276593
