particle_id,x_nm,y_nm,radius_nm,coordination
0,0.0,0.0,10.0,2
1,-20.83768838093334,-11.34195924844729,10.0,3
2,-20.467213232710165,-33.37850582230714,10.0,4
3,23.76169755425296,-2.155326562204384,10.0,3
4,-19.671280415423265,-55.00494660531841,10.0,4
5,-8.924562924790072,-75.30220551917103,10.0,5
6,-12.706329347771376,-97.86926068452496,10.0,3
7,-29.320273513508972,-115.33304456947698,10.0,3
8,45.78868402268931,-1.113317621666678,10.0,4
9,66.75959675476848,-8.399300499625863,10.0,3
10,-40.97346559938814,-22.143451538281823,10.0,4
11,-30.370590623610468,-74.8587234695938,10.0,3
12,-52.0673876667146,-86.17901710286577,10.0,2
13,-52.42929748499308,-42.27520229650161,10.0,4
14,86.68772076366626,1.6147442317933098,10.0,4
15,-68.8404736694388,-60.656784023786,10.0,3
16,-25.35473796426065,-138.31590537550542,10.0,3
17,-78.39386471656547,-82.1939507531267,10.0,3
18,-100.36925543375443,-86.26999597807814,10.0,3
19,-121.6547944004057,-93.0071003446384,10.0,4
20,3.471875485181961,-52.68290438692704,10.0,5
21,-65.6319411700509,-104.28108636322006,10.0,3
22,-24.881830179740597,-162.13133651573182,10.0,3
23,109.98591925806582,7.303521750019551,10.0,3
24,-135.16514430521937,-111.49905962232869,10.0,3
25,57.09398611303899,16.794002053642078,10.0,3
26,86.84161285791407,-19.468501189992345,10.0,4
27,108.4124919955294,-26.51635517617256,10.0,2
28,128.88253487328822,-32.96387968271104,10.0,2
29,-104.33278323997465,-110.20384556153847,10.0,4
30,-10.57990967408753,-179.20219000387735,10.0,4
31,-119.0843616983464,-127.09653857839666,10.0,4
32,-2.9630694302828866,-201.48490371434318,10.0,2
33,15.015314747239684,-70.92214821032533,10.0,4
34,-10.797951270970199,-223.93198087800474,10.0,4
35,11.10490735792276,-92.85201704157514,10.0,4
36,80.00730427949927,24.01178254301594,10.0,3
37,11.53065443430858,-114.50414787068519,10.0,4
38,-147.31145972108408,-131.9068874266034,10.0,3
39,148.99630808734835,-41.30703781383896,10.0,3
40,85.51060316480144,-41.88963705029188,10.0,3
41,27.267132426386667,-129.92772415187724,10.0,3
42,168.7104572196766,-31.91265592407835,10.0,4
43,-14.345559831919026,-245.2860451398612,10.0,4
44,169.49326054351502,-53.40255071797151,10.0,4
45,-162.59102835509256,-149.68012239771807,10.0,3
46,-178.24307245009905,-167.02713035000656,10.0,2
47,31.66271510318823,-151.7980319168344,10.0,3
48,103.38707623143924,-56.32958137524733,10.0,3
49,124.36312495272186,-67.69283557150484,10.0,2
50,-13.741133059874286,-268.65255663600595,10.0,2
51,128.79713111881782,-4.948447801946014,10.0,2
52,10.76369580555819,-228.65140064424756,10.0,2
53,189.4478613616736,-24.94726308212968,10.0,3
54,-171.50665204284337,-128.24238614440603,10.0,4
55,35.90815409416207,-80.37202477653003,10.0,3
56,182.1736679987778,-73.5586128506635,10.0,4
57,43.84347980605955,-172.06378089896668,10.0,2
58,-192.68484757730963,-137.00266192927276,10.0,3
59,-202.30238232679255,-170.26466569851135,10.0,2
60,51.806292807380096,-97.61105653386895,10.0,3
61,-123.29173092375554,-151.3077135000404,10.0,3
62,-71.96492829463432,-125.76890981410381,10.0,4
63,-217.90583728812754,-186.38399808147403,10.0,2
64,-124.73916639660935,-175.32714638112262,10.0,2
65,202.41595186040428,-84.0968007312057,10.0,2
66,212.82272498740957,-104.7694935607064,10.0,2
67,211.57814547131676,-34.88549346733336,10.0,4
68,151.7324285548866,-4.292386657276751,10.0,2
69,-94.378337415838,-130.99335225050353,10.0,4
70,234.31844333047792,-35.14029778521381,10.0,3
71,-216.06359819076886,-138.68467131418916,10.0,2
72,-145.88963566064814,-183.01254169791105,10.0,2
